CONCEPT	ID	
THING	TK1	
FIRST	TK2	
TO BE FINISHED,BE ENDED (iv)	TK3a	
TO FINISH IT,END IT,CARRY IT OUT,COMPLETE IT,ACCOMPLISH IT (tv)	TK3b	
STONE	TK4	
ROCK	TK5	
METAL (especially IRON)	TK6	
SAND	TK7	
DUST,POWDER	TK8	
EARTH1,SOIL,DIRT	TK9	
EARTH2,LAND,GROUND	TK10	
MOUNTAIN	TK11	
HILL	TK12	
WOODS,THICKET,COPSE,GROVE	TK13a	
FOREST,JUNGLE	TK13b	
THE BUSH,BRUSH  	TK14	
PLAINS,OPEN SPACES,OPEN FIELDS,OPEN GRASSLANDS,PRAIRIE,MEADOW	TK15	
HOLE (IN GROUND),PIT	TK16	
TO DIG IT (tv)	TK17	
EAST,SUNRISE	TK18	
WEST,SUNSET	TK19	
SPRING,FOUNTAIN	TK20	
MUD	TK21	
RIVER	TK22	
LAKE	TK23	
BANK (OF RIVER)	TK24	
WATER	TK25a	
TO FETCH WATER (tv/iv)	TK25b	
FOAM (n)	TK26a	
TO FOAM (iv)	TK26b	
TO POUR (out)(LIQUIDS) (tv)	TK27	
TO LEAK,DROP,TRICKLE (iv)	TK28	
TO WASH IT (IN GENERAL) (tv)	TK29	
TO WASH CLOTHES (tv/iv)    	TK30	
TO BATHE, WASH (ONE)SELF (iv/rv)   	TK31	
DEW    	TK32	
CLOUD  	TK33a	
CLOUDY 	TK33b	
LIGHTNING (BOLT)   	TK15	
THUNDER (CLAP)	TK36	
RAIN	TK37	
RAINBOW	TK38	
ICE, FROST	TK39	
HAIL	TK40	
SNOW	TK41	
TO MELT (iv)	TK42	
WET	TK43a	
TO GET WET (iv)	TK43b	
TO WET IT, SOAK IT (tv)	TK43c	
MOIST, DAMP	TK44	
TO DIP IT, IMMERSE IT (tv)	TK45a	
TO DIVE, PLUNGE (iv)	TK45b	
DRY	TK46a	
TO BECOME DRY, DRY UP (iv)	TK46b	
TO DRY IT (tv)	TK46c	
SUN	TK47	
DAY	TK48	
MOON	TK49	
STAR	TK50	
SUMMER, DRY SEASON	TK51	
WINTER, RAINY SEASON	TK52	
YEAR	TK53	
MORNING	TK54	
DAWN, DAYBREAK	TK55a	
TO DAWN (iv)	TK55b	
NIGHT	TK56	
EVENING	TK57	
DUSK, TWILIGHT	TK58	
SKY, HEAVENS	TK59	
WIND (not AIR)	TK60	
TO BLOW IT (with MOUTH) (tv)	TK61a	
TO BLOW (of WIND) (iv)	TK61b	
TO FAN IT (tv)	TK62	
SHADE (not SHADOW)	TK63	
FIRE	TK64	
FIREWOOD	TK65a	
TO FETCH WOOD (tv/iv)	TK65b	
CHARCOAL	TK66	
TO KINDLE IT, LIGHT A FIRE, MAKE A FIRE (tv)	TK67	
TO BURN IT (tv)	TK68a	
TO SINGE IT (HAIR) (tv)	TK68b	
TO BURN (iv)	TK69	
SMOKE	TK70	
LIVE COALS, EMBERS	TK71	
TO GO OUT, “DIE”, BE(COME) EXTINGUISHED (iv)	TK72a	
TO PUT IT OUT, DOUSE IT, EXTINGUISH IT (tv)	TK72b	
ASH(ES)	TK73	
HOT	TK74a	
HEAT	TK74b	
TO HEAT IT (tv)	TK74c	
WARM	TK75	
COLD	TK76	
TO LIVE, BE ALIVE (iv)	TK77a	
ALIVE	TK77b	
LIFE	TK77c	
TO GROW (iv)	TK78	
TO DIE (iv)	TK79a	
DEAD	TK79b	
TO KILL HIM (tv)	TK80	
TO ROT, DECAY (iv)	TK81a	
ROTTEN	TK81b	
LEAF	TK82	
ROOT	TK83	
BARK (n)	TK84	
BRANCH (not TWIG)	TK85	
THORN	TK86	
FLOWER	TK87a	
TO BLOOM, BLOSSOM (iv)	TK87b	
SEED	TK88	
KERNEL, PIT, PIP, STONE	TK89	
FRUIT	TK90	
PITCH, RESIN, GUM	TK91	
TREE	TK92	
WOOD	TK93	
GRASS	TK94A	
HAY	TK94B	
HERB	TK94C	
VINE, CREEPER	TK95	
REED	TK96	
MUSHROOM	TK97	
WILLOW	TK98	
OAK, several varieties	TK99	
CEDAR	TK100	
PINE, several varieties	TK101	
PALM, several varieties	TK102	
COTTON	TK103	
CHILLI (PEPPER), HOT PEPPER	TK104	
PEPPER		
HORSERADISH		
TOBACCO	TK105a	
PSYCHEDELIC PLANT	TK105b	
COCA		
BANISTERIUM		
JIMSON WEED, TOLOACHE		
PEYOTE		
AMANITA		
BEAN, several varieties	TK106	
GOURD	107a	
BOTTLE GOURD, WATER GOURD	TK107b	
SQUASH, several varieties	TK107c	
ONION	TK108	
MAJOR STARCH SOURCE	TK109	
WHEAT	TK109a	
MAIZE	TK109b	
MILLET	TK109c	
RICE	TK109d	
CASSAVA, MANIOC	TK109e	
YAM	TK109f	
SWEET POTATO	TK109g	
(INDIAN) POTATO	TK109h	
ACORN(S)	TK109i	
DRY-ADAPTED PLANTS	TK110	
LICHEN (Arctic)		
SPINIFEX (Australia)		
AGAVE		
PRICKLY PEAR		
other CACTUS		
YUCCA		
ANIMALS AND HUMANS (111-276)		
BODY PARTS, PRODUCTS, AND PROCESSES (111-189)		
BRAINS	TK111	
GREY HAIR	TK112	
HEAD HAIR	TK113	
BODY HAIR	TK114	
FUR	TK115	
HEAD	TK116	
FOREHEAD	TK117	
FACE	TK118	
EYE	TK119	
EYEBROW	TK120	
EYELASH	TK121	
TEAR (n)	TK122	
NOSE	TK123	
SNOT, MUCUS	TK124	
CHEEK	TK125	
MOUTH	TK126	
SPIT(TLE), SALIVA	TK127	
TO SPIT (iv)	TK128	
LIP	TK129	
TOOTH	TK130	
TONGUE	TK131	
JAW	TK132	
CHIN	TK133	
WHISKERS, FACE HAIR, BEARD, MUSTACHE	TK134	
EAR	TK135	
NECK	TK136	
THROAT, GULLET	TK137	
KNEE	TK138a	
TO KNEEL	TK138b	
ELBOW	TK139	
ARMPIT	TK140	
SHOULDER	TK141	
WING	TK142	
FEATHER	TK143	
HAND	TK144	
ARM	TK145	
PALM (not SOLE)	TK146	
FINGER	TK147	
(DIGIT-)NAIL	TK148	
CLAW	TK149	
HORN	TK150	
HEEL	TK151	
FOOT	TK152	
LEG	TK153	
THIGH	TK154	
TAIL	TK155	
BUTTOCKS, RUMP	TK156	
TO FART (iv)	TK157a	
FART (n)	TK157b	
SHIT (n)	TK158	
TO SHIT (iv)	TK159	
PENIS	TK160	
TESTICLES	TK161	
VULVA, VAGINA, FEMALE GENITALS	TK162	
TO URINATE (iv)	TK163	
URINE (n)	TK164	
TO COPULATE, COHABIT (v)	TK165	
TO GIVE BIRTH TO HIM (tv)	TK166a	
TO BE BORN (iv)	TK166b	
BREAST	TK167	
MILK	TK168	
CHEST (OF BODY)	TK169	
NAVEL	TK170	
BELLY	TK171	
STOMACH	TK172	
GUTS, INTESTINES	TK173	
HEART	TK174	
BLOOD	TK175	
LIVER	TK176	
LUNGS, LIGHTS	TK177	
SINEW	TK178	
BONE	TK179	
RIB	TK180	
FAT, GREASE, LARD	TK181	
OIL	TK182	
SKIN OF HUMAN	TK183	
HIDE, SKIN (OF ANIMAL)	TK184	
SWEAT, PERSPIRATION	TK185	
BODY	TK186	
FLESH	TK187	
MEAT	TK188	
