ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Khalid-2020-200-1	1	I	1209	I
Khalid-2020-200-2	2	you (singular)	1215	THOU
Khalid-2020-200-3	3	he	2642	HE OR SHE
Khalid-2020-200-4	4	we	1131	WE (INCLUSIVE)
Khalid-2020-200-5	5	you (plural)	1213	YOU
Khalid-2020-200-6	6	they	817	THEY
Khalid-2020-200-7	7	this	1214	THIS
Khalid-2020-200-8	8	that	78	THAT
Khalid-2020-200-9	9	here	136	HERE
Khalid-2020-200-10	10	there	1937	THERE
Khalid-2020-200-11	11	who	1235	WHO
Khalid-2020-200-12	12	what	1236	WHAT
Khalid-2020-200-13	13	where	1237	WHERE
Khalid-2020-200-14	14	when	1238	WHEN
Khalid-2020-200-15	15	how	1239	HOW
Khalid-2020-200-16	16	not	1240	NOT
Khalid-2020-200-17	17	all	98	ALL
Khalid-2020-200-18	18	many	1198	MANY
Khalid-2020-200-19	19	some	1241	SOME
Khalid-2020-200-20	20	few	1242	FEW
Khalid-2020-200-21	21	one	1493	ONE
Khalid-2020-200-22	22	two	1498	TWO
Khalid-2020-200-23	23	three	492	THREE
Khalid-2020-200-24	24	four	1500	FOUR
Khalid-2020-200-25	25	five	493	FIVE
Khalid-2020-200-26	26	big	1202	BIG
Khalid-2020-200-27	27	long	1203	LONG
Khalid-2020-200-28	28	wide	1243	WIDE
Khalid-2020-200-29	29	thick	1244	THICK
Khalid-2020-200-30	30	heavy	1210	HEAVY
Khalid-2020-200-31	31	small	1246	SMALL
Khalid-2020-200-32	32	tall	711	TALL
Khalid-2020-200-33	33	short	1645	SHORT
Khalid-2020-200-34	34	narrow	1267	NARROW
Khalid-2020-200-35	35	thin	2308	THIN
Khalid-2020-200-36	36	girl	1646	GIRL
Khalid-2020-200-37	37	boy	1366	BOY
Khalid-2020-200-38	38	man (human being)	683	PERSON
Khalid-2020-200-39	39	child	2099	CHILD
Khalid-2020-200-40	40	wife	1199	WIFE
Khalid-2020-200-41	41	husband	1200	HUSBAND
Khalid-2020-200-42	42	mother	1216	MOTHER
Khalid-2020-200-43	43	father	1217	FATHER
Khalid-2020-200-44	44	animal	619	ANIMAL
Khalid-2020-200-45	45	fish	227	FISH
Khalid-2020-200-46	46	bird	937	BIRD
Khalid-2020-200-47	47	dog	2009	DOG
Khalid-2020-200-48	48	deer	1936	DEER
Khalid-2020-200-49	49	rabbit	1136	RABBIT
Khalid-2020-200-50	50	goat	1502	GOAT
Khalid-2020-200-51	51	pig	1337	PIG
Khalid-2020-200-52	52	louse	1392	LOUSE
Khalid-2020-200-53	53	snake	730	SNAKE
Khalid-2020-200-54	54	tree	906	TREE
Khalid-2020-200-55	55	forest	420	FOREST
Khalid-2020-200-56	56	stick	1295	STICK
Khalid-2020-200-57	57	fruit	1507	FRUIT
Khalid-2020-200-58	58	mango	2398	MANGO
Khalid-2020-200-59	59	seed	714	SEED
Khalid-2020-200-60	60	leaf	628	LEAF
Khalid-2020-200-61	61	root	670	ROOT
