ID	NUMBER	GLOSS	GERMAN	PORTUGUESE	CONCEPTICON_ID	CONCEPTICON_GLOSS
KochGrunberg-1914-809-1	1	Tongue	Zunge	Língua	1205	TONGUE
KochGrunberg-1914-809-2	2	Mouth	Mund	Boca	674	MOUTH
KochGrunberg-1914-809-3	3	Lip	Lippen	Lábios	478	LIP
KochGrunberg-1914-809-4	4	Tooth	Zahn	Dente	1380	TOOTH
KochGrunberg-1914-809-5	5	Nose	Nase	Nariz	1221	NOSE
KochGrunberg-1914-809-6	6	Nostril	Nasenloch	Narina	1178	NOSTRIL
KochGrunberg-1914-809-7	7	Eye	Auge	Olho	1248	EYE
KochGrunberg-1914-809-8	8	Ear	Ohr	Orelha	1247	EAR
KochGrunberg-1914-809-9	9	Earhole 	Ohrloch als Gehörgang	Ouvido	3891	EARHOLE
KochGrunberg-1914-809-10	10	Hole in the earlobe	Loch im Ohrläppchen	Furo no lobo da orelha		
KochGrunberg-1914-809-11	11	Pin in the earlobe	Stift im Ohrläppchen	Alargador no lobo da orelha		
KochGrunberg-1914-809-12	12	Hole in the lower lip	Loch im der Unterlippe	Furo no lábio inferior		
KochGrunberg-1914-809-13	13	Long and thin cylinder in the lower lip	Stift in der Unterlippe	Cilindro longo e fino no lábio inferior		
KochGrunberg-1914-809-14	14	Hole in the nasal septum	Loch in der Nasenscheidewand	Furo no septo nasal		
KochGrunberg-1914-809-15	15	Pin in the nasal septum	Stift in der Nasenscheidewand	Talo da pena no septo nasal		
KochGrunberg-1914-809-16	16	Forehead	Stirn	Testa	123	FOREHEAD
KochGrunberg-1914-809-17	17	Head	Kopf	Cabeça	1256	HEAD
KochGrunberg-1914-809-18	18	Hair (head)	Kopfhaar	Cabelo	2648	HAIR (HEAD)
KochGrunberg-1914-809-19	19	Eyebrow	Augenbrauen	Sobrancelhas	1173	EYEBROW
KochGrunberg-1914-809-20	20	Eyelashe	Augenwimpern	Cílios	1540	EYELASH
KochGrunberg-1914-809-21	21	Beard	Bart	Barba	678	BEARD
KochGrunberg-1914-809-22	22	Pubic hair	Schamhaar	Pelo pubiano	36	PUBIC HAIR
KochGrunberg-1914-809-23	23	Underarm hair	Achselhaar	Pelo nas axilas		
KochGrunberg-1914-809-24	24	Cheek	Wange	Bochecha	1730	CHEEK
KochGrunberg-1914-809-25	25	Chin	Kinn	Queixo	1510	CHIN
KochGrunberg-1914-809-26	26	Shoulder	Schulter	Ombro	1482	SHOULDER
KochGrunberg-1914-809-27	27	Arm	Arm	Braço	1673	ARM
KochGrunberg-1914-809-28	28	Elbow	Ellbogen	Cotovelo	981	ELBOW
KochGrunberg-1914-809-29	29	Hand	Hand	Mão	1277	HAND
KochGrunberg-1914-809-30	30	Back of the hand	Handrücken	Costas da mão		
KochGrunberg-1914-809-31	31	Palm of hand	Handfläche	Palma da mão	1183	PALM OF HAND
KochGrunberg-1914-809-32	32	Finger	Finger	Dedo	1303	FINGER
KochGrunberg-1914-809-33	33	Thumb	Daumen	Polegar	1781	THUMB
KochGrunberg-1914-809-34	34	Forefinger	Zeigefinger	Dedo indicador	577	FOREFINGER
KochGrunberg-1914-809-35	35	Middle finger	Mittelfinger	Dedo médio	3387	MIDDLE FINGER
KochGrunberg-1914-809-36	36	Ring finger	Ringfinger	Dedo anelar		
KochGrunberg-1914-809-37	37	Small finger	Kleinfinger	Dedo mínimo		
KochGrunberg-1914-809-38	38	Fingernail	Fingernagel	Unha	1258	FINGERNAIL
KochGrunberg-1914-809-39	39	Thigh	Oberschenkel	Coxa	471	UPPER LEG (THIGH)
