MERGER	ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	LATIN	CATEGORY	GLOSS
	Leibniz-1768-128-1	1493	ONE	1	unum	Nomina numeralia	one
	Leibniz-1768-128-10	1515	TEN	10	10	Nomina numeralia	ten
	Leibniz-1768-128-100	778	SMOKE, EXHAUST	100	fumus	Naturalia	smoke
	Leibniz-1768-128-101	1228	EARTH, SOIL	101	terra	Naturalia	land, soil
	Leibniz-1768-128-102	212	FIELD	102	ager	Naturalia	field
	Leibniz-1768-128-103	639	MOUNTAIN	103	mons	Naturalia	mountain
	Leibniz-1768-128-104	921	VALLEY	104	vallis	Naturalia	valley
	Leibniz-1768-128-105	1474	SEA	105	mare	Naturalia	sea
	Leibniz-1768-128-106	666	RIVER	106	fluvius	Naturalia	river
	Leibniz-1768-128-107	857	STONE	107	lapis	Naturalia	stone
	Leibniz-1768-128-108	671	SAND	108	arena	Naturalia	sand
	Leibniz-1768-128-109	2009	DOG	109	canis	Naturalia	dog
	Leibniz-1768-128-11	1710	TWENTY	11	20	Nomina numeralia	twenty
	Leibniz-1768-128-110	522	WOLF	110	lupus	Naturalia	wolf
	Leibniz-1768-128-111	1936	DEER	111	cervus	Naturalia	deer
	Leibniz-1768-128-112	1820	BEAR	112	ursus	Naturalia	bear
	Leibniz-1768-128-113	1312	FOX	113	vulpes	Naturalia	fox
	Leibniz-1768-128-114	937	BIRD	114	avis	Naturalia	bird
	Leibniz-1768-128-115	730	SNAKE	115	serpens	Naturalia	snake
	Leibniz-1768-128-116	1491	MOUSE	116	mus	Naturalia	mouse
	Leibniz-1768-128-117	1336	EAT	117	edere	Actiones	eat
	Leibniz-1768-128-118	1401	DRINK ACTION	118	bibere	Actiones	drink
	Leibniz-1768-128-119	1623	SPEAK	119	loqui	Actiones	talk
	Leibniz-1768-128-12	1715	THIRTY	12	30	Nomina numeralia	thirty
	Leibniz-1768-128-120	1409	SEE	120	videre	Actiones	see
	Leibniz-1768-128-121	1579	BE	121	esse	Actiones	be
	Leibniz-1768-128-122	1442	STAND	122	stare	Actiones	stand
	Leibniz-1768-128-123	695	GO	123	ire	Actiones	go
	Leibniz-1768-128-124	1417	KILL	124	occidere	Actiones	kill
	Leibniz-1768-128-125	1451	SMILE	125	ridere	Actiones	smile
	Leibniz-1768-128-126	1585	SLEEP	126	dormire	Actiones	sleep
	Leibniz-1768-128-127	1410	KNOW	127	scire	Actiones	know
	Leibniz-1768-128-128	1784	WANT	128	velle	Actiones	want
	Leibniz-1768-128-13	1716	FORTY	13	40	Nomina numeralia	fourty
	Leibniz-1768-128-14	1717	FIFTY	14	50	Nomina numeralia	fifty
	Leibniz-1768-128-15	1634	HUNDRED	15	100	Nomina numeralia	hundred
	Leibniz-1768-128-16	1843	THOUSAND	16	1000	Nomina numeralia	thousand
	Leibniz-1768-128-17	1217	FATHER	17	pater	Propinquitates & aetates	father
	Leibniz-1768-128-18	1216	MOTHER	18	mater	Propinquitates & aetates	mother
1	Leibniz-1768-128-19	1327	UNCLE	19	avus	Propinquitates & aetates	uncle
	Leibniz-1768-128-2	1498	TWO	2	duo	Nomina numeralia	two
	Leibniz-1768-128-20	1620	SON	20	filius	Propinquitates & aetates	son
	Leibniz-1768-128-21	1357	DAUGHTER	21	filia	Propinquitates & aetates	daughter
	Leibniz-1768-128-22	1262	BROTHER	22	frater	Propinquitates & aetates	brother
	Leibniz-1768-128-23	1263	SISTER	23	soror	Propinquitates & aetates	sister
1	Leibniz-1768-128-24	1327	UNCLE	24	patruus	Propinquitates & aetates	uncle
	Leibniz-1768-128-25	1200	HUSBAND	25	maritus	Propinquitates & aetates	husband
	Leibniz-1768-128-26	1199	WIFE	26	uxor	Propinquitates & aetates	wife
	Leibniz-1768-128-27	1055	FATHER-IN-LAW	27	socer	Propinquitates & aetates	father-in-law
	Leibniz-1768-128-28	1056	SON-IN-LAW	28	gener	Propinquitates & aetates	son-in-law
	Leibniz-1768-128-29	1554	MAN	29	vir	Propinquitates & aetates	man
	Leibniz-1768-128-3	492	THREE	3	3	Nomina numeralia	three
	Leibniz-1768-128-30	962	WOMAN	30	mulier	Propinquitates & aetates	woman
	Leibniz-1768-128-31	1304	CHILD YOUNG HUMAN	31	infans	Propinquitates & aetates	child
	Leibniz-1768-128-32	1207	YOUNG	32	juvenis	Propinquitates & aetates	young
	Leibniz-1768-128-33	1229	OLD	33	senex	Propinquitates & aetates	old
	Leibniz-1768-128-34	1480	BODY	34	corpus	Partes corporis	body
	Leibniz-1768-128-35	634	MEAT	35	caro	Partes corporis	flesh
	Leibniz-1768-128-36	763	SKIN	36	cutis	Partes corporis	skin
	Leibniz-1768-128-37	946	BLOOD	37	sanguis	Partes corporis	blood
	Leibniz-1768-128-38	1394	BONE	38	ossa	Partes corporis	bones
	Leibniz-1768-128-39	1256	HEAD	39	caput	Partes corporis	head
	Leibniz-1768-128-4	1500	FOUR	4	4	Nomina numeralia	four
	Leibniz-1768-128-40	123	FOREHEAD	40	frons	Partes corporis	forehead
	Leibniz-1768-128-41	1221	NOSE	41	nasus	Partes corporis	nose
	Leibniz-1768-128-42	1248	EYE	42	oculus	Partes corporis	eye
	Leibniz-1768-128-43	1658	PUPIL	43	pupilla	Partes corporis	pupil of the eye
	Leibniz-1768-128-44	1247	EAR	44	auris	Partes corporis	ear
	Leibniz-1768-128-45	678	BEARD	45	barba	Partes corporis	beard
	Leibniz-1768-128-46	674	MOUTH	46	os	Partes corporis	mouth
	Leibniz-1768-128-47	1205	TONGUE	47	lingua	Partes corporis	tongue
	Leibniz-1768-128-48	1380	TOOTH	48	dens	Partes corporis	tooth
	Leibniz-1768-128-49	1592	CHEST	49	pectus	Partes corporis	chest
	Leibniz-1768-128-5	493	FIVE	5	5	Nomina numeralia	five
	Leibniz-1768-128-50	1223	HEART	50	cor	Partes corporis	heart
	Leibniz-1768-128-51	1673	ARM	51	brachium	Partes corporis	arm
	Leibniz-1768-128-52	1277	HAND	52	manus	Partes corporis	hand
	Leibniz-1768-128-53	1301	FOOT	53	pes	Partes corporis	foot
	Leibniz-1768-128-54	1303	FINGER	54	digitus	Partes corporis	finger
	Leibniz-1768-128-55	1040	HAIR	55	crines	Partes corporis	hair
	Leibniz-1768-128-56	1251	BELLY	56	venter	Partes corporis	belly
	Leibniz-1768-128-57	796	NIPPLE	57	mamillae	Partes corporis	breasts, nipples
