ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	LATIN	CATEGORY	GLOSS	OMEGAWIKI
Leibniz-1768-128-1	9ea1fb52-6f31-4514-9ecf-c8af02dc1eb7	ONE	1	unum	Nomina numeralia	one	6244
Leibniz-1768-128-2	b8c2cf30-4437-42fe-b0d1-1e3d370eb41d	TWO	2	duo	Nomina numeralia	two	6248
Leibniz-1768-128-3	0776d5f2-a837-4635-94e4-39c9113ab890	THREE	3	3	Nomina numeralia	three	156096
Leibniz-1768-128-4	683a1b4e-7c1c-4535-890d-295215c7d211	FOUR	4	4	Nomina numeralia	four	6253
Leibniz-1768-128-5	df352358-2ff1-4117-834f-bcb5eca37c5a	FIVE	5	5	Nomina numeralia	five	156104
Leibniz-1768-128-6	452605ed-ab45-48b3-b002-dba99e67f8ed	SIX	6	6	Nomina numeralia	six	7003
Leibniz-1768-128-7	093b3611-d1ea-4e20-a239-cd684655ceab	SEVEN	7	7	Nomina numeralia	seven	7004
Leibniz-1768-128-8	f1e7c709-8cca-4d0a-84c3-9cd9028d34a6	EIGHT	8	8	Nomina numeralia	eight	7005
Leibniz-1768-128-9	9299b0cc-ad41-4cb5-94ba-fb366e06b740	NINE	9	9	Nomina numeralia	nine	6193
Leibniz-1768-128-10	a7bbf9a6-dc3a-426f-86ac-dc97ab456597	TEN	10	10	Nomina numeralia	ten	6312
Leibniz-1768-128-11	a1d8b43e-47c9-408f-9b9c-f8b44f76add7	TWENTY	11	20	Nomina numeralia	twenty	7013
Leibniz-1768-128-12	48849431-1f41-4ab0-ace5-2950595ff7d9	THIRTY	12	30	Nomina numeralia	thirty	7017
Leibniz-1768-128-13	b0b837ca-0a8a-4d57-b74b-0e61dae331b6	FORTY	13	40	Nomina numeralia	fourty	7018
Leibniz-1768-128-14	b5777e48-4e7d-446d-bd69-2169bf6aebd3	FIFTY	14	50	Nomina numeralia	fifty	7019
Leibniz-1768-128-15	7a8c0515-2e3f-40a2-9ac2-50cb9ddcd158	HUNDRED	15	100	Nomina numeralia	hundred	6685
Leibniz-1768-128-16	4abb1cb4-825c-4797-8182-a6baefce48d0	THOUSAND	16	1000	Nomina numeralia	thousand	7755
Leibniz-1768-128-17	312756e3-89a8-4d3b-a348-f8340f212b0f	FATHER	17	pater	Propinquitates & aetates	father	5464
Leibniz-1768-128-18	20777ac9-eb41-4985-aa65-d274ac412c38	MOTHER	18	mater	Propinquitates & aetates	mother	5463
Leibniz-1768-128-19	95891067-39a3-43ed-96db-21fa5c78215e	UNCLE	19	avus	Propinquitates & aetates	uncle	5806
Leibniz-1768-128-20	847255c2-2af9-49d4-998a-84e54059009b	SON	20	filius	Propinquitates & aetates	son	6634
Leibniz-1768-128-21	a9765b23-e97f-46aa-ab2b-6e1fe078ebb3	DAUGHTER	21	filia	Propinquitates & aetates	daughter	5881
Leibniz-1768-128-22	077a6e53-fea3-4c3a-bf75-c0cd6df7e7a6	BROTHER	22	frater	Propinquitates & aetates	brother	5541
Leibniz-1768-128-23	8ac405e1-d3be-4f71-8d51-0a3eec135da3	SISTER	23	soror	Propinquitates & aetates	sister	5544
Leibniz-1768-128-24	95891067-39a3-43ed-96db-21fa5c78215e	UNCLE	24	patruus	Propinquitates & aetates	uncle	5806
Leibniz-1768-128-25	89d402d6-bf71-4f5d-bb91-3cae481c5464	HUSBAND	25	maritus	Propinquitates & aetates	husband	5432
Leibniz-1768-128-26	2280db36-de00-4895-b0f4-dd16e49286b9	WIFE	26	uxor	Propinquitates & aetates	wife	5429
Leibniz-1768-128-27	29722967-242c-4aae-a3c1-042b697be779	FATHER-IN-LAW	27	socer	Propinquitates & aetates	father-in-law	454081
Leibniz-1768-128-28	077523bd-dcd0-44cc-9917-b2e71adccaef	SON-IN-LAW	28	gener	Propinquitates & aetates	son-in-law	454149
Leibniz-1768-128-29	b05994fd-36af-44e5-9193-c515ae1bc5d2	MAN	29	vir	Propinquitates & aetates	man	6397
Leibniz-1768-128-30	00068c23-9dec-44df-98ad-82ccefeb7c43	WOMAN	30	mulier	Propinquitates & aetates	woman	4165
Leibniz-1768-128-31	e3b58fb8-b930-43ac-958e-5ac16e97a06c	CHILD YOUNG HUMAN	31	infans	Propinquitates & aetates	child	568
Leibniz-1768-128-32	9b7bfd71-6c77-4194-a75b-ed4c28378774	YOUNG	32	juvenis	Propinquitates & aetates	young	5445
Leibniz-1768-128-33	df3eb2a4-3b46-4ffe-8bfa-5e27ec8e00f4	OLD	33	senex	Propinquitates & aetates	old	5482
Leibniz-1768-128-34	2f00f1cd-ed1a-4e10-9814-701055082c54	BODY	34	corpus	Partes corporis	body	6179
Leibniz-1768-128-35	1bab3615-7fa1-4a5c-9f4d-6ece5c9a7a88	MEAT	35	caro	Partes corporis	flesh	2300
Leibniz-1768-128-36	873cce95-a413-4e27-a7b1-e17570c6866d	SKIN	36	cutis	Partes corporis	skin	3430
Leibniz-1768-128-37	74c3ae87-eedb-4fb4-b783-7ec6084c0a8f	BLOOD	37	sanguis	Partes corporis	blood	411
Leibniz-1768-128-38	f1890d9d-8600-47a2-b9fd-1c48f9ce96df	BONE	38	ossa	Partes corporis	bones	5983
Leibniz-1768-128-39	335a32cf-241b-4aec-89a3-addb2c4f3d15	HEAD	39	caput	Partes corporis	head	5527
Leibniz-1768-128-40	49f934b5-6b37-4ce4-8376-0d11773586f1	FOREHEAD	40	frons	Partes corporis	forehead	1241509
Leibniz-1768-128-41	23cad4b2-107d-4e9d-87e1-713d85f21963	NOSE	41	nasus	Partes corporis	nose	5471
Leibniz-1768-128-42	95519ce3-89be-4eab-9d70-e4a66a14679a	EYE	42	oculus	Partes corporis	eye	5511
Leibniz-1768-128-43	27c5c8c3-2f40-4b34-93a5-4a42713f061a	PUPIL	43	pupilla	Partes corporis	pupil of the eye	683023
Leibniz-1768-128-44	18f41536-cbfc-4018-ab18-ff26d663e5ad	EAR	44	auris	Partes corporis	ear	5510
Leibniz-1768-128-45	aa0b58cd-b586-4275-99ea-0a800da8ef92	BEARD	45	barba	Partes corporis	beard	333455
Leibniz-1768-128-46	c780cfa8-2b82-4235-b292-b58476612151	MOUTH	46	os	Partes corporis	mouth	332000
Leibniz-1768-128-47	19f99c4f-8a24-42a1-9c6d-348f2294ff82	TONGUE	47	lingua	Partes corporis	tongue	5440
Leibniz-1768-128-48	930fe9a4-75f0-43b3-83af-80f7edab2d5b	TOOTH	48	dens	Partes corporis	tooth	5946
Leibniz-1768-128-49	adb42c2d-5489-426c-92d8-9534af7e06ca	CHEST	49	pectus	Partes corporis	chest	6532
Leibniz-1768-128-50	81d67aed-f7a8-465a-b815-33c82c179698	HEART	50	cor	Partes corporis	heart	5475
Leibniz-1768-128-51	bd32f65c-1521-4c5d-a925-e9e20fa3fc5d	ARM	51	brachium	Partes corporis	arm	6894
Leibniz-1768-128-52	2dd51808-bdfd-4f54-b3fd-8379b3728b62	HAND	52	manus	Partes corporis	hand	5616
Leibniz-1768-128-53	06cd62a9-8918-44a8-969c-0fe5dfecafef	FOOT	53	pes	Partes corporis	foot	5672
Leibniz-1768-128-54	84fc0fdd-b842-4f6f-999c-30ad130def3c	FINGER	54	digitus	Partes corporis	finger	5675
Leibniz-1768-128-55	680c0e51-ffd9-4f1e-8922-79573f551a0d	HAIR	55	crines	Partes corporis	hair	446278
Leibniz-1768-128-56	3105c3dd-fd8d-4a5c-b038-e89a1e39ab01	BELLY	56	venter	Partes corporis	belly	5516
Leibniz-1768-128-57	d57d9f65-33f1-4b7c-b5ec-3569fcae4f3b	BREAST	57	mamillae	Partes corporis	breasts, nipples	5992
	4433bd80-2d15-415f-97f6-84417b91d7bd	NIPPLE	57	mamillae	Partes corporis	breasts, nipples	348030
Leibniz-1768-128-58	273517d1-ccba-47a8-a78e-95196a0ef1c3	FOOD	58	cibus	Necessitates	food	1505
Leibniz-1768-128-59	53e8a171-242f-4c19-ac63-0f99dad1f3a3	DRINK FLUID	59	potus	Necessitates	drink	339
Leibniz-1768-128-60	729dc7d9-8fc2-48a0-96fe-38d086add5ec	BREAD	60	panis	Necessitates	bread	5910
Leibniz-1768-128-61	a39512d8-34d4-4169-9610-af884b65ff3e	WATER	61	aqua	Necessitates	water	4118
Leibniz-1768-128-62	2f464e80-166d-4de9-81be-526cb9df8efa	MILK FLUID	62	lac	Necessitates	milk	2358
Leibniz-1768-128-63	54c25080-5865-41a7-8cb9-95062639ce16	WINE	63	vinum	Necessitates	wine	6329
Leibniz-1768-128-64	79804ec6-9eaa-49f2-bdd1-ce4a2d86651e	MEAD	64	medo	Necessitates	mead	403676
Leibniz-1768-128-65	fe914c96-a710-4775-b17a-0c130be65923	PLANT, VEGETATION	65	herba	Necessitates	plant	2836
Leibniz-1768-128-66	cd970c10-b57f-4709-ab58-9486d0b97ca2	GRAIN	66	frumentum	Necessitates	grain	1674
Leibniz-1768-128-67	ed5613c8-4fb6-47e6-bd74-9ba0e709c7f1	APPLE	67	pomum	Necessitates	apple	5781
Leibniz-1768-128-68	3c67af51-40af-40a0-b14f-830b68f8bf28	SALT	68	sal	Necessitates	salt	5599
Leibniz-1768-128-69	28bff12a-4f3c-47a0-b6fe-018423e741e5	FISH	69	piscis	Necessitates	fish	1460
Leibniz-1768-128-70	99a1924b-f6e3-44f6-ae91-430b2c1f525e	OX	70	bos	Necessitates	ox	518788
