ID	NUMBER	ENGLISH	CHINESE	CONCEPTICON_ID	CONCEPTICON_GLOSS
Lin-2010-89-1	1	ash	灰烬	646	ASH
Lin-2010-89-2	2	belly	肚子	1251	BELLY
Lin-2010-89-3	3	big	大	1202	BIG
Lin-2010-89-4	4	bird	鳥	937	BIRD
Lin-2010-89-5	5	bite	咬	1403	BITE
Lin-2010-89-6	6	black	黑	163	BLACK
Lin-2010-89-7	7	blood	血	946	BLOOD
Lin-2010-89-8	8	bone	骨頭	1394	BONE
Lin-2010-89-9	9	breasts	乳房	1402	BREAST
Lin-2010-89-10	10	burn	燒	141	BURN (SOMETHING)
Lin-2010-89-11	11	claw	爪子	72	CLAW
Lin-2010-89-12	12	cloud	雲	1489	CLOUD
Lin-2010-89-13	13	cold	冷	1287	COLD
Lin-2010-89-14	14	come	來	1446	COME
Lin-2010-89-15	15	die	死	1494	DIE
Lin-2010-89-16	16	dog	狗	2009	DOG
Lin-2010-89-17	17	drink	喝	1401	DRINK
Lin-2010-89-18	18	dry	干	1398	DRY
Lin-2010-89-19	19	ear	耳朵	1247	EAR
Lin-2010-89-20	20	earth	土	1228	EARTH (SOIL)
Lin-2010-89-21	21	eat	吃	1336	EAT
Lin-2010-89-22	22	egg	蛋	744	EGG
Lin-2010-89-23	23	eye	眼睛	1248	EYE
Lin-2010-89-24	24	feather	羽毛	1201	FEATHER
Lin-2010-89-25	25	fire	火	221	FIRE
Lin-2010-89-26	26	fish	魚	227	FISH
Lin-2010-89-27	27	flesh	肉	634	MEAT
Lin-2010-89-28	28	fly	飛	1441	FLY (MOVE THROUGH AIR)
Lin-2010-89-29	29	foot	腳	1301	FOOT
Lin-2010-89-30	30	full	滿	1429	FULL
Lin-2010-89-31	31	give	給	1447	GIVE
Lin-2010-89-32	32	good	好	1035	GOOD
Lin-2010-89-33	33	grease	脂肪	323	GREASE
Lin-2010-89-34	34	green	綠	1425	GREEN
Lin-2010-89-35	35	hand	手	1277	HAND
Lin-2010-89-36	36	head	頭	1256	HEAD
Lin-2010-89-37	37	hear	聽	1408	HEAR
Lin-2010-89-38	38	heart	心	1223	HEART
Lin-2010-89-39	39	horn	角	1393	HORN (KERATINIZED SKIN)
Lin-2010-89-40	40	hot	熱	1286	HOT
Lin-2010-89-41	41	I	我	1209	I
Lin-2010-89-42	42	kill	殺	1417	KILL
Lin-2010-89-43	43	know	知道	1410	KNOW (SOMETHING)
Lin-2010-89-44	44	leaf	葉子	628	LEAF
Lin-2010-89-45	45	lie	躺	1411	LIE (REST)
Lin-2010-89-46	46	liver	肝	1224	LIVER
Lin-2010-89-47	47	long	長	1203	LONG
Lin-2010-89-48	48	louse	虱子	1392	LOUSE
Lin-2010-89-49	49	many	多	1198	MANY
Lin-2010-89-50	50	moon	月亮	1313	MOON
Lin-2010-89-51	51	mountain	山	639	MOUNTAIN
Lin-2010-89-52	52	mouth	最	674	MOUTH
Lin-2010-89-53	53	name	名字	1405	NAME
Lin-2010-89-54	54	new	新	1231	NEW
Lin-2010-89-55	55	night	晚上	1233	NIGHT
Lin-2010-89-56	56	nose	鼻子	1221	NOSE
Lin-2010-89-57	57	not	不	1240	NOT
Lin-2010-89-58	58	one	一	1493	ONE
Lin-2010-89-59	59	path	路	2252	PATH
Lin-2010-89-60	60	person	人	683	PERSON
Lin-2010-89-61	61	rain	雨	658	RAIN (PRECIPATION)
Lin-2010-89-62	62	red	紅	156	RED
Lin-2010-89-63	63	root	根	670	ROOT
Lin-2010-89-64	64	round	圓	1395	ROUND
Lin-2010-89-65	65	sand	沙	671	SAND
Lin-2010-89-66	66	say	說	1458	SAY
Lin-2010-89-67	67	see	看	1409	SEE
Lin-2010-89-68	68	seed	种子	714	SEED
Lin-2010-89-69	69	sit	坐	1416	SIT
Lin-2010-89-70	70	skin	皮膚	763	SKIN
Lin-2010-89-71	71	sleep	睡	1585	SLEEP
Lin-2010-89-72	72	small	小	1246	SMALL
Lin-2010-89-73	73	smoke	煙	778	SMOKE (EXHAUST)
Lin-2010-89-74	74	stand	站	1442	STAND
Lin-2010-89-75	75	star	星星	1430	STAR
Lin-2010-89-76	76	stone	石頭	857	STONE
Lin-2010-89-77	77	sun	太陽	1343	SUN
Lin-2010-89-78	78	tail	尾巴	1220	TAIL
Lin-2010-89-79	79	that	那	78	THAT
Lin-2010-89-80	80	this	這	1214	THIS
Lin-2010-89-81	81	tongue	舌頭	1205	TONGUE
Lin-2010-89-82	82	tooth	牙齒	1380	TOOTH
Lin-2010-89-83	83	tree	樹	906	TREE
Lin-2010-89-84	84	two	二	1498	TWO
Lin-2010-89-85	85	walk	走	1443	WALK
Lin-2010-89-86	86	water	水	948	WATER
Lin-2010-89-87	87	white	白	1335	WHITE
Lin-2010-89-88	88	yellow	黃	1424	YELLOW
Lin-2010-89-89	89	you	你	1215	THOU
