ID	NUMBER	SPANISH	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Lionnet-1985-364-1	1	abejas, panal	bees, hive	88	BEEHIVE
Lionnet-1985-364-2	2	abofetear	slap	3160	SLAP
Lionnet-1985-364-3	3	abrir ojos	open eyes	3234	OPEN (EYES)
Lionnet-1985-364-4	4	abuela materna	maternal grandmother	2177	MATERNAL GRANDMOTHER
Lionnet-1985-364-5	5	abuelo materno	maternal grandfather	2178	MATERNAL GRANDFATHER
Lionnet-1985-364-6	6	acontecer	happen, occur	248	HAPPEN
Lionnet-1985-364-7	7	acostarse	lie down	215	LIE DOWN
Lionnet-1985-364-8	8	adobe	adobe	901	ADOBE
Lionnet-1985-364-9	9	afilado	sharp	1396	SHARP
Lionnet-1985-364-10	10	aflojarse	loosen	1933	LOOSEN
Lionnet-1985-364-11	11	agacharse	crouch	296	CROUCH
Lionnet-1985-364-12	12	agotar	become used up, spent		
Lionnet-1985-364-13	13	agotarse	become used up, spent		
Lionnet-1985-364-14	14	agrio	sour	1906	SOUR
Lionnet-1985-364-15	15	agua	water	948	WATER
Lionnet-1985-364-16	16	águila	eagle	1905	EAGLE
Lionnet-1985-364-17	17	aguililla	hawk	307	HAWK
Lionnet-1985-364-18	18	ala	wing	1257	WING
Lionnet-1985-364-19	19	algodón	cotton	1850	COTTON
Lionnet-1985-364-20	20	amanecer	sunrise	2296	SUNRISE
Lionnet-1985-364-21	21	amargo	bitter	887	BITTER
Lionnet-1985-364-22	22	amarillo	yellow	1424	YELLOW
Lionnet-1985-364-23	23	amarrar	fasten, tie	1094	FASTEN
Lionnet-1985-364-24	24	animal doméstico	domestic animal		
Lionnet-1985-364-25	25	anzuelo	fishhook	1074	FISHHOOK
Lionnet-1985-364-26	26	apagarse	die down (fire)	127	EXTINGUISH
Lionnet-1985-364-27	27	aprender	learn	504	LEARN
Lionnet-1985-364-28	28	araña	spider	843	SPIDER
Lionnet-1985-364-29	29	arco	bow	994	BOW
Lionnet-1985-364-30	30	arder	burn	1428	BURNING
Lionnet-1985-364-31	31	arena	sand	671	SAND
Lionnet-1985-364-32	32	arrancar	rip off, pull	1455	PULL
Lionnet-1985-364-33	33	arroyo	small river, stream	3311	FLOWING BODY OF WATER
Lionnet-1985-364-34	34	arrugarse	wrinkle		
Lionnet-1985-364-35	35	asar	roast	1962	ROAST (SOMETHING)
Lionnet-1985-364-36	36	atascarse	get stucked		
Lionnet-1985-364-37	37	aura	buzzard, turkey vulture		
Lionnet-1985-364-38	38	avispa	wasp	1517	WASP
Lionnet-1985-364-39	39	ayudar	help	1897	HELP
Lionnet-1985-364-40	40	azotar	whip	2630	WHIP
Lionnet-1985-364-41	41	bagre	catfish	3777	CATFISH
Lionnet-1985-364-42	42	bailar	dance	1879	DANCE
Lionnet-1985-364-43	43	bañarse	bathe	138	BATHE
Lionnet-1985-364-44	44	barbas	beard	678	BEARD
Lionnet-1985-364-45	45	beber	drink	1401	DRINK
Lionnet-1985-364-46	46	blanco	white	1335	WHITE
Lionnet-1985-364-47	47	blanco de raza	white person, mestizo		
Lionnet-1985-364-48	48	boca	mouth	674	MOUTH
Lionnet-1985-364-49	49	bola	ball	1845	BALL
Lionnet-1985-364-50	50	brasa	embers	67	EMBERS
Lionnet-1985-364-51	51	brazo, mano	arm, hand	2121	ARM OR HAND
Lionnet-1985-364-52	52	bueno	good	1035	GOOD
Lionnet-1985-364-53	53	buho	owl	735	OWL
