ID	NUMBER	IDS_KEY	ENGLISH	GERMAN	CONCEPTICON_ID	CONCEPTICON_GLOSS
List-2020-1365-1	1	1-100	world	die Welt	965	WORLD
List-2020-1365-2	2	1-210	earth, land	das Land (die Erde)	626	LAND
List-2020-1365-3	3	1-212	earth=ground, soil	die Erde (Substanz)	1228	EARTH (SOIL)
List-2020-1365-4	4	1-213	dust	der Staub	2	DUST
List-2020-1365-5	5	1-214	mud	der Schlamm	640	MUD
List-2020-1365-6	6	1-215	sand	der Sand	671	SAND
List-2020-1365-7	7	1-220	mountain, hill	der Berg	639	MOUNTAIN
List-2020-1365-8	8	1-220	mountain, hill	der Hügel	614	HILL
List-2020-1365-9	9	1-222	cliff, precipice	die Klippe	618	PRECIPICE
List-2020-1365-10	10	1-230	plain, field	die Ebene	652	PLAIN
List-2020-1365-11	11	1-240	valley	das Tal	921	VALLEY
List-2020-1365-12	12	1-250	island	die Insel	622	ISLAND
List-2020-1365-13	13	1-260	mainland	das Festland	166	MAINLAND
List-2020-1365-14	14	1-270	shore	das Ufer	3464	SHORE OF LAKE
List-2020-1365-15	15	1-270	shore	der Strand	3465	SHORE OF SEA
List-2020-1365-16	16	1-280	cave	die Höhle	1155	CAVE
List-2020-1365-17	17	1-310	water	das Wasser	948	WATER
List-2020-1365-18	18	1-320	sea	das Meer	1474	SEA
List-2020-1365-19	19	1-322	calm (of sea)	die Meeresstille	3820	CALM (OF SEA)
List-2020-1365-20	20	1-323	rough (of sea)	rauh (bewegt, vom Meer)	259	ROUGH (OF SEA)
List-2020-1365-21	21	1-324	foam	der Schaum	1768	FOAM
List-2020-1365-22	22	1-329	ocean	der Ozean	645	OCEAN
List-2020-1365-23	23	1-330	lake	der See	624	LAKE
List-2020-1365-24	24	1-340	gulf, bay	die Bucht	663	BAY
List-2020-1365-25	25	1-341	lagoon	die Lagune	623	LAGOON
List-2020-1365-26	26	1-342	reef	das Riff	660	REEF
List-2020-1365-27	27	1-343	headland, point	die Landzunge	1662	CAPE
List-2020-1365-28	28	1-350	wave	die Welle	978	WAVE
List-2020-1365-29	29	1-352	tide	die Gezeiten	891	TIDE
List-2020-1365-30	30	1-353	lowtide	die Ebbe	1026	LOW TIDE
List-2020-1365-31	31	1-354	hightide	die Flut	613	HIGH TIDE
List-2020-1365-32	32	1-360	river, stream, brook	der Bach	3821	BROOK
List-2020-1365-33	33	1-360	river, stream, brook	der Fluss	666	RIVER
List-2020-1365-34	34	1-360	river, stream, brook	der Strom	947	STREAM
List-2020-1365-35	35	1-362	whirlpool	der Wirbel (im Wasser)	1982	WHIRLPOOL
List-2020-1365-36	36	1-370	spring, well	der Brunnen	954	WELL
List-2020-1365-37	37	1-370	spring, well	die Quelle	849	SPRING (OF WATER)
List-2020-1365-38	38	1-380	swamp	der Sumpf	1145	SWAMP
List-2020-1365-39	39	1-390	waterfall	der Wasserfall	943	WATERFALL
List-2020-1365-40	40	1-410	woods, forest	der WAld	420	FOREST
List-2020-1365-41	41	1-420	tree (cf 08.600)	der Baum (siehe 8-600)	906	TREE
List-2020-1365-42	42	1-430	wood	das Holz	1803	WOOD
List-2020-1365-43	43	1-440	stone, rock	der Felsen	668	ROCK
List-2020-1365-44	44	1-440	stone, rock	der Stein	857	STONE
List-2020-1365-45	45	1-450	earthquake	das Erdbeben	6	EARTHQUAKE
List-2020-1365-46	46	1-510	sky	der Himmel	1732	SKY
List-2020-1365-47	47	1-520	sun	die Sonne	1343	SUN
List-2020-1365-48	48	1-530	moon	der Mond	1313	MOON
List-2020-1365-49	49	1-540	star	der Stern	1430	STAR
List-2020-1365-50	50	1-550	lightning	das Blitzen	1654	LIGHTNING
List-2020-1365-51	51	1-560	thunder	der Donner	1150	THUNDER
List-2020-1365-52	52	1-570	lightning (as striking)	der Blitz	2007	BOLT (OF LIGHTNING)
List-2020-1365-53	53	1-580	storm	der Sturm	858	STORM
List-2020-1365-54	54	1-590	rainbow	der Regenbogen	1733	RAINBOW
List-2020-1365-55	55	1-610	light (noun)	das Licht	630	LIGHT (RADIATION)
List-2020-1365-56	56	1-620	darkness	die Dunkelheit	11	DARKNESS
List-2020-1365-57	57	1-630	shade, shadow	der Schatten	1388	SHADE
List-2020-1365-58	58	1-640	dew	der Tau	1977	DEW
List-2020-1365-59	59	1-710	air	die Luft	27	AIR
List-2020-1365-60	60	1-720	wind	der Wind	960	WIND
List-2020-1365-61	61	1-730	cloud	die Wolke	1489	CLOUD
List-2020-1365-62	62	1-740	fog	der Nebel	249	FOG
List-2020-1365-63	63	1-750	rain (noun)	der Regen	658	RAIN (PRECIPITATION)
List-2020-1365-64	64	1-760	snow (noun)	der Schnee	784	SNOW
List-2020-1365-65	65	1-770	ice	das Eis	617	ICE
List-2020-1365-66	66	1-780	weather	das Wetter	952	WEATHER
List-2020-1365-67	67	1-810	fire	das Feuer	221	FIRE
List-2020-1365-68	68	1-820	flame (noun)	die Flamme	889	FLAME
List-2020-1365-69	69	1-830	smoke (noun)	der Rauch	778	SMOKE (EXHAUST)
List-2020-1365-70	70	1-840	ashes	Asche	646	ASH
List-2020-1365-71	71	1-841	embers	die Glut	67	EMBERS
List-2020-1365-72	72	1-851	burn (vb trans)	verbrennen	141	BURN (SOMETHING)
List-2020-1365-73	73	1-852	burn (vb intrans)	brennen	1428	BURNING
List-2020-1365-74	74	1-860	light, kindle, ignite	anzünden	737	LIGHT (IGNITE)
List-2020-1365-75	75	1-861	extinguish	auslöschen	127	EXTINGUISH
List-2020-1365-76	76	1-870	match (noun)	das Streichholz	1133	MATCH
List-2020-1365-77	77	1-880	firewood	das Brennholz	10	FIREWOOD
List-2020-1365-78	78	1-890	charcoal	die Holzkohle	1188	CHARCOAL
List-2020-1365-79	79	2-100	person, human being	die Person	683	PERSON
List-2020-1365-80	80	2-210	man (vs. woman)	der Mann	1554	MAN
List-2020-1365-81	81	2-220	woman	die Frau	962	WOMAN
List-2020-1365-82	82	2-230	male	männlich (von einer Person)	2261	MALE (OF PERSON)
List-2020-1365-83	83	2-240	female	das Weibchen	2262	FEMALE (OF ANIMAL)
List-2020-1365-84	84	2-250	boy	der Junge	1366	BOY
List-2020-1365-85	85	2-251	young man (adolescent)	der junge Mann	76	YOUNG MAN
List-2020-1365-86	86	2-260	girl	das Mädchen	1646	GIRL
List-2020-1365-87	87	2-261	young woman (adolescent)	die junge Frau	77	YOUNG WOMAN
List-2020-1365-88	88	2-270	child	das Kind	1304	CHILD (YOUNG HUMAN)
List-2020-1365-89	89	2-280	infant, baby	das Baby	1289	BABY
List-2020-1365-90	90	2-310	husband	der Ehemann	1200	HUSBAND
List-2020-1365-91	91	2-320	wife	die Ehefrau	1199	WIFE
List-2020-1365-92	92	2-330	marry	heiraten	203	MARRY
List-2020-1365-93	93	2-340	marriage, wedding	die Ehe	2432	MARRIAGE
List-2020-1365-94	94	2-340	marriage, wedding	die Hochzeit	1259	WEDDING
List-2020-1365-95	95	2-341	divorce	die Scheidung	1134	DIVORCE
List-2020-1365-96	96	2-350	father	der Vater	1217	FATHER
List-2020-1365-97	97	2-360	mother	die Mutter	1216	MOTHER
List-2020-1365-98	98	2-370	parents	die Eltern	505	PARENTS
List-2020-1365-99	99	2-380	married man	der verheiratete Mann	424	MARRIED MAN
List-2020-1365-100	100	2-390	married woman	die verheiratete Frau	426	MARRIED WOMAN
List-2020-1365-101	101	2-410	son	der Sohn	1620	SON
List-2020-1365-102	102	2-420	daughter	die Tochter	1357	DAUGHTER
List-2020-1365-103	103	2-430	offspring (son or daughter)	das Kind (Sohn oder Tochter)	1801	CHILD (DESCENDANT)
List-2020-1365-104	104	2-440	brother	der Bruder	1262	BROTHER
List-2020-1365-105	105	2-444	older brother	der große Bruder	1759	OLDER BROTHER
List-2020-1365-106	106	2-445	younger brother	der kleine Bruder	1760	YOUNGER BROTHER
List-2020-1365-107	107	2-450	sister	die Schwester	1263	SISTER
List-2020-1365-108	108	2-454	older sister	die große Schwester	1758	OLDER SISTER
List-2020-1365-109	109	2-455	younger sister	die kleine Schwester	1761	YOUNGER SISTER
List-2020-1365-110	110	2-456	sibling	die Geschwister	1640	SIBLING
List-2020-1365-111	111	2-458	twins	die Zwillinge	1005	TWINS
List-2020-1365-112	112	2-460	grandfather	der Großvater	1383	GRANDFATHER
List-2020-1365-113	113	2-461	old man	der alte Mann	406	OLD MAN
List-2020-1365-114	114	2-470	grandmother	die Großmutter	1496	GRANDMOTHER
List-2020-1365-115	115	2-471	old woman	die alte Frau	907	OLD WOMAN
List-2020-1365-116	116	2-480	grandson	der Enkel	1618	GRANDSON
List-2020-1365-117	117	2-490	granddaughter	die Enkelin	1619	GRANDDAUGHTER
List-2020-1365-118	118	2-510	uncle	der Onkel	1327	UNCLE
List-2020-1365-119	119	2-511	mother's brother	der Onkel (mütterlicherseits)	2692	MATERNAL UNCLE (MOTHER'S BROTHER)
List-2020-1365-120	120	2-512	father's brother	Onkel (väterlicherseits)	1985	PATERNAL UNCLE (FATHER'S BROTHER)
List-2020-1365-121	121	2-520	aunt	Tante	1272	AUNT
List-2020-1365-122	122	2-521	mother's sister	die Tante (mütterlicherseits)	2693	MATERNAL AUNT (MOTHER'S SISTER)
List-2020-1365-123	123	2-522	father's sister	Tante (väterlicherseits)	2691	PATERNAL AUNT (FATHER'S SISTER)
List-2020-1365-124	124	2-530	nephew	der Neffe	1063	NEPHEW
List-2020-1365-125	125	2-540	niece	die Nichte	1642	NIECE
List-2020-1365-126	126	2-550	cousin	der Cousin	3822	MALE COUSIN
List-2020-1365-127	127	2-550	cousin	die Kusine	3823	FEMALE COUSIN
List-2020-1365-128	128	2-560	ancestors	die Vorfahren	1669	ANCESTORS
List-2020-1365-129	129	2-570	descendants	die Nachkommen	490	DESCENDANTS
List-2020-1365-130	130	2-610	father-in-law (of a man)	der Schwiegervater (von einem Mann)	2255	FATHER-IN-LAW (OF MAN)
List-2020-1365-131	131	2-611	father-in-law (of a woman)	der Schwiegervater (von einer Frau)	2254	FATHER-IN-LAW (OF WOMAN)
List-2020-1365-132	132	2-620	mother-in-law (of a man)	die Schwiegermutter (eines Mannes)	2257	MOTHER-IN-LAW (OF MAN)
List-2020-1365-133	133	2-621	mother-in-law (of a woman)	die Schwiegermutter (einer Frau)	2256	MOTHER-IN-LAW (OF WOMAN)
List-2020-1365-134	134	2-630	son-in-law (of a man)	der Schwiegerson (vom Mann)	2267	SON-IN-LAW (OF MAN)
List-2020-1365-135	135	2-631	son-in-law (of a woman)	der Schwiegerson (von der Frau)	2266	SON-IN-LAW (OF WOMAN)
List-2020-1365-136	136	2-640	daughter-in-law (of a man)	die Schwiegertochter (eines Mannes)	2265	DAUGHTER-IN-LAW (OF MAN)
List-2020-1365-137	137	2-641	daughter-in-law (of a woman)	die Schwiegertochter (einer Frau)	2264	DAUGHTER-IN-LAW (OF WOMAN)
List-2020-1365-138	138	2-710	stepfather	der Stiefvater	237	STEPFATHER
List-2020-1365-139	139	2-720	stepmother	die Stiefmutter	236	STEPMOTHER
List-2020-1365-140	140	2-730	stepson	der Stiefsohn	1059	STEPSON
List-2020-1365-141	141	2-740	stepdaughter	die Stieftochter	1058	STEPDAUGHTER
List-2020-1365-142	142	2-750	orphan	der Waise	1149	ORPHAN
List-2020-1365-143	143	2-760	widow	die Witwe	1756	WIDOW
List-2020-1365-144	144	2-770	widower	der Witwer	1981	WIDOWER
List-2020-1365-145	145	2-810	relatives, kinsmen	die Verwandtschaft	1644	RELATIVES
List-2020-1365-146	146	2-820	family	die Familie	194	FAMILY
List-2020-1365-147	147	2-910	I	ich	1209	I
List-2020-1365-148	148	2-920	you (singular)	du	1215	THOU
