ID	NUMBER	MANDARINE_CHINESE	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	SOURCE	WORD_LENGTH	IMAGE_VARIABILITY	IMAGE_AGREEMENT	CONCEPT_FAMILIARITY	VISUAL_COMPLEXITY	SUBJECTIVE_FREQUENCY	NAME_AGREEMENT_PERCENT	NAME_AGREMENT_H	CONCEPT_AGREEMENT	AoA_RATED	AoA_OBJECTIVE	ERROR_PERCENT	LATENCY_ms
Liu-2011-435-1	1	算盘	abacus	2489	ABACUS	4	2	3.36	4.33	4.64	3.68	1.71	0.88	0.54	1.00	3.44	5.74	0.03	894
Liu-2011-435-2	2	水母	acaleph			4	2	2.62	3.37	2.67	3.84	1.60	0.25	2.72	0.28	6.25	10.86	0.34	1635
Liu-2011-435-3	3	手风琴	accordion	2603	ACCORDION	1	3	3.21	4.00	4.14	3.89	1.94	0.78	0.64	0.93	4.00	10.50	0.06	1102
Liu-2011-435-4	4	飞机	air plane	1597	AIRPLANE	1	2	3.31	4.28	4.67	2.62	2.97	0.90	0.55	1.00	2.76	2.25	0.00	748
Liu-2011-435-5	5	闹钟	alarm clock			5	2	2.86	4.11	4.75	3.86	3.97	0.85	0.71	1.00	3.81	3.41	0.03	818
Liu-2011-435-6	6	鳄鱼	alligator	1581	ALLIGATOR	1	2	2.69	4.31	4.17	3.86	2.09	0.90	0.62	0.95	4.18	4.42	0.00	1050
Liu-2011-435-7	7	救护车	ambulance	4013	AMBULANCE	4	3	2.60	3.72	4.50	2.97	2.43	0.93	0.45	0.98	4.31	4.66	0.03	1091
Liu-2011-435-8	8	锚	anchor	1870	ANCHOR	1	1	1.95	2.96	3.50	2.11	1.94	0.45	1.95	0.48	5.63	11.00	0.37	1423
Liu-2011-435-9	9	蚂蚁	ant	587	ANT	1	2	3.10	3.42	3.92	3.43	2.34	0.58	1.71	0.58	2.40	4.58	0.11	1282
Liu-2011-435-10	10	天线	antenna			5	2	2.88	3.40	4.36	2.24	2.46	0.43	1.80	0.55	3.88	10.80	0.09	1148
Liu-2011-435-11	11	苹果	apple	1320	APPLE	1	2	3.05	4.03	4.81	1.62	3.86	0.95	0.17	0.95	1.94	2.25	0.00	1016
Liu-2011-435-12	12	手臂	arm	1673	ARM	1	2	2.62	4.11	4.92	2.05	3.69	0.53	2.15	1.00	2.50	3.56	0.00	895
Liu-2011-435-13	13	箭	arrow	977	ARROW	5	1	2.81	3.45	4.44	1.38	2.14	0.63	1.31	0.78	3.31	4.72	0.00	1062
Liu-2011-435-14	14	箭头	arrow	977	ARROW	1	2	2.83	4.17	4.61	1.19	2.88	0.73	1.60	1.00	4.38	5.19	0.00	848
Liu-2011-435-15	15	烟灰缸	ashtray	4028	ASHTRAY	1	3	3.12	3.75	3.61	2.08	2.34	0.43	2.18	0.48	3.94	10.70	0.26	1390
Liu-2011-435-16	16	斧头	axe	677	AXE	1	2	3.29	4.49	4.78	1.76	1.94	0.73	1.04	1.00	3.12	5.77	0.03	860
Liu-2011-435-17	17	羽毛球	badminton			4	3	3.38	4.63	4.92	3.68	3.03	1.00	0.00	1.00	4.18	4.58	0.00	839
Liu-2011-435-18	18	书包	bag	2468	BAG	5	2	2.95	3.06	4.75	2.43	4.31	0.60	2.03	1.00	2.56	4.66	0.00	866
Liu-2011-435-19	19	气球	ball	1845	BALL	1	2	3.07	4.42	4.69	1.14	2.80	0.95	0.17	0.95	2.00	2.81	0.06	1007
Liu-2011-435-20	20	竹子	bamboo	1927	BAMBOO	5	2	2.55	3.97	4.72	2.05	2.29	0.73	0.91	0.93	3.31	4.58	0.00	975
Liu-2011-435-21	21	笋	bamboo sprouts			5	1	2.57	3.74	3.69	4.27	2.31	0.35	1.72	0.70	4.47	10.35	0.03	1231
