ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Luangthongkum-2019-340-1	1	all, all gone, whole		
Luangthongkum-2019-340-2	2	ant	587	ANT
Luangthongkum-2019-340-3	3	arrive	1387	ARRIVE
Luangthongkum-2019-340-4	4	arrow, dart	977	ARROW
Luangthongkum-2019-340-5	5	ascend, go up, rise	705	GO UP (ASCEND)
Luangthongkum-2019-340-6	6	ashes, fireplace		
Luangthongkum-2019-340-7	7	astringent		
Luangthongkum-2019-340-8	8	bamboo	1927	BAMBOO
Luangthongkum-2019-340-9	9	bamboo rat		
Luangthongkum-2019-340-10	10	bamboo strip		
Luangthongkum-2019-340-11	11	bamboo shoot		
Luangthongkum-2019-340-12	12	bark (n.), leather, skin	2127	BARK OR SKIN
Luangthongkum-2019-340-13	13	bat	1793	BAT
Luangthongkum-2019-340-14	14	bathe	138	BATHE
Luangthongkum-2019-340-15	15	bear (animal)	1820	BEAR
Luangthongkum-2019-340-16	16	bedbug	1949	BEDBUG
Luangthongkum-2019-340-17	17	bee (Apis cerana)		
Luangthongkum-2019-340-18	18	bee (Apis dorsata)		
Luangthongkum-2019-340-19	19	believe	1890	BELIEVE
Luangthongkum-2019-340-20	20	below, under, underneath	1485	BELOW OR UNDER
Luangthongkum-2019-340-21	21	big, large	1202	BIG
Luangthongkum-2019-340-22	22	bird	937	BIRD
Luangthongkum-2019-340-23	23	bite (v.)	1403	BITE
Luangthongkum-2019-340-24	24	bitter	887	BITTER
Luangthongkum-2019-340-25	25	blood	946	BLOOD
Luangthongkum-2019-340-26	26	blow (a fire)	176	BLOW (WITH MOUTH)
Luangthongkum-2019-340-27	27	boar (wild~)	3154	WILD BOAR
Luangthongkum-2019-340-28	28	boat	1844	BOAT
Luangthongkum-2019-340-29	29	body dirt		
Luangthongkum-2019-340-30	30	boil (v.)	2493	BOIL
Luangthongkum-2019-340-31	31	bone	1394	BONE
Luangthongkum-2019-340-32	32	braid		
Luangthongkum-2019-340-33	33	brain	1583	BRAIN
Luangthongkum-2019-340-34	34	bran,chaff	2363	CHAFF (HUSK)
Luangthongkum-2019-340-35	35	breasts	1402	BREAST
Luangthongkum-2019-340-36	36	broken, split, separate		
Luangthongkum-2019-340-37	37	buffalo	934	BUFFALO
Luangthongkum-2019-340-38	38	buy	1869	BUY
Luangthongkum-2019-340-39	39	caress		
Luangthongkum-2019-340-40	40	carry (on the back)	465	CARRY ON BACK
Luangthongkum-2019-340-41	41	caterpillar	2247	CATERPILLAR
Luangthongkum-2019-340-42	42	catfish	3777	CATFISH
Luangthongkum-2019-340-43	43	carapace, shell	598	SHELL
Luangthongkum-2019-340-44	44	centipede	1974	CENTIPEDE
Luangthongkum-2019-340-45	45	chameleon	1555	CHAMELEON
Luangthongkum-2019-340-46	46	charcoal	1188	CHARCOAL
Luangthongkum-2019-340-47	47	chicken	1318	CHICKEN
