ID	BLUST_2008_210	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Luqman-2010-65-1	1	1	Hand	1277	HAND
Luqman-2010-65-2	2	2	Left	244	LEFT
Luqman-2010-65-3	3	3	Right	1019	RIGHT
Luqman-2010-65-4	6	4	Road	667	ROAD
Luqman-2010-65-5	12	5	Skin	763	SKIN
Luqman-2010-65-6	15	6	Bone	1394	BONE
Luqman-2010-65-7	19	7	Shoulder	1482	SHOULDER
Luqman-2010-65-8	22	8	Fear	1419	FEAR (BE AFRAID)
Luqman-2010-65-9	23	9	Blood	946	BLOOD
Luqman-2010-65-10	25	10	Neck	1333	NECK
Luqman-2010-65-11	26	11	Hair	1040	HAIR
Luqman-2010-65-12	27	12	Nose	1221	NOSE
Luqman-2010-65-13	30	13	Mouth	674	MOUTH
Luqman-2010-65-14	31	14	Tooth	1380	TOOTH
Luqman-2010-65-15	32	15	*Tongue	1205	TONGUE
Luqman-2010-65-16	33	16	Laugh	1355	LAUGH
Luqman-2010-65-17	34	17	Cry	1839	CRY
Luqman-2010-65-18	35	18	Vomit	1278	VOMIT
Luqman-2010-65-19	37	19	Eat	1336	EAT
Luqman-2010-65-20	40	20	Drink	1401	DRINK
Luqman-2010-65-21	43	21	Ear	1247	EAR
Luqman-2010-65-22	44	22	Hear	1408	HEAR
Luqman-2010-65-23	45	23	Eye	1248	EYE
Luqman-2010-65-24	48	24	Sleep	1585	SLEEP
Luqman-2010-65-25	50	25	Dream	1920	DREAM (SOMETHING)
Luqman-2010-65-26	56	26	Child	2099	CHILD
Luqman-2010-65-27	59	27	*Mother	1216	MOTHER
Luqman-2010-65-28	60	28	Father	1217	FATHER
Luqman-2010-65-29	61	29	House	1252	HOUSE
Luqman-2010-65-30	74	30	Kill	1417	KILL
Luqman-2010-65-31	75	31	Die	1494	DIE
Luqman-2010-65-32	96	32	Dog	2009	DOG
Luqman-2010-65-33	97	33	Bird	937	BIRD
Luqman-2010-65-34	98	34	Egg	744	EGG
Luqman-2010-65-35	102	35	Rat	1490	RAT
Luqman-2010-65-36	105	36	Tail	1220	TAIL
Luqman-2010-65-37	106	37	Snake	730	SNAKE
Luqman-2010-65-38	111	38	Fish	227	FISH
Luqman-2010-65-39	114	39	Leaf	628	LEAF
Luqman-2010-65-40	115	40	Root	670	ROOT
Luqman-2010-65-41	116	41	Flower	239	FLOWER
Luqman-2010-65-42	117	42	Fruit	1507	FRUIT
Luqman-2010-65-43	118	42b	*Grass	606	GRASS
Luqman-2010-65-44	120	43	Stone	857	STONE
Luqman-2010-65-45	121	44	Sand	671	SAND
Luqman-2010-65-46	122	45	Water	948	WATER
Luqman-2010-65-47	128	46	Sky	1732	SKY
Luqman-2010-65-48	129	47	Moon	1313	MOON
Luqman-2010-65-49	130	48	Star	1430	STAR
Luqman-2010-65-50	131	49	Cloud	1489	CLOUD
Luqman-2010-65-51	133	50	Rain	2108	RAINING OR RAIN
Luqman-2010-65-52	135	51	Lightning	1654	LIGHTNING
Luqman-2010-65-53	141	52	Wet	1726	WET
Luqman-2010-65-54	142	53	Heavy	1210	HEAVY
Luqman-2010-65-55	143	54	Fire	221	FIRE
Luqman-2010-65-56	167	55	Night	1233	NIGHT
Luqman-2010-65-57	170	56	When	1238	WHEN
Luqman-2010-65-58	181	57	Where	1237	WHERE
Luqman-2010-65-59	188	58	What	1236	WHAT
Luqman-2010-65-60	189	59	Who	1235	WHO
Luqman-2010-65-61	197	60	One	1493	ONE
Luqman-2010-65-62	198	61	Two	1498	TWO
Luqman-2010-65-63	199	62	Three	492	THREE
Luqman-2010-65-64	200	63	Four	1500	FOUR
Luqman-2010-65-65	201	64	Five	493	FIVE
