ID	NUMBER	ENGLISH	CONCEPTICON_GLOSS	CONCEPTICON_ID	FAMILIARITY	VISUAL_MEAN	HAPTIC_MEAN	AUDITORY_MEAN	OLFACTORY_MEAN	GUSTATORY_MEAN	VISUAL_SD	HAPTIC_SD	AUDITORY_SD	OLFACTORY_SD	GUSTATORY_SD	DOMINANT_MODALITY	EXCLUSIVITY	BNC_FREQ	BNC_LOG_FREQ	WORD_LENGTH
Lynott-2009-423-1	1	abrasive			0.904761904761905	2.89473684210526	3.68421052631579	1.68421052631579	0.578947368421053	0.578947368421053	1.10023920844036	1.33552451531005	1.33552451531005	0.901590537370498	0.901590537370498	Haptic	0.329608938547486	2	1.09861228866811	8
Lynott-2009-423-2	2	absorbent			1	4.14285714285714	3.14285714285714	0.714285714285714	0.476190476190476	0.476190476190476	1.1084094137869	1.59014824106793	1.0555973258235	0.980767435177556	0.980767435177556	Visual	0.409574468085106	1	0.693147180559945	9
Lynott-2009-423-3	3	aching			1	2.04761904761905	3.66666666666667	0.666666666666667	0.095238095238095	0.047619047619048	1.46547570693582	1.71269767715535	1.19721899973786	0.436435780471985	0.218217890235992	Haptic	0.554744525547445	5	1.79175946922806	6
Lynott-2009-423-4	4	acidic			1	2.19047619047619	1.14285714285714	0.476190476190476	2.9047619047619	4.19047619047619	1.74982992370823	1.76877681706071	0.872871560943969	1.57812426331902	1.24976188208185	Gustatory	0.34061135371179	2	1.09861228866811	6
Lynott-2009-423-5	5	acrid			0.380952380952381	1.125	0.625	0.375	3.5	3	1.5526475085203	1.40788595317336	1.06066017177982	1.69030850945703	1.69030850945703	Olfactory	0.36231884057971	1	0.693147180559945	5
Lynott-2009-423-6	6	adhesive			1	3.66666666666667	4.33333333333333	1.19047619047619	1.76190476190476	0.904761904761905	1.31656117720877	0.966091783079296	1.66189793967763	1.60949563232591	1.4108423691101	Haptic	0.289156626506024	3	1.38629436111989	8
Lynott-2009-423-7	7	alcoholic			0.952380952380952	2.85	0.35	0.75	4.3	4.35	1.75544266422131	0.812727700887249	1.16415770318919	0.801314709186031	1.38696943388321	Gustatory	0.317460317460317	8	2.19722457733622	9
Lynott-2009-423-8	8	alive			1	4.57142857142857	3.80952380952381	4.09523809523809	2.38095238095238	1.57142857142857	0.74642002729218	1.47034171603228	1.48002573980191	2.01186954040739	2.15804144008934	Visual	0.182608695652174	43	3.78418963391826	5
Lynott-2009-423-9	9	amber			1	4.47619047619048	0.523809523809524	0.142857142857143	0.857142857142857	0.571428571428571	1.12334534400814	0.980767435177556	0.358568582800318	1.49284005458436	1.39897921969658	Visual	0.659420289855072	5	1.79175946922806	5
Lynott-2009-423-10	10	angular			1	4.28571428571429	4.09523809523809	0.25	0.047619047619048	0.047619047619048	1.23056316956332	1.22085060121056	0.716350399411379	0.218217890235992	0.218217890235992	Visual	0.485675306957708	4	1.6094379124341	7
Lynott-2009-423-11	11	antiseptic			1	1.66666666666667	0.9	0.142857142857143	3.95238095238095	1.76190476190476	1.39044357430761	1.3337718577107	0.478091443733757	1.32197543381829	1.92106121466136	Olfactory	0.452232899943471	1	0.693147180559945	10
Lynott-2009-423-12	12	aromatic			1	1.3	0.333333333333333	0.285714285714286	4.52380952380952	3.38095238095238	1.26074330623269	0.912870929175277	0.717137165600636	1.16700675315302	1.53219419383414	Olfactory	0.43141056713524	3	1.38629436111989	8
Lynott-2009-423-13	13	astringent	ASTRINGENT	3818	0.380952380952381	1.625	0.5	0.375	1.25	1.75	1.50594061730772	1.0690449676497	0.744023809142845	1.83225076262581	2.43486579272276	Gustatory	0.25	0	0	10
Lynott-2009-423-14	14	audible			1	1.14285714285714	0.285714285714286	4.95238095238095	0.047619047619048	0.047619047619048	1.31475147026783	0.560611910581388	0.218217890235994	0.218217890235992	0.218217890235992	Auditory	0.757352941176471	3	1.38629436111989	7
Lynott-2009-423-15	15	banging			1	3.04761904761905	1.33333333333333	4.52380952380952	0.047619047619048	0	1.68748897703631	1.23827837473378	0.749603069567329	0.218217890235992	0	Auditory	0.50531914893617	5	1.79175946922806	7
Lynott-2009-423-16	16	barbecued			1	4.61904761904762	1.38095238095238	1.57142857142857	4.66666666666667	4.95238095238095	0.740012869900955	1.46547570693582	1.63007449435382	0.483045891539649	0.218217890235994	Gustatory	0.207756232686981	0	0	9
Lynott-2009-423-17	17	barking			1	3.38095238095238	0.476190476190476	5	0.523809523809524	0.142857142857143	1.5644868320376	1.03048763306736	0	1.20909253653505	0.478091443733757	Auditory	0.51	4	1.6094379124341	7
Lynott-2009-423-18	18	beautiful	BEAUTIFUL	1427	1	4.61904761904762	2.76190476190476	2.9047619047619	2.80952380952381	2.80952380952381	0.804747816162957	1.94691453086061	1.84132457499383	2.08851735973268	2.06443812256623	Visual	0.116766467065868	87	4.47733681447821	9
Lynott-2009-423-19	19	beeping			1	1.42857142857143	0.142857142857143	4.85714285714286	0.047619047619048	0	1.36277028773849	0.478091443733757	0.654653670707977	0.218217890235992	0	Auditory	0.75	0	0	7
Lynott-2009-423-20	20	beery			0.904761904761905	3.15789473684211	0.894736842105263	0.631578947368421	3.52631578947368	4.26315789473684	1.77210351762897	1.19697474409935	1.11607080200484	1.26352333894953	1.09757840839418	Gustatory	0.291139240506329	0	0	5
Lynott-2009-423-21	21	beige	BEIGE	3707	1	4.47619047619048	0.095238095238095	0.095238095238095	0.095238095238095	0.047619047619048	1.12334534400814	0.436435780471985	0.436435780471985	0.436435780471985	0.218217890235992	Visual	0.920792079207921	2	1.09861228866811	5
Lynott-2009-423-22	22	bent			1	4.61904761904762	4.09523809523809	0	0	0.047619047619048	0.669043382464133	1.04425867986634	0	0	0.218217890235992	Visual	0.527173913043478	23	3.17805383034795	4
Lynott-2009-423-23	23	big	BIG	1202	1	4.85714285714286	4.38095238095238	1.71428571428571	0.428571428571429	0.857142857142857	0.358568582800317	0.740012869900955	1.67758329578168	1.16496474502144	1.59014824106793	Visual	0.361867704280156	255	5.54517744447956	3
Lynott-2009-423-24	24	biscuity			1	3.47619047619048	2.23809523809524	0.904761904761905	3	4.95238095238095	1.47034171603228	1.4108423691101	1.17918454470714	1.6431676725155	0.218217890235994	Gustatory	0.277777777777778	0	0	8
Lynott-2009-423-25	25	bitter	BITTER	887	1	0.857142857142857	0.095238095238095	0.19047619047619	2.9047619047619	4.90476190476191	1.06234242529018	0.436435780471985	0.601585207518238	1.57812426331902	0.300792603759118	Gustatory	0.537234042553192	25	3.25809653802148	6
Lynott-2009-423-26	26	black	BLACK	163	1	4.57142857142857	0.095238095238095	0.142857142857143	0.142857142857143	0.095238095238095	0.978336781043654	0.300792603759119	0.478091443733757	0.478091443733757	0.300792603759119	Visual	0.886792452830189	238	5.47646355193151	5
Lynott-2009-423-27	27	bland			1	2.0952380952381	0.428571428571429	0.80952380952381	3.61904761904762	4.80952380952381	1.78619041271534	0.925820099772551	1.56904581255767	1.32197543381829	0.511766315719159	Gustatory	0.37246963562753	4	1.6094379124341	5
Lynott-2009-423-28	28	blaring			0.952380952380952	1.3	0.45	4.5	0.2	0.2	1.21828179265546	0.825577947481897	0.888523316638639	0.695852373938459	0.695852373938459	Auditory	0.646616541353383	1	0.693147180559945	7
Lynott-2009-423-29	29	bleeping			1	1.66666666666667	0.19047619047619	4.95238095238095	0.142857142857143	0.095238095238095	1.6532795690183	0.511766315719159	0.218217890235994	0.654653670707977	0.436435780471985	Auditory	0.689189189189189	0	0	8
Lynott-2009-423-30	30	blonde			1	4.80952380952381	0.047619047619048	0.19047619047619	0.142857142857143	0.047619047619048	0.87287156094397	0.218217890235992	0.511766315719159	0.478091443733757	0.218217890235992	Visual	0.909090909090909	11	2.484906649788	6
Lynott-2009-423-31	31	bloody			1	4.71428571428571	1.85714285714286	0.7	1.14285714285714	1.28571428571429	0.783763812819726	1.59014824106793	1.12857618729367	1.45896244933563	1.8205179796656	Visual	0.413843888070692	72	4.29045944114839	6
Lynott-2009-423-32	32	blotchy			1	4.61904761904762	1.66666666666667	0.428571428571429	0.238095238095238	0.380952380952381	0.804747816162957	1.79814719456816	0.925820099772551	0.889087279447969	1.07126982951031	Visual	0.597402597402597	0	0	7
Lynott-2009-423-33	33	blue	BLUE	837	1	4.76190476190476	0.238095238095238	0.761904761904762	0.19047619047619	0	0.538958431120796	0.624880941040924	1.22085060121056	0.511766315719159	0	Visual	0.8	104	4.65396035015752	4
Lynott-2009-423-34	34	blunt	BLUNT	379	1	4.57142857142857	4.71428571428571	0.904761904761905	0.19047619047619	0.25	0.507092552837111	0.643650304346789	1.26114082896249	0.872871560943969	0.550119604220181	Haptic	0.425531914893617	5	1.79175946922806	5
Lynott-2009-423-35	35	boiling	BOIL (OF LIQUID)	792	1	4.42857142857143	4.04761904761905	2.76190476190476	1	2.0952380952381	0.74642002729218	1.4309504001254	2.09534631755139	1.54919333848297	2.16575072214606	Visual	0.239202657807309	9	2.30258509299405	7
Lynott-2009-423-36	36	booming			1	2.0952380952381	0.952380952380952	4.57142857142857	0.095238095238095	0.095238095238095	1.67047184665776	1.20317041503648	0.810643483377778	0.300792603759119	0.436435780471985	Auditory	0.573170731707317	3	1.38629436111989	7
Lynott-2009-423-37	37	bouncy			1	3.57142857142857	3.66666666666667	2	0	0	1.20712172424444	1.55991452757301	1.61245154965971	0	0	Haptic	0.396907216494845	1	0.693147180559945	6
Lynott-2009-423-38	38	brackish	BRACKISH	70	0.095238095238095	2	3	1.5	2	1.5	1.4142135623731	1.4142135623731	2.12132034355964	2.82842712474619	2.12132034355964	Haptic	0.15	1	0.693147180559945	8
Lynott-2009-423-39	39	branching			0.952380952380952	4.1	2.45	1.2	0.1	0.05	0.967906041546987	1.57195821559574	1.67332005306815	0.307793505625546	0.223606797749979	Visual	0.512658227848101	3	1.38629436111989	9
Lynott-2009-423-40	40	breakable			1	4.28571428571429	4.23809523809524	2.0952380952381	0.095238095238095	0.095238095238095	0.902377811277357	0.889087279447968	1.75797502555531	0.300792603759119	0.300792603759119	Visual	0.387665198237885	0	0	9
Lynott-2009-423-41	41	breezy			1	3	2.76190476190476	2.95238095238095	0.571428571428571	0.047619047619048	1.34164078649987	1.78619041271534	1.35927151357595	1.32557265253281	0.218217890235992	Visual	0.316326530612245	1	0.693147180559945	6
Lynott-2009-423-42	42	bright	BRIGHT	679	1	5	0.19047619047619	0.142857142857143	0.095238095238095	0.047619047619048	0	0.679635756787974	0.478091443733757	0.436435780471985	0.218217890235992	Visual	0.904347826086957	54	4.00733318523247	6
Lynott-2009-423-43	43	brilliant	BRILLIANT	3709	1	3.95238095238095	2.19047619047619	3	2.0952380952381	2.52380952380952	1.28359613882991	2.27198256197198	1.87082869338697	2.0713464679952	2.11232212550661	Visual	0.134948096885813	35	3.58351893845611	9
Lynott-2009-423-44	44	briny			0.619047619047619	2.15384615384615	1.53846153846154	0.846153846153846	2.15384615384615	3.23076923076923	1.86396324383261	1.7134460703207	1.2810252304407	1.90814717488606	1.92153784566105	Gustatory	0.24031007751938	0	0	5
Lynott-2009-423-45	45	bristly			0.952380952380952	4.3	4.65	1.95	0.2	1.05	0.864504725870617	1.13670808176853	1.50350467767462	0.695852373938459	1.46808145478878	Haptic	0.366255144032922	0	0	7
Lynott-2009-423-46	46	brittle			1	3.42857142857143	3.95238095238095	1.52380952380952	0.047619047619048	0.380952380952381	1.12122382116278	1.16086995293144	1.40068010691405	0.218217890235992	0.973457265430305	Haptic	0.418367346938776	5	1.79175946922806	7
Lynott-2009-423-47	47	broad	BROAD	2531	0.952380952380952	4.04761904761905	3.0952380952381	0.952380952380952	0.285714285714286	0.19047619047619	1.35927151357595	1.78619041271534	1.62715059156153	0.643650304346789	0.511766315719159	Visual	0.45	49	3.91202300542815	5
Lynott-2009-423-48	48	broken	BROKEN	588	1	4.85714285714286	4.33333333333333	3.19047619047619	0.476190476190476	0.476190476190476	0.358568582800317	1.01653004546513	1.60059512741504	1.24976188208185	1.28914885172534	Visual	0.328571428571429	72	4.29045944114839	6
