ID	NUMBER	ENGLISH	SIL_1980_281	SIL_2002_436	MATISOFF_1978_200	SWADESH_1955_100	SWADESH_1952_200	CONCEPTICON_ID	CONCEPTICON_GLOSS
Mann-2004-500-1	1	afraid	afraid	afraid	fear/frighten	---	fear	1419	FEAR (BE AFRAID)
Mann-2004-500-2	2	alive	live/alive	---	alive	---	---	1422	BE ALIVE
Mann-2004-500-3	3	all	all	all	---	all	all	98	ALL
Mann-2004-500-4	4	and	and	---	---	---	and	1577	AND
Mann-2004-500-5	5	angry	---	angry	---	---	---	2223	BE ANGRY
Mann-2004-500-6	6	animal	animal	animal	meat/animal	---	animal	619	ANIMAL
Mann-2004-500-7	7	answer	---	answer	---	---	---	1275	ANSWER
Mann-2004-500-8	8	ant	---	---	ant	---	---	587	ANT
Mann-2004-500-9	9	area under house	---	area under house	---	---	---	408	MEN'S HOUSE
Mann-2004-500-10	10	armpit	---	armpit	---	---	---	1886	ARMPIT
Mann-2004-500-11	11	arrow	arrow	arrow	arrow	---	---	977	ARROW
Mann-2004-500-12	12	ashamed	---	---	ashamed	---	---	1894	ASHAMED
Mann-2004-500-13	13	ashes	ashes	ashes	ashes	ashes	ashes	646	ASH
Mann-2004-500-14	14	at	at	---	---	---	at	1461	AT
Mann-2004-500-15	15	awaken	---	---	awaken	---	---	825	AWAKE
Mann-2004-500-16	16	back	back	back	---	---	back	1291	BACK
Mann-2004-500-17	17	bad	bad	bad	---	---	bad	1035	GOOD
Mann-2004-500-18	18	bald	---	bald	---	---	---	1125	BALD
Mann-2004-500-19	19	bamboo	---	bamboo	bamboo	---	---	1927	BAMBOO
Mann-2004-500-20	20	bamboo shoot	---	bamboo shoot	---	---	---	2494	BAMBOO SHOOT
Mann-2004-500-21	21	banana/plantain	banana	banana	banana	---	---	399	PLANTAIN
Mann-2004-500-22	22	bark	tree bark	tree bark	---	bark	bark	1204	BARK
Mann-2004-500-23	23	bark	---	bark	---	---	---	1204	BARK
Mann-2004-500-24	24	bathe	---	bathe	---	---	---	138	BATHE
Mann-2004-500-25	25	bear	---	bear	bear	---	---	1820	BEAR
Mann-2004-500-26	26	beard	---	beard	---	---	---	678	BEARD
Mann-2004-500-27	27	because	because	---	---	---	because	1157	BECAUSE
Mann-2004-500-28	28	bee	---	bee	bee	---	---	665	BEE
Mann-2004-500-29	29	belly	belly	belly	belly	belly	belly	1251	BELLY
Mann-2004-500-30	30	bend	---	bend	---	---	---	2224	BEND (SOMETHING)
Mann-2004-500-31	31	betel nut	betel nut	betel nut	---	---	---	217	BETELNUT
Mann-2004-500-32	32	big	big	big	---	big	big	1202	BIG
Mann-2004-500-33	33	bird	bird	bird	bird	bird	bird	937	BIRD
Mann-2004-500-34	34	bird nest	---	bird nest	---	---	---	539	NEST
Mann-2004-500-35	35	bite	bite	bite	bite	bite	bite	1403	BITE
Mann-2004-500-36	36	bitter	---	bitter	bitter	---	---	887	BITTER
Mann-2004-500-37	37	black	black	black	black	black	black	163	BLACK
Mann-2004-500-38	38	blanket	---	blanket	---	---	---	806	BLANKET
Mann-2004-500-39	39	blind	---	blind	---	---	---	1653	BLIND
Mann-2004-500-40	40	blood	blood	blood	blood	blood	blood	946	BLOOD
Mann-2004-500-41	41	blow	blow	[blow]	blow	---	blow	175	BLOW (OF WIND)
Mann-2004-500-42	42	boat	---	boat	boat	---	---	1844	BOAT
Mann-2004-500-43	43	boil	---	boil	---	---	---	2492	BOIL (SOMETHING)
Mann-2004-500-44	44	bone	bone	bone	bone	bone	bone	1394	BONE
Mann-2004-500-45	45	born	---	---	born	---	---	1090	BE BORN
Mann-2004-500-46	46	bow	crossbow	bow, crossbow	bow	---	---	994	BOW
Mann-2004-500-47	47	brain	---	brain	brain	---	---	1583	BRAIN
