ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	ENGLISH
Matisoff-1978-200-1	1251	BELLY	1	belly (exterior)
Matisoff-1978-200-2	946	BLOOD	2	blood
Matisoff-1978-200-3	1394	BONE	3	bone
Matisoff-1978-200-4	2126	EAR OR HEAR	4	ear/hear
Matisoff-1978-200-5	744	EGG	5	egg
Matisoff-1978-200-6	1248	EYE	6	eye
Matisoff-1978-200-7	323	GREASE	7	fat/grease
Matisoff-1978-200-8	1301	FOOT	8	foot
Matisoff-1978-200-9	1334	GUTS	9	guts
Matisoff-1978-200-10	1040	HAIR	10	hair (head)
Matisoff-1978-200-11	189	BODY HAIR	11	hair (body)
Matisoff-1978-200-12	2121	ARM OR HAND	12	hand/arm
Matisoff-1978-200-13	1256	HEAD	13	head
Matisoff-1978-200-14	1223	HEART	14	heart
Matisoff-1978-200-15	1393	HORN (KERATINIZED SKIN)	15	horn
Matisoff-1978-200-16	1224	LIVER	16	liver
Matisoff-1978-200-17	674	MOUTH	17	mouth
Matisoff-1978-200-18	1333	NECK	18	neck
Matisoff-1978-200-19	1221	NOSE	19	nose
Matisoff-1978-200-20	763	SKIN	20	skin/bark
Matisoff-1978-200-21	1440	SPIT	21	spit
Matisoff-1978-200-22	1220	TAIL	22	tail
Matisoff-1978-200-23	1205	TONGUE	23	tongue
Matisoff-1978-200-24	1380	TOOTH	24	tooth
Matisoff-1978-200-25	1257	WING	25	wing
Matisoff-1978-200-26	2128	NAIL OR CLAW	26	nail/claw
Matisoff-1978-200-27	2120	FINGER OR TOE	27	finger/toe
Matisoff-1978-200-28	1181	PALM TREE	28	palm
Matisoff-1978-200-29	1222	PENIS	29	penis
Matisoff-1978-200-30a	1836	VAGINA	30	vagina or breast/milk
Matisoff-1978-200-30b	2129	BREAST OR MILK	30	vagina or breast/milk
Matisoff-1978-200-31	1583	BRAIN	31	brain
Matisoff-1978-200-32	1838	NAVEL	32	navel
Matisoff-1978-200-33	676	SHIT	33	shit
Matisoff-1978-200-34	592	PISS	34	piss
Matisoff-1978-200-35	125	SWEAT	35	sweat
Matisoff-1978-200-36	208	NASAL MUCUS, SNOT	36	snot
Matisoff-1978-200-37	1278	VOMIT	37	vomit
Matisoff-1978-200-38	1835	MARROW	38	marrow
Matisoff-1978-200-39	2145	ROAST (DEVICE)	39	breath/life
Matisoff-1978-200-40	683	PERSON	40	person/human being
Matisoff-1978-200-41	1215	THOU	41	thou
Matisoff-1978-200-42	1209	I	42	I
Matisoff-1978-200-43	1801	CHILD (DESCENDANT)	43	child/son
Matisoff-1978-200-44	1617	GRANDCHILD	44	grandchild (nephew)
Matisoff-1978-200-45	1056	SON-IN-LAW	45	son-in-law
Matisoff-1978-200-46	1405	NAME	46	name
Matisoff-1978-200-47	832	BEAN	47	peas, beans
Matisoff-1978-200-48	655	POISON	48	poison [antifood]
Matisoff-1978-200-49	641	MUSHROOM	49	mushroom/fungus
Matisoff-1978-200-50	842	LIQUOR	50	liquor
Matisoff-1978-200-51	399	PLANTAIN	51	plantain/banana
Matisoff-1978-200-51a	2268	POTION	51a	medicine/juice
Matisoff-1978-200-51b	926	RICE	51b	rice (in fields)
Matisoff-1978-200-51c	1191	COOKED RICE	51c	rice (cooked)
Matisoff-1978-200-52	2096	MEAT OR ANIMAL	52	meat/animal
Matisoff-1978-200-53	937	BIRD	53	bird
Matisoff-1978-200-54	2009	DOG	54	dog
Matisoff-1978-200-55	227	FISH	55	fish
Matisoff-1978-200-56	1392	LOUSE	56	louse
Matisoff-1978-200-57	730	SNAKE	57	snake
Matisoff-1978-200-58	503	FROG	58	frog
Matisoff-1978-200-59	620	INSECT	59	insect, bug, vermin
Matisoff-1978-200-60	665	BEE	60	bee
Matisoff-1978-200-61	1853	DOVE	61	dove
Matisoff-1978-200-62	1350	MONKEY	62	monkey
Matisoff-1978-200-63	1337	PIG	63	pig
