ID	NUMBER	GLOSS	OMEGAWIKI
McMahon-2005-23-1	1	grass	1675
McMahon-2005-23-2	2	mouth	332000
McMahon-2005-23-3	3	stone	3633
McMahon-2005-23-4	4	heavy	5451
McMahon-2005-23-5	5	year	5478
McMahon-2005-23-6	6	bird	400
McMahon-2005-23-7	7	near	869106
McMahon-2005-23-8	8	smooth	5487
McMahon-2005-23-9	9	wing	5528
McMahon-2005-23-10	10	man	6397
McMahon-2005-23-11	11	neck	5823
McMahon-2005-23-12	12	tail	5468
McMahon-2005-23-13	13	to walk	6054
McMahon-2005-23-14	14	back	5648
McMahon-2005-23-15	15	to flow	961244
McMahon-2005-23-16	16	left (hand)	1499731
McMahon-2005-23-17	17	to pull	6071
McMahon-2005-23-18	18	to push	6068
McMahon-2005-23-19	19	river	3253
McMahon-2005-23-20	20	rope	5465
McMahon-2005-23-21	21	straight	5994
McMahon-2005-23-22	22	to think	6021
McMahon-2005-23-23	23	to throw	6072
