ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	ENGLISH
McMahon-2005-30-1	1500	FOUR	1	four
McMahon-2005-30-2	1405	NAME	2	name
McMahon-2005-30-3	492	THREE	3	three
McMahon-2005-30-4	1498	TWO	4	two
McMahon-2005-30-5	1301	FOOT	5	foot
McMahon-2005-30-6	1447	GIVE	6	give
McMahon-2005-30-7	1203	LONG	7	long
McMahon-2005-30-8	1274	SALT	8	salt
McMahon-2005-30-9	1343	SUN	9	sun
McMahon-2005-30-10	197	OTHER	10	other
McMahon-2005-30-11	1585	SLEEP	11	sleep
McMahon-2005-30-12	1446	COME	12	to come
McMahon-2005-30-13	1225	DAY (NOT NIGHT)	13	day
McMahon-2005-30-14	1336	EAT	14	to eat
McMahon-2005-30-15	1240	NOT	15	not
McMahon-2005-30-16	1400	THIN (SLIM)	16	thin
McMahon-2005-30-17	493	FIVE	17	five
McMahon-2005-30-18	1216	MOTHER	18	mother
McMahon-2005-30-19	1247	EAR	19	ear
McMahon-2005-30-20	1209	I	20	I
McMahon-2005-30-21	1231	NEW	21	new
McMahon-2005-30-22	1233	NIGHT	22	night
McMahon-2005-30-23	1493	ONE	23	one
McMahon-2005-30-24	1440	SPIT	24	to spit
McMahon-2005-30-25	1430	STAR	25	star
McMahon-2005-30-26	1442	STAND	26	to stand
McMahon-2005-30-27	1215	THOU	27	thou
McMahon-2005-30-28	1205	TONGUE	28	tongue
McMahon-2005-30-29	1380	TOOTH	29	tooth
McMahon-2005-30-30	960	WIND	30	wind
