ID	NUMBER	FRENCH	GLOSS	OMEGAWIKI
Meillet-1921-16-1	1	aller	go	334831
Meillet-1921-16-2	2	venir	come	6056
Meillet-1921-16-3	3	boire	drink	5991
Meillet-1921-16-4	4	manger	eat	5827
Meillet-1921-16-5	5	vivre	live	478515
Meillet-1921-16-6	6	mourir	die	6245
Meillet-1921-16-7	7	entendre	hear	5999
Meillet-1921-16-8	8	voir	see	6003
Meillet-1921-16-9	9	dire	say	6075
Meillet-1921-16-10	10	se taire	be silent	1103280
Meillet-1921-16-11	11	vieux	old	5482
Meillet-1921-16-12	12	neuf	new	5484
Meillet-1921-16-13	13	grand	big	5437
Meillet-1921-16-14	14	petit	small	5509
Meillet-1921-16-15	15	long	long	5438
Meillet-1921-16-16	16	large	wide	5502
