ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Miedema & Welling-1985-41-1	*1	arm	1673	ARM
Miedema & Welling-1985-41-24	24	ashes	646	ASH
Miedema & Welling-1985-41-21	21	bird	937	BIRD
Miedema & Welling-1985-41-31	31	black	163	BLACK
Miedema & Welling-1985-41-5	*5	blood	946	BLOOD
Miedema & Welling-1985-41-26	26	bone	1394	BONE
Miedema & Welling-1985-41-29	29	come	1446	COME
Miedema & Welling-1985-41-27	27	dog	2009	DOG
Miedema & Welling-1985-41-35	35	eat	1336	EAT
Miedema & Welling-1985-41-38	38	egg	744	EGG
Miedema & Welling-1985-41-15	15	eye	1248	EYE
Miedema & Welling-1985-41-25	25	fingernail	1258	FINGERNAIL
Miedema & Welling-1985-41-17	17	fire	221	FIRE
Miedema & Welling-1985-41-32	32	to give	1447	GIVE
Miedema & Welling-1985-41-36	36	good	1035	GOOD
Miedema & Welling-1985-41-20	20	ground	2159	GROUND
Miedema & Welling-1985-41-33	33	hair	1040	HAIR
Miedema & Welling-1985-41-16	16	head	1256	HEAD
Miedema & Welling-1985-41-37	37	I	1209	I
Miedema & Welling-1985-41-22	*20	leg	1297	LEG
Miedema & Welling-1985-41-8	8	louse	1392	LOUSE
Miedema & Welling-1985-41-23	23	man	1554	MAN
Miedema & Welling-1985-41-18	18	name	1405	NAME
Miedema & Welling-1985-41-6	6	night	1233	NIGHT
Miedema & Welling-1985-41-40	*25	one	1493	ONE
Miedema & Welling-1985-41-19	19	pig	1337	PIG
Miedema & Welling-1985-41-9	9	see	1409	SEE
Miedema & Welling-1985-41-34	34	sit	1416	SIT
Miedema & Welling-1985-41-28	28	skin	763	SKIN
Miedema & Welling-1985-41-10	*30	sleep	1585	SLEEP
Miedema & Welling-1985-41-13	13	stone	857	STONE
Miedema & Welling-1985-41-12	12	sun	1343	SUN
Miedema & Welling-1985-41-5	5	tail	1220	TAIL
Miedema & Welling-1985-41-14	14	tooth	1380	TOOTH
Miedema & Welling-1985-41-1	1	tree	906	TREE
Miedema & Welling-1985-41-39	39	two	1498	TWO
Miedema & Welling-1985-41-11	11	water	948	WATER
Miedema & Welling-1985-41-2	2	we	1212	WE
Miedema & Welling-1985-41-7	7	you (sg.)	1215	THOU
Miedema & Welling-1985-41-4	*40	you (pl.)	1213	YOU
