ID	NUMBER	FRENCH	ENGLISH	CONCEPTICON_GLOSS	CONCEPTICON_ID	POS	PICTURE_SOURCE	PICTURE_NUMBER	VALENCE_ALL_MEAN	AROUSAL_ALL_MEAN	VALENCE_MALE_MEAN	AROUSAL_MALE_MEAN	VALENCE_FEMALE_MEAN	AROUSAL_FEMALE_MEAN	NUMBER_LETTERS	NUMBER_PHONEMES	NUMBER_SYLLABLES	SUBTLEX_FREQ	BOKS_FREQ	IMAGEABILITY_MEAN
Monnier-2014-1031-1	1	abeille	bee	BEE	665	NOUN	AF	23	4.22222222222222	4.08333333333333	4.75	5	3.8	3.35	7	4	2	3.53	3.18	6.84
Monnier-2014-1031-2	2	abonné	suscriber			NOUN			4.53246753246753	4.24675324675325	4.5	4.33333333333333	4.53846153846154	4.23076923076923	6	5	3	0.3	0.34	2.63
Monnier-2014-1031-3	3	abricot	apricot			NOUN			6.54545454545455	3.5974025974026	6	3.66666666666667	6.61764705882353	3.58823529411765	7	6	3	0.5	1.15	6.51
Monnier-2014-1031-4	4	absent	absent			NOUN			3.41772151898734	4.18987341772152	4.75	2.875	3.26760563380282	4.33802816901409	6	4	2	0.82	2.16	
Monnier-2014-1031-5	5	abstrait	abstract			ADJ			4.72337662337662	3.85714285714286	5.41666666666667	4.75	4.59384615384615	3.69230769230769	8	6	2	0.61	3.85	
Monnier-2014-1031-6	6	accordéon	accordion	ACCORDION	2603	NOUN			5.7012987012987	4.35064935064935	5.22222222222222	5.44444444444444	5.76470588235294	4.20588235294118	9	7	4	3.02	4.8	6.35
Monnier-2014-1031-7	7	acide	acidic			ADJ			3.46835443037975	5.46835443037975	4.375	5.25	3.36619718309859	5.49295774647887	5	4	2	1.86	6.89	4.2
Monnier-2014-1031-8	8	agneau	lamb	LAMB	820	NOUN	AF	362	6.35135135135135	3.51351351351351	6.47058823529412	3.47058823529412	6.25	3.55	6	3	2	13.01	5.95	6.6
Monnier-2014-1031-9	9	agréable	pleasurable			ADJ			8.28571428571429	5.03896103896104	8	5	8.33846153846154	5.04615384615385	8	7	3	37.71	31.35	
Monnier-2014-1031-10	10	aide	help	HELP (ASSISTANCE)	3467	NOUN			7.08108108108108	4.81081081081081	7.17647058823529	5	7	4.65	4	2	1	171.41	52.3	2.95
Monnier-2014-1031-11	11	aigle	eagle	EAGLE	1905	NOUN	AF	82	6.52631578947368	5.02631578947368	6.58823529411765	4.76470588235294	6.47619047619048	5.23809523809524	5	3	1	5.5	7.91	6.77
Monnier-2014-1031-12	12	aiguille	needle	NEEDLE (FOR SEWING)	1382	NOUN	AF	154	3.9	4.34	4.27777777777778	4.77777777777778	3.6875	4.09375	8	5	2	10.4	18.38	6.53
Monnier-2014-1031-13	13	ail 	garlic	GARLIC	2368	NOUN	B	4	4.21621621621622	3.67567567567568	4.88235294117647	3.47058823529412	3.65	3.85	3	2	1	9.14	7.97	6.34
Monnier-2014-1031-14	14	aile 	wing	WING	1257	NOUN	B	5	6.05405405405405	4.40540540540541	5.82352941176471	3.58823529411765	6.25	5.1	4	2	1	15	20.47	6.32
Monnier-2014-1031-15	15	aisance	ease			NOUN			7.25974025974026	3.24675324675325	7.33333333333333	3	7.25	3.27941176470588	7	4	2	1.44	15.2	2.39
Monnier-2014-1031-16	16	album	album			NOUN			6.34177215189873	4.34177215189873	5.75	2.625	6.40845070422535	4.53521126760563	5	5	2	9.36	13.31	5.63
Monnier-2014-1031-17	17	alcool	alcohol	ALCOHOL (FERMENTED DRINK)	404	NOUN			5.64	5.6	6.44444444444444	6.33333333333333	5.1875	5.1875	6	5	2	40.29	39.73	5.99
Monnier-2014-1031-18	18	algèbre	algebra			NOUN			3.86883116883117	4.53896103896104	3.91666666666667	3.91666666666667	3.85846153846154	4.65384615384615	7	6	2	1.37	2.03	4.02
Monnier-2014-1031-19	19	allégorie	allegory			NOUN			5.42077922077922	3.85584415584416	5.22222222222222	4.22222222222222	5.44705882352941	3.80735294117647	9	7	4	0.38	1.15	
Monnier-2014-1031-20	20	alligator	alligator	ALLIGATOR	1581	NOUN			4.05063291139241	5.43037974683544	4.75	5.375	3.97183098591549	5.43661971830986	9	8	4	1.63	0.2	6.68
Monnier-2014-1031-21	21	allumette 	match	MATCH	1133	NOUN	B	7	5.32432432432432	4.7027027027027	5.29411764705882	4.29411764705882	5.35	5.05	9	6	3	4.43	9.73	6.78
Monnier-2014-1031-22	22	ambition	ambition			NOUN			7.5974025974026	6.5974025974026	6.66666666666667	5.5	7.76923076923077	6.8	8	6	3	7.98	19.32	2.98
