ID	NUMBER	ITALIAN	ENGLISH	GUSTATORY_MEAN	OLFACTORY_MEAN	HAPTIC_MEAN	AUDITORY_MEAN	VISUAL_MEAN	PERCEPTUAL_STRENGTH_MAX	PERCEPTUAL_DOMINANT	PERCEPTUAL_STRENGTH_SUM	PERCEPTUAL_STRENGTH_ENTROPY	EXCLUSIVITY	FAMILIARITY	AOA_MEAN	CONTEXT_AVAILABILITY	CONCEPTICON_ID	CONCEPTICON_GLOSS
Morucci-2019-643-1	1	abbagliante	dazzling	0.1	0.05	0.2	0.175	4.925	4.925	vista	5.45	0.44	0.894	6	4.167	6		
Morucci-2019-643-2	2	abbrustolito	toasted	4.471	4.455	1.441	0.529	4.441	4.471	gusto	15.337	1.416	0.257	5.105	4.118	5.722		
Morucci-2019-643-3	3	abrasivo	abrasive	0.425	0.692	4.308	1	3.725	4.308	tatto	10.15	1.276	0.383	3.944	6.45	3.579		
Morucci-2019-643-4	4	accecante	blinding	0	0.026	0.237	0.154	4.974	4.974	vista	5.39	0.338	0.923	4.944	4.4	5.842		
Morucci-2019-643-5	5	acerbo	unripe	4.879	2.353	1.147	0.206	3.176	4.879	gusto	11.761	1.338	0.397	5.211	4.471	6.053	1958	UNRIPE
Morucci-2019-643-6	6	acetato	acetate	4.263	3.921	0.316	0.079	1.526	4.263	gusto	10.105	1.163	0.414	4.118	5.529	4		
Morucci-2019-643-7	7	acido	acid	5	3.471	0.618	0.294	1.676	5	gusto	11.059	1.266	0.426	6.412	3.389	6.611		
Morucci-2019-643-8	8	acidulo	acidulous	4.821	3.3	0.175	0.525	1.2	4.821	gusto	10.021	1.197	0.464	3.722	5.3	3.842		
Morucci-2019-643-9	9	acre	acrid	3.333	3.59	0.105	0.179	1.162	3.59	olfatto	8.37	1.141	0.416	4.353	5.688	3.778		
Morucci-2019-643-10	10	acuto	acute	1.231	1.487	2.692	3.949	3.256	3.949	udito	12.615	1.522	0.215	6.105	4.176	5.579		
Morucci-2019-643-11	11	aderente	adherent	0.062	0.062	4.281	0.484	4.5	4.5	vista	9.39	0.93	0.473	6.471	4.722	6.278		
Morucci-2019-643-12	12	adesivo	adhesive	0.375	0.425	4.75	1.1	3.525	4.75	tatto	10.175	1.218	0.43	6	3.176	5.895		
Morucci-2019-643-13	13	affascinante	fascinating	0.676	1.189	1.378	2.703	4.676	4.676	vista	10.622	1.395	0.377	6.882	4.5	6.167		
Morucci-2019-643-14	14	affievolito	weakened	1.027	1.444	1.027	3.351	3.216	3.351	udito	10.066	1.475	0.231	4.167	5.737	3.526		
Morucci-2019-643-15	15	affilato	sharp	0.41	0.077	4.641	1.179	4.385	4.641	tatto	10.692	1.132	0.427	5.389	4.6	6.263	1396	SHARP
Morucci-2019-643-16	16	affollato	crowded	0.051	1.846	1.692	4.179	4.872	4.872	vista	12.641	1.306	0.381	6.278	4.1	6.105	2517	CROWDED
Morucci-2019-643-17	17	affumicato	smoked	4.765	4.735	0.5	0.382	3.382	4.765	gusto	13.765	1.299	0.318	5.474	4.529	6.105		
Morucci-2019-643-18	18	affusolato	tapered	0.029	0.059	4.382	0.441	4.735	4.735	vista	9.647	0.898	0.488	4.737	5.471	5.211		
Morucci-2019-643-19	19	afoso	sultry	0.091	1.273	2.562	0.515	2.576	2.576	vista	7.017	1.293	0.354	6.118	4.353	5.944		
Morucci-2019-643-20	20	agro	agro	4.367	2.733	0.4	0.133	1.333	4.367	gusto	8.967	1.197	0.472	3.647	5.312	2.667		
Morucci-2019-643-21	21	alcolico	alcoholic	4.95	4.325	0.225	0.3	2.25	4.95	gusto	12.05	1.213	0.392	6.579	4.765	6.474		
Morucci-2019-643-22	22	allineato	aligned	0.062	0.031	3.844	0.531	4.656	4.656	vista	9.125	0.927	0.507	5.111	4.9	5.474		
Morucci-2019-643-23	23	allungato	lengthened	0.757	0.135	3.892	0.811	4.838	4.838	vista	10.432	1.169	0.451	5.789	3.706	5.684		
Morucci-2019-643-24	24	altissimo	very high	0.108	0.243	2.027	1.378	4.973	4.973	vista	8.73	1.105	0.557	6.611	2.8	6.737		
Morucci-2019-643-25	25	alto	high	0.108	0.194	2.889	1.324	4.973	4.973	vista	9.489	1.106	0.513	6.889	2.25	6.895	1265	HIGH
Morucci-2019-643-26	26	amaranto	amaranth	0.297	0.135	0.108	0	4.757	4.757	vista	5.297	0.431	0.898	4.412	5.467	3.778		
Morucci-2019-643-27	27	amaro	bitter	4.865	2.162	0.216	0.189	1.189	4.865	gusto	8.622	1.119	0.542	6.647	2.778	6.667	887	BITTER
Morucci-2019-643-28	28	ambrato	amber-colored	0.333	0.194	0.222	0	4.944	4.944	vista	5.694	0.531	0.868	3.684	5	4.474		
Morucci-2019-643-29	29	ammorbante	absorbent	0.528	1.861	0.278	1.806	2.333	2.333	vista	6.806	1.402	0.302	3.167	6.211	2.556		
Morucci-2019-643-30	30	ammuffito	moldy	3.205	4.179	1.462	0.162	4.385	4.385	vista	13.393	1.366	0.315	5.444	4.6	5.789		
Morucci-2019-643-31	31	amorale	amoral	0.029	0.194	0.444	2.472	2.944	2.944	vista	6.084	1.044	0.479	4.278	6.15	3.895		
Morucci-2019-643-32	32	ampio	extensive	0.167	0.162	2.919	1.568	4.811	4.811	vista	9.626	1.143	0.483	6.706	4	6.222		
Morucci-2019-643-33	33	analitico	analytical	0.182	0.182	0.333	1.727	1.939	1.939	vista	4.364	1.189	0.403	5.211	6.176	4.053		
Morucci-2019-643-34	34	annebbiato	clouded	0.077	0.462	0.359	0.436	4.846	4.846	vista	6.179	0.791	0.772	5.316	4.647	5.053		
Morucci-2019-643-35	35	annerito	blackened	0.525	0.55	0.4	0.125	4.825	4.825	vista	6.425	0.88	0.732	5	4.3	5.421		
Morucci-2019-643-36	36	annuvolato	clouded	0.026	0.615	0.333	0.308	4.868	4.868	vista	6.15	0.746	0.787	5.941	3.333	5.889		
Morucci-2019-643-37	37	ansimante	panting	0	0.231	0.821	4.769	3.641	4.769	udito	9.462	1.015	0.504	4.556	5.15	5.105		
Morucci-2019-643-38	38	antisettico	antiseptic	0.541	2.027	0.757	0.297	2.649	2.649	vista	6.27	1.34	0.375	4	6.647	4.316		
Morucci-2019-643-39	39	apatico	apathetic	0.132	0.189	0.342	2.053	2.947	2.947	vista	5.663	1.078	0.497	5.412	6.35	4.947		
Morucci-2019-643-40	40	aperto	open	0.375	0.825	3.35	1.875	4.825	4.825	vista	11.25	1.327	0.396	6.941	2.5	6.778	1156	OPEN
Morucci-2019-643-41	41	appannato	tarnished	0.184	0.179	1.744	0.359	4.897	4.897	vista	7.364	0.942	0.641	5.474	4.059	6.158		
Morucci-2019-643-42	42	appassito	withered	0.824	2.029	2.706	0.206	4.706	4.706	vista	10.471	1.304	0.43	5.389	3.9	5.895		
