ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Nagaraja-2013-200-1	1	all	98	ALL
Nagaraja-2013-200-2	2	and	1577	AND
Nagaraja-2013-200-3	3	animal	619	ANIMAL
Nagaraja-2013-200-4	4	ashes	646	ASH
Nagaraja-2013-200-5	5	at	1461	AT
Nagaraja-2013-200-6	6	back (anat.)	1291	BACK
Nagaraja-2013-200-7	7	bad	1292	BAD
Nagaraja-2013-200-8	8	bark (of tree)	1204	BARK
Nagaraja-2013-200-9	9	because	1157	BECAUSE
Nagaraja-2013-200-10	10	belly	1251	BELLY
Nagaraja-2013-200-11	11	big	1202	BIG
Nagaraja-2013-200-12	12	bird	937	BIRD
Nagaraja-2013-200-13	13	to bite	1403	BITE
Nagaraja-2013-200-14	14	black	163	BLACK
Nagaraja-2013-200-15	15	blood	946	BLOOD
Nagaraja-2013-200-16	16	blow	175	BLOW (OF WIND)
Nagaraja-2013-200-17	17	bone	1394	BONE
Nagaraja-2013-200-18	18	breathe	1407	BREATHE
Nagaraja-2013-200-19	19	burn	141	BURN (SOMETHING)
Nagaraja-2013-200-20	20	child	2099	CHILD
Nagaraja-2013-200-21	21	cloud	1489	CLOUD
Nagaraja-2013-200-22	22	cold	102	COMMON COLD (DISEASE)
Nagaraja-2013-200-23	23	come	1446	COME
Nagaraja-2013-200-24	24	count	1420	COUNT
Nagaraja-2013-200-25	25	cut	1432	CUT
Nagaraja-2013-200-26	26	day	1225	DAY (NOT NIGHT)
Nagaraja-2013-200-27	27	die	1494	DIE
Nagaraja-2013-200-28	28	dig	1418	DIG
Nagaraja-2013-200-29	29	dirty	1230	DIRTY
Nagaraja-2013-200-30	30	dog	2009	DOG
Nagaraja-2013-200-31	31	drink	1401	DRINK
Nagaraja-2013-200-32	32	dry	1398	DRY
Nagaraja-2013-200-33	33	dull, blunt	379	BLUNT
Nagaraja-2013-200-34	34	dust	2	DUST
Nagaraja-2013-200-35	35	ear	1247	EAR
Nagaraja-2013-200-36	36	earth	1228	EARTH (SOIL)
Nagaraja-2013-200-37	37	eat	1336	EAT
Nagaraja-2013-200-38	38	egg	744	EGG
Nagaraja-2013-200-39	39	eye	1248	EYE
Nagaraja-2013-200-40	40	to fall	2234	FALL (SNOW, RAIN)
Nagaraja-2013-200-41	41	far	1406	FAR
Nagaraja-2013-200-42	42	fat-grease	323	GREASE
Nagaraja-2013-200-43	43	father	1217	FATHER
Nagaraja-2013-200-44	44	to fear	781	FEAR (FRIGHT)
Nagaraja-2013-200-45	45	feather	1201	FEATHER
Nagaraja-2013-200-46	46	few	1242	FEW
Nagaraja-2013-200-47	47	to fight	1423	FIGHT
Nagaraja-2013-200-48	48	fire	221	FIRE
Nagaraja-2013-200-49	49	fish	227	FISH
Nagaraja-2013-200-50	50	five	493	FIVE
Nagaraja-2013-200-51	51	to float	1574	FLOAT
Nagaraja-2013-200-52	52	to flow	2003	FLOW
Nagaraja-2013-200-53	53	flower	239	FLOWER
Nagaraja-2013-200-54	54	to fly	1441	FLY (MOVE THROUGH AIR)
Nagaraja-2013-200-55	55	fog	249	FOG
Nagaraja-2013-200-56	56	foot	1301	FOOT
Nagaraja-2013-200-57	57	four	1500	FOUR
Nagaraja-2013-200-58	58	freeze	1431	FREEZE
Nagaraja-2013-200-59	59	fruit	1507	FRUIT
Nagaraja-2013-200-60	60	give	1447	GIVE
Nagaraja-2013-200-61	61	good	1035	GOOD
Nagaraja-2013-200-62	62	grass	606	GRASS
Nagaraja-2013-200-63	63	green	1425	GREEN
