ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER_INCORRECT
Nicholas-1988-60-1	1	Bed	1663	BED	0
Nicholas-1988-60-2	2	Tree	906	TREE	0
Nicholas-1988-60-3	3	Pencil	2578	PENCIL	0
Nicholas-1988-60-4	4	House	1252	HOUSE	6*
Nicholas-1988-60-5	5	Whistle	1025	WHISTLE	0
Nicholas-1988-60-6	6	Scissors	356	SHEARS	1
Nicholas-1988-60-7	7	Comb	1475	COMB	0
Nicholas-1988-60-8	8	Flower	239	FLOWER	1
Nicholas-1988-60-9	9	Saw	1948	SAW	0
Nicholas-1988-60-10	10	Toothbrush	2579	TOOTHBRUSH	1
Nicholas-1988-60-11	11	Helicopter	2580	HELICOPTER	2
Nicholas-1988-60-12	12	Broom	245	BROOM	0
Nicholas-1988-60-13	13	Octopus	2581	OCTOPUS	0
Nicholas-1988-60-14	14	Mushroom	641	MUSHROOM	4
Nicholas-1988-60-15	15	Hanger			0
Nicholas-1988-60-16	16	Wheelchair	2582	WHEELCHAIR	0
Nicholas-1988-60-17	17	Camel	1871	CAMEL	1
Nicholas-1988-60-18	18	Mask	2005	MASK	0
Nicholas-1988-60-19	19	Pretzel	2583	PRETZEL	0
Nicholas-1988-60-20	20	Bench	2584	BENCH	0
Nicholas-1988-60-21	21	Racquet	2585	RACQUET	0
Nicholas-1988-60-22	22	Snail	1543	SNAIL	0
Nicholas-1988-60-23	23	Volcano	2291	VOLCANO	3
Nicholas-1988-60-24	24	Seahorse	2586	SEAHORSE	5
Nicholas-1988-60-25	25	Dart	2587	DARTS	1
Nicholas-1988-60-26	26	Canoe	1970	CANOE	1
Nicholas-1988-60-27	27	Globe	2588	GLOBE	0
Nicholas-1988-60-28	28	Wreath	2589	WREATH	11*
Nicholas-1988-60-29	29	Beaver	1194	BEAVER	8*
Nicholas-1988-60-30	30	Harmonica	2590	HARMONICA	
Nicholas-1988-60-31	31	Rhinoceros	2591	RHINOCEROS	10*
Nicholas-1988-60-32	32	Acorn	968	ACORN	4
Nicholas-1988-60-33	33	Igloo	2592	IGLOO	1
Nicholas-1988-60-34	34	Stilts	2593	STILTS	0
Nicholas-1988-60-35	35	Dominoes	2594	DOMINOES	4
Nicholas-1988-60-36	36	Cactus	2595	CACTUS	0
Nicholas-1988-60-37	37	Escalator	2596	ESCALATOR	0
Nicholas-1988-60-38	38	Harp	2597	HARP	0
Nicholas-1988-60-39	39	Hammock	2019	HAMMOCK	1
Nicholas-1988-60-40	40	Knocker	2598	DOOR KNOCKER	6*
Nicholas-1988-60-41	41	Pelican	472	PELICAN	6*
Nicholas-1988-60-42	42	Stethoscope	2599	STETHOSCOPE	2
Nicholas-1988-60-43	43	Pyramid	2600	PYRAMID	3
Nicholas-1988-60-44	44	Muzzle			7*
Nicholas-1988-60-45	45	Unicorn	2601	UNICORN	7*
Nicholas-1988-60-46	46	Funnel	2602	FUNNEL	3
Nicholas-1988-60-47	47	Accordion	2603	ACCORDION	5
Nicholas-1988-60-48	48	Noose	2604	NOOSE	8*
Nicholas-1988-60-49	49	Asparagus	2605	ASPARAGUS	4
Nicholas-1988-60-50	50	Compass	2606	COMPASS	32*
Nicholas-1988-60-51	51	Latch	1012	LATCH	26*
Nicholas-1988-60-52	52	Tripod	2607	TRIPOD	11*
Nicholas-1988-60-53	53	Scroll	2608	SCROLL	6*
Nicholas-1988-60-54	54	Tongs	272	TONGS	11*
Nicholas-1988-60-55	55	Sphinx	2609	SPHINX	12*
Nicholas-1988-60-56	56	Yoke	14	YOKE	16*
Nicholas-1988-60-57	57	Trellis	2610	TRELLIS (ARCHITECTURE)	7*
Nicholas-1988-60-58	58	Palette	2611	PALETTE (PAINTING)	18*
Nicholas-1988-60-59	59	Protractor	2612	PROTRACTOR	39*
Nicholas-1988-60-60	60	Abacus	2489	ABACUS	27*
