ID	NUMBER	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	GERMAN
Nordenskioeld-1905-50-1	1	ear	1247	EAR	Ohr
Nordenskioeld-1905-50-2	2	eye	1248	EYE	Auge
Nordenskioeld-1905-50-3	3	head	1277	HAND	Hand
Nordenskioeld-1905-50-4	4	beard	678	BEARD	Bart
Nordenskioeld-1905-50-5	5	front tooth	442	FRONT TOOTH (INCISOR)	Zahn (Vorder-)
Nordenskioeld-1905-50-6	6	nose	1221	NOSE	Nase
Nordenskioeld-1905-50-7	7	mouth	674	MOUTH	Mund
Nordenskioeld-1905-50-8	8	tongue	1205	TONGUE	Zunge
Nordenskioeld-1905-50-9	9	penis	1222	PENIS	Penis
Nordenskioeld-1905-50-10	10	vulva	1837	VULVA	Vulva
Nordenskioeld-1905-50-11	11	fire	221	FIRE	Feuer
Nordenskioeld-1905-50-12	12	water	948	WATER	Wasser
Nordenskioeld-1905-50-13	13	ash	646	ASH	Asche
Nordenskioeld-1905-50-14	14	smoke	778	SMOKE (EXHAUST)	Rauch
Nordenskioeld-1905-50-15	15	stone	2125	STONE OR ROCK	Stein
Nordenskioeld-1905-50-16	16	banana	868	BANANA	Banane
Nordenskioeld-1905-50-17	17	cotton	1850	COTTON	Baumwolle
Nordenskioeld-1905-50-18	18	bamboo	1927	BAMBOO	Bambus
Nordenskioeld-1905-50-19	19	manioc	927	MANIOC	Yuca
Nordenskioeld-1905-50-20	20	maize	506	MAIZE	Mais
Nordenskioeld-1905-50-21	21	tobacco	974	TOBACCO	Tabak
Nordenskioeld-1905-50-22	22	tapir	312	TAPIR	Tapir
Nordenskioeld-1905-50-23	23	pauchi (chicken)	1318	CHICKEN	Pauchi-huhn
Nordenskioeld-1905-50-24	24	deer	1936	DEER	Hirsch
Nordenskioeld-1905-50-25	25	fish	227	FISH	Fisch
Nordenskioeld-1905-50-26	26	jaguar	1250	JAGUAR	Jaguar
Nordenskioeld-1905-50-27	27	dog	2009	DOG	Hund
Nordenskioeld-1905-50-28	28	one	1493	ONE	ein
Nordenskioeld-1905-50-29	29	two	1498	TWO	zwei
Nordenskioeld-1905-50-30	30	three	492	THREE	drei
Nordenskioeld-1905-50-31	31	four	1500	FOUR	vier
Nordenskioeld-1905-50-32	32	five	493	FIVE	fünf
Nordenskioeld-1905-50-33	33	sun	1343	SUN	Sonne
Nordenskioeld-1905-50-34	34	moon	1313	MOON	Mond
Nordenskioeld-1905-50-35	35	star	1430	STAR	Sterne
Nordenskioeld-1905-50-36	36	pot	1462	POT	Topf
Nordenskioeld-1905-50-37	37	shirt	1622	SHIRT	Hemd aus Baumwolle
Nordenskioeld-1905-50-38	38	headband	3457	HEADBAND OR HEADDRESS	Stirnband aus Federn
Nordenskioeld-1905-50-39	39	bow	994	BOW	Bogen
Nordenskioeld-1905-50-40	40	arrow	977	ARROW	Pfeil
Nordenskioeld-1905-50-41	41	needle	1382	NEEDLE (FOR SEWING)	Nadel
Nordenskioeld-1905-50-42	42	mirror	1171	MIRROR	Spiegel
Nordenskioeld-1905-50-43	43	stearin candle	1273	CANDLE	Stearinlicht
Nordenskioeld-1905-50-44	44	match	1133	MATCH	Zündholz
Nordenskioeld-1905-50-45	45	sleep, to	1585	SLEEP	schlafen
Nordenskioeld-1905-50-46	46	eat, to	1336	EAT	essen
Nordenskioeld-1905-50-47	47	good	1035	GOOD	gut
Nordenskioeld-1905-50-48	48	bad	1292	BAD	schlecht
Nordenskioeld-1905-50-49	49	yes	1268	YES	ja
Nordenskioeld-1905-50-50	50	no	1269	NO	nein
