ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	COMMON_CHINESE	GLOSS	CHINESE	OMEGAWIKI
Norman-2003-40-1	a2785c13-39c4-4c2d-9e5b-ff332bb367ba	SKY	1	*thian¹	sky	天	7039
Norman-2003-40-2	0776d5f2-a837-4635-94e4-39c9113ab890	THREE	2	*sam¹	three	三	156096
Norman-2003-40-3	3bfc4f37-3ce7-4eb5-9fab-7e9659cc61a4	CHICKEN	3	*kiai¹	chicken	鸡	5778
Norman-2003-40-4	4c757d6a-cabe-4007-b67d-796b5b669d54	LIVER	4	*kon¹	liver	肝	5476
Norman-2003-40-5	77970256-0860-47fa-8cbe-a544d6c4c519	DEEP	5	*shim¹	deep	深	6535
Norman-2003-40-6	873cce95-a413-4e27-a7b1-e17570c6866d	SKIN	6	*bi²	skin	皮	3430
Norman-2003-40-7	1764034a-a958-48a1-9f99-4e2b6ff20de8	COME	7	*loi²	come	来	6056
Norman-2003-40-8	6c910bd1-5034-4978-8a3e-4d90dbfd4e3a	FLOW	8	*liou²	flow	留	961244
Norman-2003-40-9	3db86e01-8d76-4140-9398-835b6d8747ee	COW	9	*ŋiou²	cow	牛	432006
Norman-2003-40-10	8f5d5298-0b47-4877-a522-bdd368d1a3f6	LONG	10	*jioŋ²	long	长	5438
Norman-2003-40-11	a39512d8-34d4-4169-9610-af884b65ff3e	WATER	11	*shyi³	water	水	4118
Norman-2003-40-12	411a173c-5b15-430d-bc25-7eed20d9ffe9	FIRE	12	*huo³	fire	火	1446
Norman-2003-40-13	2dd51808-bdfd-4f54-b3fd-8379b3728b62	HAND	13	*shiou³	hand	手	5616
Norman-2003-40-14	8a57a10b-7521-499c-99e1-f01b9a9a8f1f	EARLY	14	*tsou³	early	早	331892
Norman-2003-40-15	a82336a0-4c84-4e28-9144-a5fafa1f38db	WAIT FOR	15	*teŋ³	wait	等	6530
Norman-2003-40-16	8b9baf29-d464-4583-b1b6-ca05fe1f463b	RISE (2)	16	*zhioŋ⁴	rise	上	630856
Norman-2003-40-17	01f4a54b-ef61-414c-a008-0acdfd498866	GO DOWN, DESCEND	17	*hha⁴	go down	下	980418
Norman-2003-40-18	3e90f871-f3f7-4ad0-8c98-7099457bbb50	HEAVY	18	*jiuŋ⁴	heavy	重	5451
Norman-2003-40-19	ff02753d-0221-4724-a887-6dec93cfa257	SIT	19	*dzuo⁴	sit	坐	6022
Norman-2003-40-20	7f0174c0-7410-4ea9-8d14-361c5f9b5363	NEAR	20	*gin⁴	near	近	869106
Norman-2003-40-21	17bc76ba-b8bf-4d2c-be51-d77112ad336f	GO	21	*khie⁵	go	去	334831
Norman-2003-40-22	cb8502f8-65f0-4c51-ae43-5168b567a226	BROKEN	22	*pho⁵	broken	破	160300
Norman-2003-40-23	683a1b4e-7c1c-4535-890d-295215c7d211	FOUR	23	*si⁵	four	四	6253
Norman-2003-40-24	154c249c-97ef-4dc3-b69a-f951e9d4c6c1	HALF	24	*pon⁵	half	半	352085
Norman-2003-40-25	d0b28173-67da-4c76-af96-df5da05ca9b2	LAUGH	25	*siau⁵	laugh	笑	5876
Norman-2003-40-26	5e9499b0-b32f-44e9-ace2-834c29cd7fad	SICK	26	*biaŋ⁶	sick	病	7800
Norman-2003-40-27	bdce47d8-027e-4a66-a7ec-0b1851c74049	CHARACTER	27	*dzi⁶	graph	字	439341
Norman-2003-40-28	df3eb2a4-3b46-4ffe-8bfa-5e27ec8e00f4	OLD	28	*giou⁶	old	老	5482
Norman-2003-40-29	4327c531-88e0-4368-9730-8614646b242c	TREE	29	*zhy⁶	tree	树	3854
Norman-2003-40-30	b8c2cf30-4437-42fe-b0d1-1e3d370eb41d	TWO	30	*nhi⁶	two	二	6248
Norman-2003-40-31	74c3ae87-eedb-4fb4-b783-7ec6084c0a8f	BLOOD	31	*hiot⁷	blood	血	411
Norman-2003-40-32	093b3611-d1ea-4e20-a239-cd684655ceab	SEVEN	32	*tshit⁷	seven	七	7004
Norman-2003-40-33	778e8166-e269-4ada-bc8b-62a0023d91ac	BAMBOO	33	*ciuk⁷	bamboo	竹	848903
Norman-2003-40-34	53cb3bf8-20a0-429e-aab0-2d847429789a	GO OUT	34	*chiut⁷	go out	出	480460
Norman-2003-40-35	3370a470-e16b-4d32-acb0-643dc55f4955	NAIL	35	*kap⁷	nail (finger- and toenail)	甲	156863
	d8627136-db5d-48de-a680-e9a719ff3653	NAIL, KERATIN	35	*kap⁷	nail (finger- and toenail)	甲	828575
Norman-2003-40-36	f3ae1660-c141-43c8-a36d-7186a182953c	MONTH	36	*ŋiot⁸	month	月	5914
Norman-2003-40-37	95f6dc08-258d-4cd2-ac2c-c13e62b6a1d3	WHITE	37	*bak⁸	white	白	5825
Norman-2003-40-38	a7bbf9a6-dc3a-426f-86ac-dc97ab456597	TEN	38	*zhip⁸	ten	十	6312
Norman-2003-40-39	f86fc8f4-648a-49c9-bf2e-f94a62e1aa47	STONE	39	*zhiak⁸	stone	石	3633
Norman-2003-40-40	08f536dd-deb2-435c-b321-0adae75e66da	MAT	40	*ziak⁸	mat	席	1405241
