ID	NUMBER	ENGLISH	POS	LEXIBANK_GLOSS	SWAHILI	CONCEPTICON_ID	CONCEPTICON_GLOSS
Nurse-1975-1038-1	1	be, become	v.	be, become//become, be	(ku)wa	1990	BECOME
Nurse-1975-1038-2	2	itch	v.	itch	(ku)wawa	148	ITCH
Nurse-1975-1038-3	3	singe	v.	singe	(ku)unguza	3698	SINGE
Nurse-1975-1038-4	4	count	v.	count	(ku)hesabu	1420	COUNT
Nurse-1975-1038-5	5	spot, speckle	n.	spot, speckle	waa	519	SPOT
Nurse-1975-1038-6	6	raphia palm	n.	raphia palm	mwale		
Nurse-1975-1038-7	7	borassus palm	n.	borassus palm	mvumo		
Nurse-1975-1038-8	8	oil palm	n.	oil palm	mchikichi		
Nurse-1975-1038-9	9	date palm	n.	date palm	mtende		
Nurse-1975-1038-10	10	(kind of poisonous snake)	n.	(kind of poisonous snake)//kind of poisonous snake	mamba		
Nurse-1975-1038-11	11	tent pegs	n.	tent pegs	mambo		
Nurse-1975-1038-12	12	peg	n.	peg	chango	361	PEG
Nurse-1975-1038-13	13	plot of ground	n.	plot of ground	kiwanja		
Nurse-1975-1038-14	14	courtyard	n.	courtyard	uwanja	4	COURTYARD
Nurse-1975-1038-15	15	you (sg.)	n.	you (sg)//you (sg.)//you (sing.)	wewe	1215	THOU
Nurse-1975-1038-16	16	in front of	n.	in front of	mbele	1883	IN FRONT OF
Nurse-1975-1038-17	17	breast	n.	breast (ya mke)//breast	maziwa (ya mke)	1402	BREAST
Nurse-1975-1038-18	18	udder	n.	udder	kiwele	154	UDDER
Nurse-1975-1038-19	19	milk	n.	milk (kwa kunywa)//milk	maziwa (kwa kunywa)	635	MILK
Nurse-1975-1038-20	20	curdled milk	n.	curdled milk	(maziwa ya) robu		
Nurse-1975-1038-21	21	buttermilk	n.	buttermilk	mtindi (ya maziwa)		
Nurse-1975-1038-22	22	thigh	n.	thigh (cha nyama)//thigh	kiweo (cha nyama)	800	THIGH
Nurse-1975-1038-23	23	thigh	n.	thigh (cha mtu)//thigh	paja (la mtu)	800	THIGH
Nurse-1975-1038-24	24	rat	n.	rat	panya	1490	RAT
Nurse-1975-1038-25	25	(very large long-tailed rat)	n.	(very large long-tailed rat)	buku		
Nurse-1975-1038-26	26	(kind of rat)	n.	(kind of rat)	ndezi		
Nurse-1975-1038-27	27	bad	n.	bad	-baya (kibaya)	1292	BAD
Nurse-1975-1038-28	28	wicked	n.	wicked	-ovu	45	EVIL
Nurse-1975-1038-29	29	rotten	n.	rotten	-bovu	1728	ROTTEN
Nurse-1975-1038-30	30	boil	v.	boil	(ku)chemsha	2493	BOIL
Nurse-1975-1038-31	31	call	v.	call	(ku)ita		
Nurse-1975-1038-32	32	chase (away)	v.	chase (away)//chase, chase away	(ku)winga		
Nurse-1975-1038-33	33	hunt	v.	hunt	(ku)winda	1435	HUNT
Nurse-1975-1038-34	34	(professional) hunter	n.	(professional) hunter	mwindaji	1053	HUNTER
Nurse-1975-1038-35	35	hunting	n.	hunting	uwindo		
Nurse-1975-1038-36	36	soot	n.	soot	masizi	830	SOOT
Nurse-1975-1038-37	37	become bad, rotten	v.	become bad, rotten	(ku)oza	1728	ROTTEN
Nurse-1975-1038-38	38	be high (of meat)	v.	be high (of meat)//be high (of meta)	(ku)vunda		
Nurse-1975-1038-39	39	pot, mug	n.	pot, mug	mkebe		
Nurse-1975-1038-40	40	(earthen) cooking pot	n.	(earthen) cooking pot	chungu		
Nurse-1975-1038-41	41	pot, vessel	n.	pot, vessel	chombo	1462	POT
Nurse-1975-1038-42	42	metal pot	n.	metal pot	kopo		
Nurse-1975-1038-43	43	small cooking pan	n.	pot//small cooking pan	kibia		
Nurse-1975-1038-44	44	(earthenware vessel for serving up food) 	n.	(earthenware vessel for servin	bia		
Nurse-1975-1038-45	45	excrement, dung	n.	excrement, dung//excreta	mavi	2057	DUNG (ANIMAL FAECES)
Nurse-1975-1038-46	46	give birth to a child	v.	give birth to a child	(ku)zaa	1195	GIVE BIRTH
Nurse-1975-1038-47	47	he who begets (=parent)	n.	he who begets (=parent)//he who begets (parent)	mzazi		
Nurse-1975-1038-48	48	offspring	n.	offspring	mzao	1801	CHILD (DESCENDANT)
Nurse-1975-1038-49	49	dirt	n.	dirt	uchafu	25	DIRT
Nurse-1975-1038-50	50	filth	n.	filth	taka		
Nurse-1975-1038-50a	50a	filth	n.	filth	takataka		
Nurse-1975-1038-51	51	swell	n.	rubbish, garbage//swell	(ku)vimba	1573	SWELL
Nurse-1975-1038-52	52	corpse	n.	corpse	mzoga	767	CORPSE
Nurse-1975-1038-53	53	dance	v.	dance	(ku)cheza ngoma	1879	DANCE
Nurse-1975-1038-54	54	they	n.	them//they	wao	817	THEY
Nurse-1975-1038-55	55	arm, hand	n.	arm, hand//arm	mkono	2121	ARM OR HAND
Nurse-1975-1038-56	56	get wet	v.	become wet//get wet	(ku)lowa	2324	GET WET
Nurse-1975-1038-57	57	pump	n.	pump	bomba		
Nurse-1975-1038-58	58	brain	n.	brain	ubongo	1583	BRAIN
Nurse-1975-1038-59	59	mosquito	n.	mosquito	mbu	1509	MOSQUITO
Nurse-1975-1038-60	60	dog	n.	dog	mbwa	2009	DOG
Nurse-1975-1038-61	61	stone	n.	stone	jiwe	857	STONE
Nurse-1975-1038-62	62	spider	n.	spider	buibui	843	SPIDER
Nurse-1975-1038-63	63	goat	n.	goat	mbuzi	1502	GOAT
Nurse-1975-1038-64	64	open space	n.	open space	uga		
Nurse-1975-1038-65	65	mould (pottery)	v.	mould pottery//mould (pottery)	(ku)umba (vyungu)	289	MOLD
Nurse-1975-1038-66	66	oil (from plants)	n.	oil (from plants)	uto	2555	OIL (FROM PLANTS)
Nurse-1975-1038-67	67	seed	n.	seed	mbegu	714	SEED
Nurse-1975-1038-68	68	grain	n.	grain//grain (ya mtama)	punje (ya mtama)	605	GRAIN
Nurse-1975-1038-69	69	soil	n.	soil	udongo	1228	EARTH (SOIL)
Nurse-1975-1038-70	70	earth, land	n.	earth, land	ardhi	3603	EARTH OR LAND
Nurse-1975-1038-71	71	buffalo	n.	buffalo (=mbogo)//buffalo	nyati (=mbogo)	934	BUFFALO
Nurse-1975-1038-72	72	mix, put together	v.	mix, put together	(ku)changanya	2017	MIX
Nurse-1975-1038-73	73	mix (ingredients)	v.	mix (ingredients, e.g. unga ch//mix//mix (ingredients)	(ku)unga (e.g. chakula)		
Nurse-1975-1038-74	74	stir, mix by stirring	v.	stir, mix by stirring	(ku)vuruga	696	STIR
Nurse-1975-1038-75	75	white hair	n.	white hair	mvi		
Nurse-1975-1038-76	76	rain	n.	rain	mvua	658	RAIN (PRECIPITATION)
Nurse-1975-1038-77	77	break, snap	v.	break, snap	(ku)vunja	2558	BREAK (CLEAVE)
Nurse-1975-1038-78	78	stir up	v.	stir up, stir up//stir up	(ku)vumbua, (ku)vumbilia		
Nurse-1975-1038-79	79	crumple	v.	crumple	(ku)vungavunga		
Nurse-1975-1038-80	80	bunch	n.	bunch (la nywele)//bunch	vunga (la nywele)	1966	BUNCH
Nurse-1975-1038-81	81	wrap up	v.	wrap up	(ku)kunja		
Nurse-1975-1038-82	82	spark	n.	spark	cheche	518	SPARK
Nurse-1975-1038-83	83	choose	v.	choose	(ku)chagua	1750	CHOOSE
Nurse-1975-1038-84	84	search for	v.	search for	(ku)tafuta	1468	LOOK FOR
Nurse-1975-1038-85	85	search diligently	v.	search diligently	(ku)chakura		
Nurse-1975-1038-86	86	thicket	n.	thicket	chaka		
Nurse-1975-1038-87	87	bait	n.	bait	chambo	2013	BAIT
Nurse-1975-1038-88	88	(brass) wire	n.	(brass) wire//wire	masango	2631	WIRE
Nurse-1975-1038-89	89	assemble, collect	v.	assemble, collect//meet someone	(ku)changa		
Nurse-1975-1038-90	90	meet	v.	meet	(ku)kuta	1831	MEET
Nurse-1975-1038-91	91	be gathered, be assembled	v.	be gathered, be assembled	(ku)kusanyika		
Nurse-1975-1038-92	92	become cheerful	v.	become cheerful	(ku)changamka		
Nurse-1975-1038-93	93	be pleased	v.	be pleased	(ku)pendezwa		
Nurse-1975-1038-94	94	laugh	v.	laugh	(ku)cheka	1355	LAUGH
Nurse-1975-1038-95	95	sand	n.	sand	mchanga	671	SAND
Nurse-1975-1038-96	96	lean, bend down, slope	v.	become leaning//lean, bend down, slope	(ku)inama		
Nurse-1975-1038-97	97	carry astride on the hip	v.	carry astride on the hip	(ku)eleka		
Nurse-1975-1038-98	98	cut, lop	v.	cut//cut, lop	(ku)chenga	1432	CUT
Nurse-1975-1038-99	99	(dry) land	n.	(dry) land//ground	nchi (kavu)	626	LAND
Nurse-1975-1038-100	100	(our) country	n.	country//(our) country	nchi (yetu)	1300	COUNTRY
Nurse-1975-1038-101	101	below, underneath	n.	underneath//below, underneath	chini	1485	BELOW OR UNDER
Nurse-1975-1038-102	102	squirrel	n.	squirrel	kindi	1628	SQUIRREL
Nurse-1975-1038-103	103	lion	n.	lion	simba	1386	LION
Nurse-1975-1038-104	104	cat	n.	cat	paka	1208	CAT
Nurse-1975-1038-105	105	half-wild tomcat	n.	half-wild tomcat//half-wild tomcat (also shume l	nunda (=shume la paka)		
Nurse-1975-1038-106	106	cheetah	n.	cheetah	duma	3146	CHEETAH
Nurse-1975-1038-107	107	leopard	n.	leopard	chui	1139	LEOPARD
Nurse-1975-1038-108	108	genet (=kind of speckled civet cat) 	n.	genet (kind of speckled civet//genet (=kind of speckled civet//genet	fungo		
Nurse-1975-1038-109	109	civet cat	n.	civet cat//civet cat (also paka wa zabadi	ngawa (=paka wa zabadi)	3018	NATIVE CAT
Nurse-1975-1038-110	110	rub	v.	rub	(ku)sugua	1449	RUB
Nurse-1975-1038-111	111	polish	v.	polish	(ku)katua	3659	POLISH (SOMETHING)
Nurse-1975-1038-112	112	wipe	v.	wipe	(ku)futa	1454	WIPE
Nurse-1975-1038-113	113	broth	n.	broth	mchuzi		
Nurse-1975-1038-114	114	poke	v.	poke in//poke	(ku)chocha		
Nurse-1975-1038-115	115	thrust into	v.	poke in//thrust into	(ku)choma		
Nurse-1975-1038-116	116	shame	n.	shame	soni	1776	SHAME
Nurse-1975-1038-117	117	cut to shape, sharpen to a point	v.	cut to shape, sharpen to a poi	(ku)chonga		
Nurse-1975-1038-118	118	incite	v.	incite	(ku)chonjomoa		
Nurse-1975-1038-119	119	tip, point	n.	tip, point//sharpen to a point	ncha		
Nurse-1975-1038-120	120	canine tooth, tooth filed to a point	n.	point//canine tooth, tooth filed to a	chonge		
Nurse-1975-1038-121	121	termite	n.	termite	mchwa	883	TERMITE
Nurse-1975-1038-122	122	ant-hill	n.	ant-hill	chuguu	1873	ANTHILL
Nurse-1975-1038-123	123	skin	n.	skin//skin (ya mtu)	ngozi (ya mtu)	763	SKIN
Nurse-1975-1038-124	124	skin	n.	skin (ya matunda)//skin	ganda (ya matunda)	763	SKIN
Nurse-1975-1038-125	125	bite	v.	bite	(ku)uma	1403	BITE
Nurse-1975-1038-126	126	fish	n.	fish (old Swahili nswi)//fish	samaki (=nswi)	227	FISH
Nurse-1975-1038-127	127	wash	v.	wash	(ku)osha	1453	WASH
Nurse-1975-1038-128	128	wash (clothes)	v.	wash (clothes)	(ku)fua (nguo)	1453	WASH
Nurse-1975-1038-129	129	wash, take a bath	v.	wash, take a bath	(ku)oga / (ku)koga	1453	WASH
Nurse-1975-1038-130	130	day	n.	day	siku		
Nurse-1975-1038-131	131	look after, care for	v.	look after, care for	(ku)tunza	253	CARE FOR
