ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	ENGLISH
OGrady-1969-100-1	1886	ARMPIT	1	armpit
OGrady-1969-100-2	646	ASH	2	ashes
OGrady-1969-100-3	1251	BELLY	3	belly
OGrady-1969-100-4	1202	BIG	4	big
OGrady-1969-100-5	1403	BITE	5	bite
OGrady-1969-100-6	163	BLACK	6	black
OGrady-1969-100-7	946	BLOOD	7	blood
OGrady-1969-100-8	1394	BONE	8	bone
OGrady-1969-100-9	1402	BREAST	9	breast
OGrady-1969-100-10	1428	BURNING	10	burn (intr.)
OGrady-1969-100-11	94	GRADUALLY	11	by-and-by
OGrady-1969-100-12	1592	CHEST	12	chest
OGrady-1969-100-13	1102	CLIMB	13	climb
OGrady-1969-100-14	1839	CRY	14	cry
OGrady-1969-100-15	1432	CUT	15	cut
OGrady-1969-100-16	2009	DOG	16	dog
OGrady-1969-100-17	2094	DOWN OR BELOW	17	down, below
OGrady-1969-100-18	1247	EAR	18	ear
OGrady-1969-100-19	1877	EAST	19	east
OGrady-1969-100-20	1336	EAT	20	eat
OGrady-1969-100-21	744	EGG	21	egg
OGrady-1969-100-22	981	ELBOW	22	elbow
OGrady-1969-100-23	675	FAECES	23	excrement
OGrady-1969-100-24	1248	EYE	24	eye
OGrady-1969-100-25	1280	FALL	25	fall
OGrady-1969-100-26	1406	FAR	26	far
OGrady-1969-100-27	323	FAT (ORGANIC SUBSTANCE)	27	fat, grease
OGrady-1969-100-28	1258	FINGERNAIL	28	fingernail
OGrady-1969-100-29	221	FIRE	29	fire
OGrady-1969-100-30	1504	FLY (INSECT)	30	fly (insect)
OGrady-1969-100-31	256	FOOD	31	food (veg.)
OGrady-1969-100-32	1301	FOOT	32	foot
OGrady-1969-100-33	123	FOREHEAD	33	forehead
OGrady-1969-100-34	371	PICK UP	34	get, pick up
OGrady-1969-100-35	1447	GIVE	35	give
OGrady-1969-100-36	695	GO	36	go
OGrady-1969-100-37	2159	GROUND	37	ground
OGrady-1969-100-38	1277	HAND	38	hand
OGrady-1969-100-39	1256	HEAD	39	head
OGrady-1969-100-40	1040	HAIR	40	head hair
OGrady-1969-100-41	1408	HEAR	41	hear
OGrady-1969-100-42	1223	HEART	42	heart
OGrady-1969-100-43	1433	HIT	43	hit (with hand)
OGrady-1969-100-44	1533	BE HUNGRY	44	hungry
OGrady-1969-100-45	1209	I	45	I
OGrady-1969-100-46	1371	KNEE	46	knee
OGrady-1969-100-47	628	LEAF	47	leaf
OGrady-1969-100-48	1097	ABANDON	48	leave it
OGrady-1969-100-49	1224	LIVER	49	liver
OGrady-1969-100-50	1203	LONG	50	long
OGrady-1969-100-51	1411	LIE (REST)	51	be lying down
OGrady-1969-100-52	1198	MANY	52	many
OGrady-1969-100-53	2096	ANIMAL OR MEAT	53	meat, animal
OGrady-1969-100-54	1313	MOON	54	moon
OGrady-1969-100-55	674	MOUTH	55	mouth
OGrady-1969-100-56	1405	NAME	56	name
OGrady-1969-100-57	1347	NAPE (OF NECK)	57	nape
OGrady-1969-100-58	1598	NORTH	58	north
OGrady-1969-100-59	1221	NOSE	59	nose
OGrady-1969-100-60	2097	NOW OR TODAY	60	now, today
OGrady-1969-100-61	406	OLD MAN	61	old man
OGrady-1969-100-62	1493	ONE	62	one
OGrady-1969-100-63	683	PERSON	63	person, aborigine
OGrady-1969-100-64	801	RIB	64	rib
OGrady-1969-100-65	1728	ROTTEN	65	rotten
OGrady-1969-100-66	1409	SEE	66	see
OGrady-1969-100-67	1645	SHORT	67	short
OGrady-1969-100-68	1416	SIT	68	sit
OGrady-1969-100-69	763	SKIN	69	skin
OGrady-1969-100-70	1732	SKY	70	sky
OGrady-1969-100-71	1246	SMALL	71	small
OGrady-1969-100-72	1586	SMELL (PERCEIVE)	72	smell it
OGrady-1969-100-73	778	SMOKE (EXHAUST)	73	smoke
OGrady-1969-100-74	730	SNAKE	74	snake
OGrady-1969-100-75	1595	SOUTH	75	south
OGrady-1969-100-76	1623	SPEAK	76	speak
OGrady-1969-100-77	945	SPEAR	77	spear
OGrady-1969-100-78	1503	SALIVA	78	spit, saliva
OGrady-1969-100-79	1442	STAND	79	be standing
OGrady-1969-100-80	1430	STAR	80	star
OGrady-1969-100-81	857	STONE	81	stone
OGrady-1969-100-82	1343	SUN	82	sun
OGrady-1969-100-83	1220	TAIL	83	tail
OGrady-1969-100-84	800	THIGH	84	thigh
OGrady-1969-100-85	1214	THIS	85	this
OGrady-1969-100-86	1346	THROAT	86	throat
OGrady-1969-100-87	1205	TONGUE	87	tongue
OGrady-1969-100-88	1380	TOOTH	88	tooth
OGrady-1969-100-89	906	TREE	89	tree
OGrady-1969-100-90	1498	TWO	90	two
OGrady-1969-100-91	1591	UP	91	up
OGrady-1969-100-92	1142	URINE	92	urine
OGrady-1969-100-93	948	WATER	93	water
OGrady-1969-100-94	1817	WEST	94	west
OGrady-1969-100-95	1236	WHAT	95	what?
OGrady-1969-100-96	1237	WHERE	96	where?
OGrady-1969-100-97	1235	WHO	97	who?
OGrady-1969-100-98	960	WIND	98	wind
OGrady-1969-100-99	962	WOMAN	99	woman
OGrady-1969-100-100	1215	THOU	100	you, sg
