ID	NUMBER	ENGLISH	COGNATE_CLASS_SIZE	I-E_RATE	HALF-LIFE_1000S_OF_YEARs	FREQUENCY_OF_USE	PART_OF_sPEECH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Pagel-2013-23-1	1	Thou	7	64	10.83	2,524	Pronoun	1215	THOU
Pagel-2013-23-2	2	I	6	9	77	4,332	Pronoun	1209	I
Pagel-2013-23-3	3	Not	5	82	8.45	7,602	Adverb	1240	NOT
Pagel-2013-23-4	4	That	5	188	3.69	5,846	Adjective	78	THAT
Pagel-2013-23-5	5	We	5	37	18.73	2,956	Pronoun	1212	WE
Pagel-2013-23-6	6	To give	5	76	9.12	1,606	Verb	1447	GIVE
Pagel-2013-23-7	7	Who	5	9	77	1,172	Pronoun	1235	WHO
Pagel-2013-23-8	8	This	4	218	3.18	11,185	Adjective	1214	THIS
Pagel-2013-23-9	9	What	4	69	10.04	3,058	Adverb	1236	WHAT
Pagel-2013-23-10	10	Man/male	4	338	2.05	2,8	Noun	2106	MALE PERSON
Pagel-2013-23-11	11	Ye	4	132	5.25	1,459	Pronoun	1213	YOU
Pagel-2013-23-12	12	Old	4	253	2.74	746	Adjective	1229	OLD
Pagel-2013-23-13	13	Mother	4	236	2.94	717	Noun	1216	MOTHER
Pagel-2013-23-14	14	To hear	4	235	2.95	680	Verb	1408	HEAR
Pagel-2013-23-15	15	Hand	4	82	8.45	658	Noun	1277	HAND
Pagel-2013-23-16	16	Fire	4	175	3.96	398	Noun	221	FIRE
Pagel-2013-23-17	17	To pull	4	453	1.71	279	Verb	1455	PULL
Pagel-2013-23-18	18	Black	4	191	3.62	135	Adjective	163	BLACK
Pagel-2013-23-19	19	To flow	4	0.34	2.04	91	Verb	2003	FLOW
Pagel-2013-23-20	20	Bark	4	379	1.82	49	Noun	1204	BARK
Pagel-2013-23-21	21	Ashes	4	265	2.62	23	Noun	646	ASH
Pagel-2013-23-22	22	To spit	4	204	3.38	23	Verb	1440	SPIT
Pagel-2013-23-23	23	Worm	4	216	3.19	21	Noun	1219	WORM
