ID	NUMBER	RUSSIAN	GLOSS	GERMAN	LATIN	FRENCH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Pallas-1786-441-2	1	Богъ	god (noun)	Gott	Deus	Dieu	1944	GOD
Pallas-1786-441-3	2	Отецъ	father (noun)	Vater	Pater	Pére	1217	FATHER
Pallas-1786-441-4	3	Мать	mother (noun)	Mutter	Mater	Mére	1216	MOTHER
Pallas-1786-441-5	4	Сынъ	son (noun)	Sohn	Filius	Fils	1620	SON
Pallas-1786-441-6	5	Дочь	daughter (noun)	Tochter	Filia	Fille	1357	DAUGHTER
Pallas-1786-441-7	6	Братъ	brother (noun)	Bruder	Frater	Frére	1262	BROTHER
Pallas-1786-441-8	7	Сестра	sister (noun)	Schweßter	Soror	Soeur	1263	SISTER
Pallas-1786-441-9	8	Мужъ	husband (noun)	Mann	Maritus	Mari	1200	HUSBAND
Pallas-1786-441-10	9	Жена	wife (noun)	Weib	Uxor	Femme	1199	WIFE
Pallas-1786-441-11	10	Дѣва	girl (noun)	Maedchen	Puella	Fille	1646	GIRL
Pallas-1786-441-12	11	Мальчикъ	boy (noun)	Knabe	Puer	Garҫon	1366	BOY
Pallas-1786-441-13	12	Дитя	child (descendant, noun)	Kind	Infans	Enfant	2099	CHILD
Pallas-1786-441-14	13	Человѣкъ	person (noun)	Menßch	Homo	Homme	683	PERSON
Pallas-1786-441-15	14	Люди	people (noun)	Leute	?	Gens	789	PEOPLE
Pallas-1786-441-16	15	Глава	head (noun)	Kopf	Caput	Tête	1256	HEAD
Pallas-1786-441-17	16	Лицо	face (noun)	Antlitz	Facies	Vißage (Face)	1560	FACE
Pallas-1786-441-18	17	Носъ	nose (noun)	Naße	Naßus	Nez	1221	NOSE
Pallas-1786-441-19	18	Ноздри	nostrils (noun)	Naslöcher	Nares	Narines	1178	NOSTRIL
Pallas-1786-441-20	19	Око	eye (noun)	Auge	Oculus	Oeuil	1248	EYE
Pallas-1786-441-21	20	Брови	eyebrow (noun)	Augbraunen	Supercilia	Sourcils	1173	EYEBROW
Pallas-1786-441-22	21	Ресницы	eyelash (noun)	Augwimmern	Cilia	Cils	1540	EYELASH
Pallas-1786-441-23	22	Ухо	ear (noun)	Ohr	Auris	Oreille	1247	EAR
Pallas-1786-441-24	23	Лобъ	front, forehead (noun)	Stirn	Frons	Front	123	FOREHEAD
Pallas-1786-441-25	24	Волосъ	hair (noun)	Haar	Capillus	Cheveux	1040	HAIR
Pallas-1786-441-26	25	Щоки	cheeks (noun)	Wangen	Genæ	Joues	1730	CHEEK
Pallas-1786-441-27	26	Ротъ	mouth (noun)	Mund	Os	Bouche	674	MOUTH
Pallas-1786-441-28	27	Горло	throat (noun)	Kehle	Guttur	Goßier	1346	THROAT
Pallas-1786-441-29	28	Губы	lips (noun)	Lippen	Labra	Lévres	478	LIP
Pallas-1786-441-30	29	Зубы	teeth, tooth (noun)	Zaehne	Dentes	Dents	1380	TOOTH
Pallas-1786-441-31	30	Языкъ	tongue (noun)	Zunge	Lingua	Langue	1205	TONGUE
Pallas-1786-441-32	31	Брада	beard (noun)	Bart	Barba	Barbe	678	BEARD
Pallas-1786-441-33	32	Шея	neck (noun)	Hals	Collum	Col	1333	NECK
Pallas-1786-441-34	33	Плечо	shoulder (noun)	Schulter	Axilla	Epaule	1482	SHOULDER
Pallas-1786-441-35	34	Локоть	elbow (noun)	Ellbogen	Ulna	Coude	981	ELBOW
Pallas-1786-441-36	35	Рука	hand, arm (noun)	Arm, Hand	Brachium, Manus	Bras, Main	2121	ARM OR HAND
Pallas-1786-441-37	36	Палцы	finger (noun)	Finger, Zaehen	Digiti	Doigts	1303	FINGER
Pallas-1786-441-38	37	Ногти	nail (noun)	Naegel	Ungues	Ongles	502	NAIL (TOOL)
Pallas-1786-441-39	38	Грудь	chest (noun)	Brußt	Pectus	Poitrine	1592	CHEST
Pallas-1786-441-40	39	Брюхо	belly (noun)	Bauch	Venter	Ventre	1251	BELLY
Pallas-1786-441-41	40	Спина	back, spine (noun)	Rükken	Dorßum	Dos	1291	BACK
Pallas-1786-441-42	41	Нога	foot (noun)	Fus	Pes	Pied	1301	FOOT
Pallas-1786-441-43	42	Колено	knee (noun)	Knie	Genu	Genou	1371	KNEE
Pallas-1786-441-44	43	Сердце	heart (noun)	Hertz	Cor	Coeur	1223	HEART
Pallas-1786-441-45	44	Желудокъ	stomach (noun)	Magen	Stomachus	Eßtomac	819	STOMACH
Pallas-1786-441-46	45	Кровь	blood (noun)	Blut	Sanguis	Sang	946	BLOOD
Pallas-1786-441-47	46	Молоко	milk (noun)	Milch	Lac	Lait	635	MILK
Pallas-1786-441-48	47	Кожа	skin (noun)	Haut	Pellis	Peau	763	SKIN
Pallas-1786-441-49	48	Мясо	meat (noun)	Fleißch	Caro	Chair	634	MEAT
Pallas-1786-441-50	49	Кость	bone (noun)	Knochen	Os	Os	1394	BONE
Pallas-1786-441-51	50	Слухъ	hearing (noun)	Gehör	Auditus	Ouïe	2518	HEARING (AURAL SENSE)
