ID	NUMBER	LATIN	RUSSIAN	PALLAS_1786_441	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS
Pallas-1789-285-1	1	deus	Богъ	1	god (noun)	1944	GOD
Pallas-1789-285-2	2	coelum	Небо	181	sky (noun)	1732	SKY
Pallas-1789-285-3	3	pater	Отецъ	2	father (noun)	1217	FATHER
Pallas-1789-285-4	4	mater	Мать	3	mother (noun)	1216	MOTHER
Pallas-1789-285-5	5	filius	Сынъ	4	son (noun)	1620	SON
Pallas-1789-285-6	6	filia	Дочь	5	daughter (noun)	1357	DAUGHTER
Pallas-1789-285-7	7	frater	Братъ	6	brother (noun)	1262	BROTHER
Pallas-1789-285-8	8	soror	Сестра	7	sister (noun)	1263	SISTER
Pallas-1789-285-9	9	vir	Мужъ	8	husband (noun)	1200	HUSBAND
Pallas-1789-285-10	10	uxor	Жена	9	wife (noun)	1199	WIFE
Pallas-1789-285-11	11	virgo	Дѣва	10	girl (noun)	1646	GIRL
Pallas-1789-285-12	12	puer	Мальчикъ	11	boy (noun)	1366	BOY
Pallas-1789-285-13	13	infans	Дитя	12	child (descendant, noun)	2099	CHILD
Pallas-1789-285-14	14	homo	Человѣкъ	13	person (noun)	683	PERSON
Pallas-1789-285-15	15	homines	Люди	14	people (noun)	789	PEOPLE
Pallas-1789-285-16	16	caput	Голова	15	head (noun)	1256	HEAD
Pallas-1789-285-17	17	facies	Лицо	16	face (noun)	1560	FACE
Pallas-1789-285-18	18	nasus	Носъ	17	nose (noun)	1221	NOSE
Pallas-1789-285-19	19	nares	Ноздри	18	nostrils (noun)	1178	NOSTRIL
Pallas-1789-285-20	20	oculus	Глазъ	19	eye (noun)	1248	EYE
Pallas-1789-285-21	21	supercilia	Брови	20	eyebrow (noun)	1173	EYEBROW
Pallas-1789-285-22	22	cilia	Ресницы	21	eyelash (noun)	1540	EYELASH
Pallas-1789-285-23	23	auris	Ухо	22	ear (noun)	1247	EAR
Pallas-1789-285-24	24	frons	Лобъ	23	front, forehead (noun)	123	FOREHEAD
Pallas-1789-285-25	25	crinis	Волосъ	24	hair (noun)	1040	HAIR
Pallas-1789-285-26	26	genae	Щеки	25	cheeks (noun)	1730	CHEEK
Pallas-1789-285-27	27	os	Ротъ	26	mouth (noun)	674	MOUTH
Pallas-1789-285-28	28	guttur	Горло	27	throat (noun)	1346	THROAT
Pallas-1789-285-29	29	dens	Зубъ	29	tooth (noun)	1380	TOOTH
Pallas-1789-285-30	30	lingua	Языкъ	30	tongue (noun)	1205	TONGUE
Pallas-1789-285-31	31	barba	Борода	31	beard (noun)	678	BEARD
Pallas-1789-285-32	32	collum	Шея	32	neck (noun)	1333	NECK
Pallas-1789-285-33	33	humerus	Плечо	33	shoulder (noun)	1482	SHOULDER
Pallas-1789-285-34	34	cubitus	Локоть	34	ellbow (noun)	981	ELBOW
Pallas-1789-285-35	35	manus	Рука	*35	hand (noun)	1277	HAND
Pallas-1789-285-36	36	digiti	Пальцы	36	finger (noun)	1303	FINGER
Pallas-1789-285-37	37	ungues	Ногти	37	nail (noun)	1896	FINGERNAIL OR TOENAIL
Pallas-1789-285-38	38	venter	Брюхо	39	belly (noun)	1251	BELLY
Pallas-1789-285-39	39	dorsum	Спина	40	back, spine (noun)	1291	BACK
Pallas-1789-285-40	40	pes	Нога	41	foot (noun)	1301	FOOT
Pallas-1789-285-41	41	genu	Колѣно	42	knee (noun)	1371	KNEE
Pallas-1789-285-42	42	cutis	Кожа	47	skin (noun)	763	SKIN
Pallas-1789-285-43	43	caro	Мясо	48	meat (noun)	634	MEAT
Pallas-1789-285-44	44	os	Кость	49	bone (noun)	1394	BONE
Pallas-1789-285-45	45	sanguis	Кровь	45	blood (noun)	946	BLOOD
Pallas-1789-285-46	46	cor	Сердце	43	heart (noun)	1223	HEART
Pallas-1789-285-47	47	lac	Молоко	46	milk (noun)	635	MILK
Pallas-1789-285-48	48	auditus	Слухъ	50	hearing (noun)	2518	HEARING (AURAL SENSE)
Pallas-1789-285-49	49	visus	Зрѣнïе	51	sight, seeing (noun)	2519	SEEING (VISUAL SENSE)
Pallas-1789-285-50	50	gustus	Вкусъ	53	taste (noun)	2190	TASTE
Pallas-1789-285-51	51	odoratus	Обонянïе	54	smell, olfaction (noun)	2520	SMELLING (OLFACTORY SENSE)
Pallas-1789-285-52	52	tactus	Осязанïе	56	feeling, sense (noun)	2521	FEELING (HAPTIC SENSE)
Pallas-1789-285-53	53	vox	Голосъ	57	voice (noun)	1363	VOICE
Pallas-1789-285-54	54	nomen	Имя	61	name (noun)	1405	NAME
Pallas-1789-285-55	55	clamor	Крикъ	63	shout, cry (noun)	2522	SCREAM (NOISE)
Pallas-1789-285-56	56	strepitus	Шумъ	64	noise (noun)	1182	NOISE
Pallas-1789-285-57	57	ululatus	Вопль	65	howl (noun)	2523	HOWLING
Pallas-1789-285-58	58	verbum	Слово	60	word (noun)	1599	WORD
Pallas-1789-285-59	59	somnus	Сонъ	81	sleep (noun)	2972	SLEEP (STATE)
Pallas-1789-285-60	60	amor	Любовь	87	love (noun)	923	LOVE
Pallas-1789-285-61	61	dolor	Боль	91	pain (noun)	1783	PAIN
Pallas-1789-285-62	62	labor	Трудъ	92	labor, work (noun)	984	WORK (LABOUR)
Pallas-1789-285-63	63	opera	Работа	93	labor, work (noun)	984	WORK (LABOUR)
Pallas-1789-285-64	64	vis	Сила	125	strength (noun)	202	STRENGTH
Pallas-1789-285-65	65	potentia	Мочь	126	ability (noun)	2527	ABILITY
Pallas-1789-285-66	66	potestas	Власть	127	power (noun)	2526	POWER
Pallas-1789-285-67	67	matrimonium	Бракъ	130	marriage (noun)	2432	MARRIAGE
Pallas-1789-285-68	68	vita	Жизнь	134	life (noun)	210	LIFE
Pallas-1789-285-69	69	statura	Ростъ	136	height, size (noun)	2528	SIZE (OF PERSON)
Pallas-1789-285-70	70	spiritus	Духъ	137	spirit (noun)	53	SPIRIT
Pallas-1789-285-71	71	mors	Смерть	140	death (noun)	910	DEATH
Pallas-1789-285-72	72	frigus	Стужа	198	cold (noun)	1287	COLD
Pallas-1789-285-73	73	orbis	Кругъ	160	circle (noun)	1467	CIRCLE
Pallas-1789-285-74	74	globus	Шаръ	161	ball (noun)	1845	BALL
Pallas-1789-285-75	75	sol	Солнце	178	sun (noun)	1343	SUN
Pallas-1789-285-76	76	luna	Мѣсяцъ	179	moon (noun)	1313	MOON
Pallas-1789-285-77	77	stella	Звѣзда	180	star (noun)	1430	STAR
Pallas-1789-285-78	78	radius	Лучь	185	beam (noun)	1132	BEAM
Pallas-1789-285-79	79	ventus	Вѣтръ	187	wind (noun)	960	WIND
Pallas-1789-285-80	80	turbo	Вихрь	189	twister, tornado (noun)	2532	TORNADO
Pallas-1789-285-81	81	procella	Буря	190	storm (noun)	858	STORM
Pallas-1789-285-82	82	pluvia	Дождь	192	rain (noun)	658	RAIN (PRECIPITATION)
Pallas-1789-285-83	83	grando	Градъ	194	hail (noun)	609	HAIL
Pallas-1789-285-84	84	fulgur	Молнïя	196	flash (noun)	1654	LIGHTNING
Pallas-1789-285-85	85	nix	Снегъ	197	snow (noun)	784	SNOW
Pallas-1789-285-86	86	glacïes	Ледъ	200	ice (noun)	617	ICE
Pallas-1789-285-87	87	dies	День	205	day (noun)	1225	DAY (NOT NIGHT)
Pallas-1789-285-88	88	nox	Ночь	206	night (noun)	1233	NIGHT
Pallas-1789-285-89	89	mane	Утро	207	morning (noun)	1339	MORNING
Pallas-1789-285-90	90	vesper	Вечеръ	208	evening (noun)	1629	EVENING
Pallas-1789-285-91	91	aestas	Лѣто	213	summer (noun)	1342	SUMMER
Pallas-1789-285-92	92	ver	Весна	216	spring (noun)	1537	SPRINGTIME
Pallas-1789-285-93	93	autumnus	Осень	215	autumn (noun)	1276	AUTUMN
Pallas-1789-285-94	94	hiems	Зима	214	winter (noun)	1471	WINTER
Pallas-1789-285-95	95	annus	Годъ	219	year (noun)	1226	YEAR
Pallas-1789-285-96	96	tempus	Время	220	time (noun)	892	TIME
Pallas-1789-285-97	97	terra	Земля	222	earth, soil (noun)	1228	EARTH (SOIL)
Pallas-1789-285-98	98	aqua	Вода	223	water (noun)	948	WATER
Pallas-1789-285-99	99	mare	Море	224	ocean (noun)	1474	SEA
Pallas-1789-285-100	100	fluvius	Рѣка	225	river (noun)	666	RIVER
Pallas-1789-285-101	101	unda	Волна	227	wave (noun)	978	WAVE
Pallas-1789-285-102	102	arena	Песокъ	229	sand (noun)	671	SAND
Pallas-1789-285-103	103	argilla	Глина	230	clay (noun)	1399	CLAY
Pallas-1789-285-104	104	pulvis	Пыль	231	dust (noun)	2	DUST
Pallas-1789-285-105	105	lutum	Грязь	232	dirt, mud (noun)	25	DIRT
Pallas-1789-285-106	106	mons	Гора	233	mountain (noun)	639	MOUNTAIN
Pallas-1789-285-107	107	ripa	Берегъ	234	riverside (noun)	3463	RIVERBANK
Pallas-1789-285-108	108	collis	Холмъ	235	hill (noun)	614	HILL
Pallas-1789-285-109	109	valis	Долина	236	valley (noun)	921	VALLEY
Pallas-1789-285-110	110	aer	Воздухъ	186	air (noun)	27	AIR
Pallas-1789-285-111	111	vapor	Паръ	191	vapor (noun)	1193	STEAM
Pallas-1789-285-112	112	ignis	Огонь	201	fire (noun)	221	FIRE
Pallas-1789-285-113	113	aestus	Жаръ		heat (noun)	612	HEAT
Pallas-1789-285-114	114	profunditas	Глубина	237	depth (noun)	2534	DEPTH
