ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Payne-1991-202-1	1	ACHIOTE	349	ACHIOTE
Payne-1991-202-2	2	AGOUTI	313	AGOUTI
Payne-1991-202-3	3	ANIMAL	619	ANIMAL
Payne-1991-202-4	4	ANT	587	ANT
Payne-1991-202-5	5	ANT2	587	ANT
Payne-1991-202-6	6	ANT3	587	ANT
Payne-1991-202-7	7	ARM	1673	ARM
Payne-1991-202-8	8	ARM2	1673	ARM
Payne-1991-202-9	9	ARMADILLO	1885	ARMADILLO
Payne-1991-202-10	10	ARMADILLO2	1885	ARMADILLO
Payne-1991-202-11	11	ARRIVE	1387	ARRIVE
Payne-1991-202-12	12	ARROW, (BOW)	977	ARROW
Payne-1991-202-13	13	ARROW2, (SPEAR)	977	ARROW
Payne-1991-202-14	14	ASH	646	ASH
Payne-1991-202-15	15	BACK	1291	BACK
Payne-1991-202-16	16	BAD	1292	BAD
Payne-1991-202-17	17	BAT	1793	BAT
Payne-1991-202-18	18	BATHE	138	BATHE
Payne-1991-202-19	19	BEE	665	BEE
Payne-1991-202-20	20	BIG	1202	BIG
Payne-1991-202-21	21	BIRD	937	BIRD
Payne-1991-202-22	22	BITTER	887	BITTER
Payne-1991-202-23	23	BLACK	163	BLACK
Payne-1991-202-24	24	BLOOD	946	BLOOD
Payne-1991-202-25	25	BONE	1394	BONE
Payne-1991-202-26	26	BOW	994	BOW
Payne-1991-202-27	27	BREAST	1402	BREAST
Payne-1991-202-28	28	BRING	692	BRING
Payne-1991-202-29	29	BROTHER	1262	BROTHER
Payne-1991-202-30	30	BROTHER-IN-LAW (OF MALE)	2314	BROTHER-IN-LAW
Payne-1991-202-31	31	BUZZARD	1865	BUZZARD
Payne-1991-202-32	32	CASSAVA, MANIOC	925	CASSAVA
Payne-1991-202-33	33	CAYMAN	1581	ALLIGATOR
Payne-1991-202-34	34	CHARCOAL	1188	CHARCOAL
Payne-1991-202-35	35	CHEST	1592	CHEST
Payne-1991-202-36	36	CHIGOE FLEA	232	FLEA
Payne-1991-202-37	37	CLAW	72	CLAW
Payne-1991-202-38	38	CLAW2	72	CLAW
Payne-1991-202-39	39	COATI, COATIMUNDI	2389	COATI (COATIMUNDI)
Payne-1991-202-40	40	COLD	1287	COLD
Payne-1991-202-41	41	COLD2	1287	COLD
Payne-1991-202-42	42	COME	1446	COME
Payne-1991-202-43	43	CORN, MAIZE	506	MAIZE
Payne-1991-202-44	44	CRY	1839	CRY
Payne-1991-202-45	45	CURE, REMEDY	499	CURE
Payne-1991-202-46	46	CUT	1432	CUT
Payne-1991-202-47	47	DIE, SICK	1494	DIE
Payne-1991-202-48	48	DIG	1418	DIG
Payne-1991-202-49	49	DREAM	1920	DREAM (SOMETHING)
Payne-1991-202-50	50	DRINK	1401	DRINK
Payne-1991-202-51	51	DRY	1398	DRY
Payne-1991-202-52	52	DUNG, (EXCREMENT)	2057	DUNG (ANIMAL FAECES)
Payne-1991-202-53	53	DUST, (ASH)	2	DUST
Payne-1991-202-54	54	EAR	1247	EAR
Payne-1991-202-55	55	EAR2	1247	EAR
Payne-1991-202-56	56	EARTH	1228	EARTH (SOIL)
Payne-1991-202-57	57	EAT	1336	EAT
Payne-1991-202-58	58	EYE	1248	EYE
Payne-1991-202-59	59	FAN	1971	FAN (OBJECT)
Payne-1991-202-60	60	FAR	1406	FAR
Payne-1991-202-61	61	FAT, GREASE	323	FAT (ORGANIC SUBSTANCE)
Payne-1991-202-62	62	FAT2, GREASE	323	FAT (ORGANIC SUBSTANCE)
Payne-1991-202-63	63	FATHER	1217	FATHER
Payne-1991-202-64	64	FEAR, (RESPECT)	1419	FEAR (BE AFRAID)
Payne-1991-202-65	65	FEAR2	1419	FEAR (BE AFRAID)
Payne-1991-202-66	66	FEATHER, FUR	2381	FEATHER OR FUR OR HAIR
Payne-1991-202-67	67	FIRE, (FIREWOOD)	221	FIRE
Payne-1991-202-68	68	FIREWOOD	10	FIREWOOD
Payne-1991-202-69	69	FIRST	728	FIRST
Payne-1991-202-70	70	FISH	227	FISH
Payne-1991-202-71	71	FISH2	227	FISH
Payne-1991-202-72	72	FLEA	232	FLEA
Payne-1991-202-73	73	FLESH, (MEAT)	2259	FLESH
Payne-1991-202-74	74	FLOWER	239	FLOWER
Payne-1991-202-75	75	FLY (v.)	1441	FLY (MOVE THROUGH AIR)
Payne-1991-202-76	76	FOOT	1301	FOOT
Payne-1991-202-77	77	FOREHEAD	123	FOREHEAD
Payne-1991-202-78	78	GIVE	1447	GIVE
Payne-1991-202-79	79	GIVE2	1447	GIVE
Payne-1991-202-80	80	GIVE3	1447	GIVE
Payne-1991-202-81	81	GOOD	1035	GOOD
Payne-1991-202-82	82	GRASS	606	GRASS
Payne-1991-202-83	83	GREEN, BLUE (UNRIPE)	2382	BLUE OR GREEN
Payne-1991-202-84	84	HAIR, (FUR)	1040	HAIR
Payne-1991-202-85	85	HAIR2, (FUR)	1040	HAIR
Payne-1991-202-86	86	HAND	1277	HAND
Payne-1991-202-87	87	HEAD	1256	HEAD
Payne-1991-202-88	88	HEAR	1408	HEAR
Payne-1991-202-89	89	HEART	1223	HEART
Payne-1991-202-90	90	HEAVY	1210	HEAVY
Payne-1991-202-91	91	HORN, (THORN)	1393	HORN (ANATOMY)
Payne-1991-202-92	92	HOUSE	1252	HOUSE
Payne-1991-202-93	93	HOUSE2	1252	HOUSE
Payne-1991-202-94	94	HOUSE3, (DWELL)	1252	HOUSE
Payne-1991-202-95	95	HUMMINGBIRD	1589	HUMMINGBIRD
Payne-1991-202-96	96	HUSBAND, (SPOUSE, WITH)	1200	HUSBAND
Payne-1991-202-97	97	JAGUAR, (DOG)	1250	JAGUAR
Payne-1991-202-98	98	JAGUAR2	1250	JAGUAR
Payne-1991-202-99	99	KNEE	1371	KNEE
Payne-1991-202-100	100	KNOW	2248	KNOW (SOMEBODY)
Payne-1991-202-101	101	LAKE, (SWAMP)	624	LAKE
Payne-1991-202-102	102	LAKE2	624	LAKE
Payne-1991-202-103	103	LEAF, (PLANT (v.), FIELD)	628	LEAF
Payne-1991-202-104	104	LEG, (SHIN)	1297	LEG
Payne-1991-202-105	105	LIP	478	LIP
Payne-1991-202-106	106	LIVER	1224	LIVER
Payne-1991-202-107	107	LIZARD	632	LIZARD
Payne-1991-202-108	108	LONG	1203	LONG
Payne-1991-202-109	109	LONG2	1203	LONG
