ID	NUMBER	ENGLISH	FRENCH	GERMAN	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
Perrin-2010-110-1	1	ACID	acide	sauer	1906	SOUR	
Perrin-2010-110-2	2	BAD	mauvais	schlecht	1292	BAD	
Perrin-2010-110-3	3	BEAUTIFUL	beau	schön	1427	BEAUTIFUL	
Perrin-2010-110-4	4	BENT	courbé	krumm	297	CROOKED	
Perrin-2010-110-5	5	BIG	gros	groß	1202	BIG	
Perrin-2010-110-6	6	BITTER	amer	bitter	887	BITTER	
Perrin-2010-110-7	7	BLUNT	émoussé	stumpf	379	BLUNT	
Perrin-2010-110-8	8	BOILED	cuit	gekocht	269	COOKED	
Perrin-2010-110-9	9	BRAVE	courageux	mutig	3	BRAVE	
Perrin-2010-110-10	10	CALM	calme	ruhig	258	CALM	
Perrin-2010-110-11	11	CHEAP	bon-marché	billig	1887	CHEAP	
Perrin-2010-110-12	12	light	CLAIR. 	hell	679	BRIGHT	
Perrin-2010-110-13	13	CLEAN	propre	sauber	704	CLEAN	
Perrin-2010-110-14	14	CLEVER	malin	schlau	1310	CLEVER	
Perrin-2010-110-15	15	COLD	froid	kalt	1287	COLD	
Perrin-2010-110-16	16	CONSTANT	constant	beständig			
Perrin-2010-110-17	17	COOL	frais	frisch	2483	COLD (OF WEATHER)	
Perrin-2010-110-18	18	COWARDLY	lâche	feige			
Perrin-2010-110-19	19	DEEP	profond	tief	1593	DEEP	
Perrin-2010-110-20	20	DIFFICULT	difficile	schwierig	584	DIFFICULT	
Perrin-2010-110-21	21	DELICIOUS	délicieux	schmackhaft	1813	TASTY	
Perrin-2010-110-22	22	DENSE	dense	dicht	2239	DENSE	
Perrin-2010-110-23	23	thick	épais	DICK	1244	THICK	
Perrin-2010-110-24	24	thick	épais (non-liquide)	DICKFLÜSSIG	2239	DENSE	
Perrin-2010-110-25	25	DIRTY	sale	schmutzig	1230	DIRTY	
Perrin-2010-110-26	26	soft	DOUX	sanft	1856	SOFT	
