ID	NUMBER	SPANISH	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
PharaoHansen-2020-100-1	1	No	Not, no	1240	NOT
PharaoHansen-2020-100-2	2	Muchos	Many	1198	MANY
PharaoHansen-2020-100-3	3	Uno	One	1493	ONE
PharaoHansen-2020-100-4	4	Dos	Two	1498	TWO
PharaoHansen-2020-100-5	5	Grande	Big	1202	BIG
PharaoHansen-2020-100-6	6	Viejo	Old	1229	OLD
PharaoHansen-2020-100-7	7	Pequeño	Small	1246	SMALL
PharaoHansen-2020-100-8	8	largo	Long	1203	LONG
PharaoHansen-2020-100-9	9	Nuevo	New	1231	NEW
PharaoHansen-2020-100-10	10	Bueno	Good	1035	GOOD
PharaoHansen-2020-100-11	11	Pesado	Heavy	1210	HEAVY
PharaoHansen-2020-100-12	12	Seco	Dry	1398	DRY
PharaoHansen-2020-100-13	13	Frio (hace frio)	Cold (it’s cold)	2483	COLD (OF WEATHER)
PharaoHansen-2020-100-14	14	Caliente	Hot	1286	HOT
PharaoHansen-2020-100-15	15	Mujer	Woman	962	WOMAN
PharaoHansen-2020-100-16	16	Hombre	Man	1554	MAN
PharaoHansen-2020-100-17	17	Persona	Person	683	PERSON
PharaoHansen-2020-100-18	18	Pez	Fish	227	FISH
PharaoHansen-2020-100-19	19	Pájaro	Bird	937	BIRD
PharaoHansen-2020-100-20	20	Perro	Dog	2009	DOG
PharaoHansen-2020-100-21	21	Piojo	Louse	1392	LOUSE
PharaoHansen-2020-100-22	22	Vibora	Snake	730	SNAKE
PharaoHansen-2020-100-23	23	Arbol	Tree	906	TREE
PharaoHansen-2020-100-24	24	Corteza	Bark	1204	BARK
PharaoHansen-2020-100-25	25	Hoja	Leef	628	LEAF
PharaoHansen-2020-100-26	26	Raíz	Root	670	ROOT
PharaoHansen-2020-100-27	27	Semilla	Seed	714	SEED
PharaoHansen-2020-100-28	28	Sangre	Blood	946	BLOOD
PharaoHansen-2020-100-29	29	Carne	Meat	634	MEAT
PharaoHansen-2020-100-30	30	Piel	Skin	763	SKIN
PharaoHansen-2020-100-31	31	Hueso	Bone	1394	BONE
PharaoHansen-2020-100-32	32	Grasa	Grease	1282	FAT (FROM ANIMALS)
PharaoHansen-2020-100-33	33	Huevo	Egg	744	EGG
PharaoHansen-2020-100-34	34	Cuerno	Horn	1393	HORN (ANATOMY)
PharaoHansen-2020-100-35	35	Cola	Tail	1220	TAIL
PharaoHansen-2020-100-36	36	Pluma	Feather	1201	FEATHER
PharaoHansen-2020-100-37	37	Cabello	Hair	2648	HAIR (HEAD)
PharaoHansen-2020-100-38	38	Cabeza	Head	1256	HEAD
PharaoHansen-2020-100-39	39	Oreja	Ear	1247	EAR
PharaoHansen-2020-100-40	40	Ojo	Eye	1248	EYE
PharaoHansen-2020-100-41	41	Nariz	Nose	1221	NOSE
PharaoHansen-2020-100-42	42	Boca	Mouth	674	MOUTH
PharaoHansen-2020-100-43	43	Diente	Tooth	1380	TOOTH
PharaoHansen-2020-100-44	44	Lengua	Tongue	1205	TONGUE
PharaoHansen-2020-100-45	45	Uña	Fingernail, toenail	1896	FINGERNAIL OR TOENAIL
PharaoHansen-2020-100-46	46	Pie	Foot	1301	FOOT
PharaoHansen-2020-100-47	47	Rodilla	Knee	1371	KNEE
PharaoHansen-2020-100-48	48	Mano	Hand	1277	HAND
PharaoHansen-2020-100-49	49	Barriga	Belly	1251	BELLY
PharaoHansen-2020-100-50	50	Ombligo	Belly button	1838	NAVEL
PharaoHansen-2020-100-51	51	Cuello	Neck	1333	NECK
PharaoHansen-2020-100-52	52	Teta/pecho	Breasts	1402	BREAST
PharaoHansen-2020-100-53	53	Corazon	Heart	1223	HEART
PharaoHansen-2020-100-54	54	Higado	Liver	1224	LIVER
PharaoHansen-2020-100-55	55	Tomar	Drink	1401	DRINK
PharaoHansen-2020-100-56	56	Comer	Eat	1336	EAT
PharaoHansen-2020-100-57	57	Morder	Bite	1403	BITE
PharaoHansen-2020-100-58	58	Vomitar	Vomit	1278	VOMIT
PharaoHansen-2020-100-59	59	Ver	See	1409	SEE
PharaoHansen-2020-100-60	60	Oír	Hear	1408	HEAR
PharaoHansen-2020-100-61	61	Saber	Know	1410	KNOW (SOMETHING)
PharaoHansen-2020-100-62	62	Dormir	Sleep	1585	SLEEP
PharaoHansen-2020-100-63	63	Morir	Die	1494	DIE
PharaoHansen-2020-100-64	64	Matar	Kill	1417	KILL
PharaoHansen-2020-100-65	65	Volar	Fly (v)	1441	FLY (MOVE THROUGH AIR)
PharaoHansen-2020-100-66	66	Caminar	Walk (v)	1443	WALK
PharaoHansen-2020-100-67	67	venir	Come	1446	COME
PharaoHansen-2020-100-68	68	Acostado	Lie (v)	1411	LIE (REST)
PharaoHansen-2020-100-69	69	Sentado	Sit	1416	SIT
PharaoHansen-2020-100-70	70	Parado	Stand	1442	STAND
PharaoHansen-2020-100-71	71	Dar	Give	1447	GIVE
PharaoHansen-2020-100-72	72	Cantar	Sing	1261	SING
PharaoHansen-2020-100-73	73	Sol	Sun	1343	SUN
PharaoHansen-2020-100-74	74	Luna	Moon	1313	MOON
PharaoHansen-2020-100-75	75	Estrella	Star	1430	STAR
PharaoHansen-2020-100-76	76	Cielo	Sky	1732	SKY
PharaoHansen-2020-100-77	77	Agua	Water	948	WATER
PharaoHansen-2020-100-78	78	Viento	Wind	960	WIND
PharaoHansen-2020-100-79	79	Llúvia	Rain (n)	658	RAIN (PRECIPITATION)
PharaoHansen-2020-100-80	80	Nieve/hielo	Snow (n)	784	SNOW
PharaoHansen-2020-100-81	81	Piedra	Stone	857	STONE
PharaoHansen-2020-100-82	82	arena	Sand	671	SAND
PharaoHansen-2020-100-83	83	tierra	Earth	1228	EARTH (SOIL)
PharaoHansen-2020-100-84	84	sal	Salt	1274	SALT
PharaoHansen-2020-100-85	85	nube	Cloud	1489	CLOUD
PharaoHansen-2020-100-86	86	humo	Smoke (n)	778	SMOKE (EXHAUST)
PharaoHansen-2020-100-87	87	fuego	Fire	221	FIRE
PharaoHansen-2020-100-88	88	ceniza	Ash	646	ASH
PharaoHansen-2020-100-89	89	Arder/quemar	Burn	2102	BURN
PharaoHansen-2020-100-90	90	camino	Path	2252	PATH
PharaoHansen-2020-100-91	91	cerro	Mountain	639	MOUNTAIN
PharaoHansen-2020-100-92	92	rojo	Red	156	RED
PharaoHansen-2020-100-93	93	verde	Green	1425	GREEN
PharaoHansen-2020-100-94	94	Amarillo	Yellow	1424	YELLOW
PharaoHansen-2020-100-95	95	Blanco	White	1335	WHITE
PharaoHansen-2020-100-96	96	Negro	Black	163	BLACK
PharaoHansen-2020-100-97	97	Noche	Night	1233	NIGHT
PharaoHansen-2020-100-98	98	Nombre	Name	1405	NAME
PharaoHansen-2020-100-99	99	Año	Year	1226	YEAR
PharaoHansen-2020-100-100	100	Mecate/soga	Rope	1218	ROPE
