ID	NUMBER	ENGLISH	RANK	STABILITY_SCORE	CONCEPTICON_ID	CONCEPTICON_GLOSS
Pozdniakov-2014-100b-1	1	eye	1	0.83	1248	EYE
Pozdniakov-2014-100b-2	2	head	2	0.76	1256	HEAD
Pozdniakov-2014-100b-3	3	ear	3	0.71	1247	EAR
Pozdniakov-2014-100b-4	4	tongue	4	0.61	1205	TONGUE
Pozdniakov-2014-100b-5	5	tooth	5	0.56	1380	TOOTH
Pozdniakov-2014-100b-6	6	star	6	0.54	1430	STAR
Pozdniakov-2014-100b-7	7	hair	7	0.51	1040	HAIR
Pozdniakov-2014-100b-8	8	tree	8	0.51	906	TREE
Pozdniakov-2014-100b-9	9	white	9	0.49	1335	WHITE
Pozdniakov-2014-100b-10	10	fly	10	0.46	1441	FLY (MOVE THROUGH AIR)
Pozdniakov-2014-100b-11	11	knee	11	0.46	1371	KNEE
Pozdniakov-2014-100b-12	12	liver	12	0.44	1224	LIVER
Pozdniakov-2014-100b-13	13	one	13	0.44	1493	ONE
Pozdniakov-2014-100b-14	14	rain	14	0.44	2108	RAINING OR RAIN
Pozdniakov-2014-100b-15	15	sun	15	0.44	1343	SUN
Pozdniakov-2014-100b-16	16	little	16	0.41	1246	SMALL
Pozdniakov-2014-100b-17	17	water	17	0.41	948	WATER
Pozdniakov-2014-100b-18	18	foot	18	0.39	1301	FOOT
Pozdniakov-2014-100b-19	19	I	19	0.39	1209	I
Pozdniakov-2014-100b-20	20	you sg.	20	0.39	1215	THOU
Pozdniakov-2014-100b-21	21	die	21	0.37	1494	DIE
Pozdniakov-2014-100b-22	22	bark	22	0.34	1204	BARK
Pozdniakov-2014-100b-23	23	bird	23	0.34	937	BIRD
Pozdniakov-2014-100b-24	24	horn	24	0.34	1393	HORN (ANATOMY)
Pozdniakov-2014-100b-25	25	mouth	25	0.34	674	MOUTH
Pozdniakov-2014-100b-26	26	neck	26	0.34	1333	NECK
Pozdniakov-2014-100b-27	27	bite	27	0.32	1403	BITE
Pozdniakov-2014-100b-28	28	black	28	0.32	163	BLACK
Pozdniakov-2014-100b-29	29	breast	29	0.32	1402	BREAST
Pozdniakov-2014-100b-30	30	dry	30	0.32	1398	DRY
Pozdniakov-2014-100b-31	31	feather	31	0.32	1201	FEATHER
Pozdniakov-2014-100b-32	32	new	32	0.32	1231	NEW
Pozdniakov-2014-100b-33	33	person	33	0.32	683	PERSON
Pozdniakov-2014-100b-34	34	two	34	0.32	1498	TWO
Pozdniakov-2014-100b-35	35	eat	35	0.29	1336	EAT
Pozdniakov-2014-100b-36	36	egg	36	0.29	744	EGG
Pozdniakov-2014-100b-37	37	go	37	0.29	695	GO
Pozdniakov-2014-100b-38	38	swim	38	0.29	1439	SWIM
Pozdniakov-2014-100b-39	39	cold	39	0.27	1287	COLD
Pozdniakov-2014-100b-40	40	louse	40	0.27	1392	LOUSE
Pozdniakov-2014-100b-41	41	ground	41	0.27	1228	EARTH (SOIL)
Pozdniakov-2014-100b-42	42	man	42	0.27	1554	MAN
Pozdniakov-2014-100b-43	43	road	43	0.27	667	ROAD
Pozdniakov-2014-100b-44	44	root	44	0.27	670	ROOT
Pozdniakov-2014-100b-45	45	stone	45	0.27	857	STONE
Pozdniakov-2014-100b-46	46	walk	46	0.27	1443	WALK
Pozdniakov-2014-100b-47	47	what	47	0.27	1236	WHAT
Pozdniakov-2014-100b-48	48	you pl	48	0.27	1213	YOU
Pozdniakov-2014-100b-49	49	blood	49	0.24	946	BLOOD
Pozdniakov-2014-100b-50	50	good	50	0.24	1035	GOOD
Pozdniakov-2014-100b-51	51	leaf	51	0.24	628	LEAF
Pozdniakov-2014-100b-52	52	lie	52	0.24	1411	LIE (REST)
Pozdniakov-2014-100b-53	53	nose	53	0.24	1221	NOSE
Pozdniakov-2014-100b-54	54	see	54	0.24	1409	SEE
Pozdniakov-2014-100b-55	55	skin	55	0.24	763	SKIN
Pozdniakov-2014-100b-56	56	come	56	0.22	1446	COME
Pozdniakov-2014-100b-57	57	drink	57	0.22	1401	DRINK
Pozdniakov-2014-100b-58	58	fire	58	0.22	221	FIRE
Pozdniakov-2014-100b-59	59	sit	59	0.22	1416	SIT
Pozdniakov-2014-100b-60	60	who	60	0.22	1235	WHO
Pozdniakov-2014-100b-61	61	belly	61	0.20	1251	BELLY
Pozdniakov-2014-100b-62	62	bone	62	0.20	1394	BONE
Pozdniakov-2014-100b-63	63	dog	63	0.20	2009	DOG
Pozdniakov-2014-100b-64	64	give	64	0.20	1447	GIVE
Pozdniakov-2014-100b-65	65	hand	65	0.20	1277	HAND
Pozdniakov-2014-100b-66	66	hear	66	0.20	1408	HEAR
Pozdniakov-2014-100b-67	67	kill	67	0.20	1417	KILL
Pozdniakov-2014-100b-68	68	meat	68	0.20	634	MEAT
Pozdniakov-2014-100b-69	69	nail	69	0.20	1896	FINGERNAIL OR TOENAIL
Pozdniakov-2014-100b-70	70	night	70	0.20	1233	NIGHT
Pozdniakov-2014-100b-71	71	red	71	0.20	156	RED
Pozdniakov-2014-100b-72	72	sand	72	0.20	671	SAND
Pozdniakov-2014-100b-73	73	seed	73	0.20	714	SEED
