ID	NUMBER	ENGLISH	LEXIBANK_GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS
Ratcliffe-2020-100-1	1	ALL	ALL	98	ALL
Ratcliffe-2020-100-2	2	ASH	ASH	646	ASH
Ratcliffe-2020-100-3	3	BARK	BAR K	1204	BARK
Ratcliffe-2020-100-4	4	BELLY	BEL LY	1251	BELLY
Ratcliffe-2020-100-5	5	BIG	BIG	1202	BIG
Ratcliffe-2020-100-6	6	BIRD	BIR D	937	BIRD
Ratcliffe-2020-100-7	7	BITE	BITE	1403	BITE
Ratcliffe-2020-100-8	8	BLACK	BLA CK	163	BLACK
Ratcliffe-2020-100-9	9	BLOOD	BLO OD	946	BLOOD
Ratcliffe-2020-100-10	10	BONE	BO NE	1394	BONE
Ratcliffe-2020-100-11	11	BREAST	BRE AST	1402	BREAST
Ratcliffe-2020-100-12	12	BURN (VT	BUR N(V  T	141	BURN (SOMETHING)
Ratcliffe-2020-100-13	13	CLAW	CLA W	72	CLAW
Ratcliffe-2020-100-14	14	CLOUD	CLO UD	1489	CLOUD
Ratcliffe-2020-100-15	15	COLD	COL D	1287	COLD
Ratcliffe-2020-100-16	16	COME	CO ME	1446	COME
Ratcliffe-2020-100-17	17	DIE	DIE	1494	DIE
Ratcliffe-2020-100-18	18	DOG	DO G	2009	DOG
Ratcliffe-2020-100-19	19	DRINK	DRI NK	1401	DRINK
Ratcliffe-2020-100-20	20	DRY	DRY	1398	DRY
Ratcliffe-2020-100-21	21	EAR	EAR	1247	EAR
Ratcliffe-2020-100-22	22	EARTH, DIRT	EAR TH, DIR  T	1228	EARTH (SOIL)
Ratcliffe-2020-100-23	23	EAT	EAT	1336	EAT
Ratcliffe-2020-100-24	24	EGG	EGG	744	EGG
Ratcliffe-2020-100-25	25	EYE	EYE	1248	EYE
Ratcliffe-2020-100-26	26	FAT,N.	FAT  ,N.	323	FAT (ORGANIC SUBSTANCE)
Ratcliffe-2020-100-27	27	FEATHER	FEA THE R	1201	FEATHER
Ratcliffe-2020-100-28	28	FIRE	FIRE	221	FIRE
Ratcliffe-2020-100-29	29	FISH	FIS H	227	FISH
Ratcliffe-2020-100-30	30	FLY	FLY	1441	FLY (MOVE THROUGH AIR)
Ratcliffe-2020-100-31	31	FOOT	FO OT	1301	FOOT
Ratcliffe-2020-100-32	32	FULL	FUL L	1429	FULL
Ratcliffe-2020-100-33	33	GIVE	GIV E	1447	GIVE
Ratcliffe-2020-100-34	34	GOOD adj	GO OD  adj	1035	GOOD
Ratcliffe-2020-100-35	35	GREEN	GRE EN	1425	GREEN
Ratcliffe-2020-100-36	36	HAIR	HAI R	1040	HAIR
Ratcliffe-2020-100-37	37	HAND	HAND	1277	HAND
Ratcliffe-2020-100-38	38	HEAD	HEA D	1256	HEAD
