ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Reinhard-1970-337-1	1	mushroom	641	MUSHROOM
Reinhard-1970-337-2	2	between	689	BETWEEN
Reinhard-1970-337-3	3	dog	2009	DOG
Reinhard-1970-337-4	4	rice	926	RICE
Reinhard-1970-337-5	5	up	1591	UP
Reinhard-1970-337-6	6	carry (1st)	700	CARRY
Reinhard-1970-337-7	7	like this	1558	SIMILAR
Reinhard-1970-337-8	8	alive	1422	BE ALIVE
Reinhard-1970-337-9	9	vine	343	VINE
Reinhard-1970-337-10	10	from	693	FROM
Reinhard-1970-337-11	11	breast	1402	BREAST
Reinhard-1970-337-12	12	net bag	293	NETBAG
Reinhard-1970-337-13	13	rub (1st)	1449	RUB
Reinhard-1970-337-14	14	when	1238	WHEN
Reinhard-1970-337-15	15	rope	1218	ROPE
Reinhard-1970-337-16	16	say (1st)	1458	SAY
Reinhard-1970-337-17	17	hole/node	1667	HOLE
Reinhard-1970-337-18	18	do (1st)	813	DO
Reinhard-1970-337-19	19	wing	1257	WING
Reinhard-1970-337-20	20	a kind of bamboo		
Reinhard-1970-337-21	21	vomit (1st)	1278	VOMIT
Reinhard-1970-337-22	22	jump (1st)	1829	JUMP
Reinhard-1970-337-23	23	beg (1st)	3534	BEG
Reinhard-1970-337-24	24	red	156	RED
Reinhard-1970-337-25	25	bread	1368	BREAD
Reinhard-1970-337-26	26	older sister	1758	OLDER SISTER
Reinhard-1970-337-27	27	sit (1st)	1416	SIT
Reinhard-1970-337-28	28	hot	1286	HOT
Reinhard-1970-337-29	29	fat	1282	FAT (FROM ANIMALS)
Reinhard-1970-337-30	30	sorry	1875	REGRET
Reinhard-1970-337-31	31	outside	762	OUTSIDE
Reinhard-1970-337-32	32	leopard	1139	LEOPARD
Reinhard-1970-337-33	33	straight	1404	STRAIGHT
Reinhard-1970-337-34	34	go (1st)	695	GO
Reinhard-1970-337-35	35	see (1st)	1409	SEE
Reinhard-1970-337-36	36	kick (1st)	1135	KICK
Reinhard-1970-337-37	37	stalk (1st)		
Reinhard-1970-337-38	38	friend	1325	FRIEND
Reinhard-1970-337-39	39	I	1209	I
Reinhard-1970-337-40	40	sleep (1st)	1585	SLEEP
Reinhard-1970-337-41	41	squeeze (1st)	1414	SQUEEZE
Reinhard-1970-337-42	42	hold (1st)	1448	HOLD
Reinhard-1970-337-43	43	bring (1st)	692	BRING
Reinhard-1970-337-44	44	hold fast (1st)		
Reinhard-1970-337-45	45	tie (1st)	1917	TIE
Reinhard-1970-337-46	46	know (1st)	1410	KNOW (SOMETHING)
Reinhard-1970-337-47	47	at	1461	AT
Reinhard-1970-337-48	48	suck (1st)	1421	SUCK
Reinhard-1970-337-49	49	drink (1st)	1401	DRINK
Reinhard-1970-337-50	50	round	1395	ROUND
Reinhard-1970-337-51	51	big	1202	BIG
Reinhard-1970-337-52	52	get (1st)	694	GET
Reinhard-1970-337-53	53	tuber (large) (Dioscorea daemonia)		
Reinhard-1970-337-54	54	to, in	1460	IN
Reinhard-1970-337-55	55	three	492	THREE
Reinhard-1970-337-56	56	chicken	1318	CHICKEN
Reinhard-1970-337-57	57	large river	666	RIVER
Reinhard-1970-337-58	58	smoke	778	SMOKE (EXHAUST)
Reinhard-1970-337-59	59	hill	614	HILL
Reinhard-1970-337-60	60	rakshi		
Reinhard-1970-337-61	61	stand (1st)	1442	STAND
Reinhard-1970-337-62	62	drum (two ended type)	908	DRUM
Reinhard-1970-337-63	63	salah tree		
Reinhard-1970-337-64	64	son	1620	SON
Reinhard-1970-337-65	65	cloud	1489	CLOUD
Reinhard-1970-337-66	66	dust	2	DUST
Reinhard-1970-337-67	67	push (1st)	1452	PUSH
Reinhard-1970-337-68	68	husband	1200	HUSBAND
Reinhard-1970-337-69	69	one week	1469	WEEK
Reinhard-1970-337-70	70	sing (1st)	1261	SING
Reinhard-1970-337-71	71	fog	249	FOG
Reinhard-1970-337-72	72	grease	323	FAT (ORGANIC SUBSTANCE)
Reinhard-1970-337-73	73	grass	606	GRASS
Reinhard-1970-337-74	74	in	1460	IN
Reinhard-1970-337-75	75	heart	1223	HEART
Reinhard-1970-337-76	76	sand	671	SAND
Reinhard-1970-337-77	77	game of stones		
Reinhard-1970-337-78	78	sharp	1396	SHARP
Reinhard-1970-337-79	79	forest chicken		
Reinhard-1970-337-80	80	play (1st)	1413	PLAY
Reinhard-1970-337-81	81	move (1st)	2874	MOVE (ONESELF)
Reinhard-1970-337-82	82	wife's father		
Reinhard-1970-337-83	83	flower	239	FLOWER
Reinhard-1970-337-84	84	inside	1606	INSIDE
Reinhard-1970-337-85	85	language	1307	LANGUAGE
Reinhard-1970-337-86	86	meat	634	MEAT
Reinhard-1970-337-87	87	breathe (1st)	1407	BREATHE
Reinhard-1970-337-88	88	male sexorgan		
Reinhard-1970-337-89	89	he/ person	1211	HE
Reinhard-1970-337-90	90	wood 	2141	TREE OR WOOD
Reinhard-1970-337-91	91	female sex organ	1836	VAGINA
Reinhard-1970-337-92	92	wife's mother	2257	MOTHER-IN-LAW (OF MAN)
Reinhard-1970-337-93	93	a kind of tree		
Reinhard-1970-337-94	94	thick	1244	THICK
Reinhard-1970-337-95	95	One-sided drum	908	DRUM
