ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Ringe-1992-100-1	1	I	1209	I
Ringe-1992-100-2	2	you (sg.)	1215	THOU
Ringe-1992-100-3	3	we	1212	WE
Ringe-1992-100-4	4	this (nt.)	1214	THIS
Ringe-1992-100-5	5	that (nt.)	78	THAT
Ringe-1992-100-6	6	who	1235	WHO
Ringe-1992-100-7	7	what	1236	WHAT
Ringe-1992-100-8	8	not	1240	NOT
Ringe-1992-100-9	9	all (pl.)	98	ALL
Ringe-1992-100-10	10	many	1198	MANY
Ringe-1992-100-11	11	one	1493	ONE
Ringe-1992-100-12	12	two	1498	TWO
Ringe-1992-100-13	13	big	1202	BIG
Ringe-1992-100-14	14	long	1203	LONG
Ringe-1992-100-15	15	small	1246	SMALL
Ringe-1992-100-16	16	woman	962	WOMAN
Ringe-1992-100-17	17	man	1554	MAN
Ringe-1992-100-18	18	human	683	PERSON
Ringe-1992-100-19	19	fish	227	FISH
Ringe-1992-100-20	20	bird	937	BIRD
Ringe-1992-100-21	21	dog	2009	DOG
Ringe-1992-100-22	22	louse	1392	LOUSE
Ringe-1992-100-23	23	tree	906	TREE
Ringe-1992-100-24	24	seed	714	SEED
Ringe-1992-100-25	25	leaf	628	LEAF
Ringe-1992-100-26	26	root	670	ROOT
Ringe-1992-100-27	27	bark [of tree]	1204	BARK
Ringe-1992-100-28	28	skin	763	SKIN
Ringe-1992-100-29	29	flesh	2259	FLESH
Ringe-1992-100-30	30	blood	946	BLOOD
Ringe-1992-100-31	31	bone	1394	BONE
Ringe-1992-100-32	32	fat [nn]	323	FAT (ORGANIC SUBSTANCE)
Ringe-1992-100-33	33	egg	744	EGG
Ringe-1992-100-34	34	horn	1393	HORN (ANATOMY)
Ringe-1992-100-35	35	tail	1220	TAIL
Ringe-1992-100-36	36	feather	1201	FEATHER
Ringe-1992-100-37	37	hair [of head]	1040	HAIR
Ringe-1992-100-38	38	head	1256	HEAD
Ringe-1992-100-39	39	ear	1247	EAR
Ringe-1992-100-40	40	eye	1248	EYE
Ringe-1992-100-41	41	nose	1221	NOSE
Ringe-1992-100-42	42	mouth	674	MOUTH
Ringe-1992-100-43	43	tongue	1205	TONGUE
Ringe-1992-100-44	44	tooth	1380	TOOTH
Ringe-1992-100-45	45	claw	72	CLAW
Ringe-1992-100-46	46	foot	1301	FOOT
Ringe-1992-100-47	47	knee	1371	KNEE
Ringe-1992-100-48	48	hand	1277	HAND
Ringe-1992-100-49	49	neck	1333	NECK
Ringe-1992-100-50	50	belly	1251	BELLY
Ringe-1992-100-51	51	breast(s)	1402	BREAST
Ringe-1992-100-52	52	heart	1223	HEART
Ringe-1992-100-53	53	liver	1224	LIVER
Ringe-1992-100-54	54	drink	1401	DRINK
Ringe-1992-100-55	55	eat	1336	EAT
Ringe-1992-100-56	56	bite	1403	BITE
Ringe-1992-100-57	57	hear	1408	HEAR
Ringe-1992-100-58	58	see	1409	SEE
Ringe-1992-100-59	59	know	1410	KNOW (SOMETHING)
Ringe-1992-100-60	60	sleep [vb]	1585	SLEEP
Ringe-1992-100-61	61	die	1494	DIE
Ringe-1992-100-62	62	kill	1417	KILL
Ringe-1992-100-63	63	swim	1439	SWIM
Ringe-1992-100-64	64	fly [vb]	1441	FLY (MOVE THROUGH AIR)
Ringe-1992-100-65	65	walk	1443	WALK
Ringe-1992-100-66	66	come	1446	COME
Ringe-1992-100-67	67	lie [recline]	1411	LIE (REST)
Ringe-1992-100-68	68	sit	1416	SIT
Ringe-1992-100-69	69	stand	1442	STAND
Ringe-1992-100-70	70	give	1447	GIVE
Ringe-1992-100-71	71	say	1458	SAY
Ringe-1992-100-72	72	sun	1343	SUN
Ringe-1992-100-73	73	moon	1313	MOON
Ringe-1992-100-74	74	star	1430	STAR
Ringe-1992-100-75	75	water	948	WATER
Ringe-1992-100-76	76	rain [nn]	658	RAIN (PRECIPITATION)
Ringe-1992-100-77	77	stone	857	STONE
Ringe-1992-100-78	78	sand	671	SAND
Ringe-1992-100-79	79	earth	1228	EARTH (SOIL)
Ringe-1992-100-80	80	cloud	1489	CLOUD
Ringe-1992-100-81	81	smoke	778	SMOKE (EXHAUST)
Ringe-1992-100-82	82	fire	221	FIRE
Ringe-1992-100-83	83	ash(es)	646	ASH
Ringe-1992-100-84	84	burn [intr]	1428	BURNING
Ringe-1992-100-85	85	path	2252	PATH
Ringe-1992-100-86	86	mountain	639	MOUNTAIN
Ringe-1992-100-87	87	red	156	RED
Ringe-1992-100-88	88	green	1425	GREEN
Ringe-1992-100-89	89	yellow	1424	YELLOW
Ringe-1992-100-90	90	white	1335	WHITE
Ringe-1992-100-91	91	black	163	BLACK
Ringe-1992-100-92	92	night	1233	NIGHT
Ringe-1992-100-93	93	hot	1286	HOT
Ringe-1992-100-94	94	cold	1287	COLD
Ringe-1992-100-95	95	full	1429	FULL
Ringe-1992-100-96	96	new	1231	NEW
Ringe-1992-100-97	97	good	1035	GOOD
Ringe-1992-100-98	98	round	1395	ROUND
Ringe-1992-100-99	99	dry	1398	DRY
Ringe-1992-100-100	100	name	1405	NAME
