NUMBER	ID	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
1	Robinson-2012-398-1	(coral) reef	660	REEF
2	Robinson-2012-398-2	12	1707	TWELVE
3	Robinson-2012-398-3	123	3164	ONE HUNDRED AND TWENTY THREE
4	Robinson-2012-398-4	13	1708	THIRTEEN
5	Robinson-2012-398-5	21	1734	TWENTY ONE
6	Robinson-2012-398-6	angry	1826	ANGRY
7	Robinson-2012-398-7	animal	619	ANIMAL
8	Robinson-2012-398-8	ant	587	ANT
9	Robinson-2012-398-9	arm	1673	ARM
10	Robinson-2012-398-10	arrow	977	ARROW
11	Robinson-2012-398-11	ash	646	ASH
12	Robinson-2012-398-12	ask (question)	1309	ASK (INQUIRE)
13	Robinson-2012-398-13	axe	677	AXE
14	Robinson-2012-398-14	back	1291	BACK
15	Robinson-2012-398-15	bad	1292	BAD
16	Robinson-2012-398-16	bamboo	1927	BAMBOO
17	Robinson-2012-398-17	banana	868	BANANA
18	Robinson-2012-398-18	bark	1204	BARK
19	Robinson-2012-398-19	barn/storage house	3025	BARN OR SHED
20	Robinson-2012-398-20	bat	1793	BAT
21	Robinson-2012-398-21	bean	832	BEAN
22	Robinson-2012-398-22	bedbug	1949	BEDBUG
23	Robinson-2012-398-23	betel nut/areca	217	BETELNUT
24	Robinson-2012-398-24	betel vine	177	BETEL PEPPER VINE
25	Robinson-2012-398-25	big	1202	BIG
26	Robinson-2012-398-26	bird	937	BIRD
27	Robinson-2012-398-27	bite	1403	BITE
28	Robinson-2012-398-28	bitter	887	BITTER
29	Robinson-2012-398-29	black	163	BLACK
30	Robinson-2012-398-30	blind	1653	BLIND
31	Robinson-2012-398-31	blood	946	BLOOD
32	Robinson-2012-398-32	blue	837	BLUE
33	Robinson-2012-398-33	blunt	379	BLUNT
34	Robinson-2012-398-34	body hair	189	HAIR (BODY)
35	Robinson-2012-398-35	bone	1394	BONE
36	Robinson-2012-398-36	bow	994	BOW
37	Robinson-2012-398-37	branch	1531	BRANCH
38	Robinson-2012-398-38	breadfruit	2371	BREADFRUIT
39	Robinson-2012-398-39	breast	1402	BREAST
40	Robinson-2012-398-40	bride price	3024	BRIDE PRICE
41	Robinson-2012-398-41	burden stick		
42	Robinson-2012-398-42	burn (clear land)	3539	BURN LAND
43	Robinson-2012-398-43	burn/shine	2102	BURN
44	Robinson-2012-398-44	butterfly	1791	BUTTERFLY
45	Robinson-2012-398-45	buy	1869	BUY
46	Robinson-2012-398-46	call out		
47	Robinson-2012-398-47	canoe	1970	CANOE
48	Robinson-2012-398-48	cassava	925	CASSAVA
49	Robinson-2012-398-49	chase away/expel	30	DISPEL
