ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	FAMILY_FREQUENCY	LANGUAGE_FREQUENCY	WORD_FREQUENCY	RANK	COMMUNITY	CENTRAL_CONCEPT	DEGREE	WEIGHTED_FAMILY_DEGREE	WEIGHTED_LANGUAGE_DEGREE
Rzymski-2020-1624-1	1	GET	694	GET	76	808	1079	1	1	SEIZE	19	166	350
Rzymski-2020-1624-2	2	GIVE	1447	GIVE	179	2353	2974	2	19	GIVE	18	116	245
Rzymski-2020-1624-3	3	SAY	1458	SAY	126	1629	2146	3	5	SPEAK	18	141	451
Rzymski-2020-1624-4	4	TAKE	1749	TAKE	83	1010	1201	4	1	SEIZE	18	225	517
Rzymski-2020-1624-5	5	CARRY	700	CARRY	82	840	1497	5	1	SEIZE	15	135	379
Rzymski-2020-1624-6	6	KNOW (SOMETHING)	1410	KNOW (SOMETHING)	140	1699	2057	6	34	KNOW (SOMETHING)	15	132	363
Rzymski-2020-1624-7	7	FIRE	221	FIRE	195	2698	3144	7	2	POST	15	135	286
Rzymski-2020-1624-8	8	FATHER-IN-LAW (OF MAN)	2255	FATHER-IN-LAW (OF MAN)	59	357	419	8	6	FATHER-IN-LAW (OF MAN)	14	138	313
Rzymski-2020-1624-9	9	SEIZE	855	SEIZE	76	728	1053	9	1	SEIZE	14	158	498
Rzymski-2020-1624-10	10	CATCH	702	CATCH	87	641	785	10	1	SEIZE	14	164	483
Rzymski-2020-1624-11	11	CARRY IN HAND	412	CARRY IN HAND	50	348	423	11	1	SEIZE	14	97	194
Rzymski-2020-1624-12	12	EARTH (SOIL)	1228	EARTH (SOIL)	128	1643	2128	12	8	EARTH (SOIL)	13	224	609
Rzymski-2020-1624-13	13	HEAR	1408	HEAR	155	2152	2532	13	34	KNOW (SOMETHING)	13	174	344
Rzymski-2020-1624-14	14	HOLD	1448	HOLD	94	1530	1780	14	1	SEIZE	13	169	525
Rzymski-2020-1624-15	15	MOTHER-IN-LAW (OF WOMAN)	2256	MOTHER-IN-LAW (OF WOMAN)	60	353	417	15	6	FATHER-IN-LAW (OF MAN)	13	130	299
Rzymski-2020-1624-16	16	NEPHEW	1063	NEPHEW	61	400	569	16	4	SON	13	99	230
Rzymski-2020-1624-17	17	PICK UP	371	PICK UP	63	630	813	17	1	SEIZE	13	117	307
Rzymski-2020-1624-18	18	SPEAK	1623	SPEAK	114	1414	1909	18	5	SPEAK	13	131	448
Rzymski-2020-1624-19	19	TREE	906	TREE	192	2601	3379	19	2	POST	13	196	588
Rzymski-2020-1624-20	20	COUNTRY	1300	COUNTRY	67	645	925	20	8	EARTH (SOIL)	13	139	393
Rzymski-2020-1624-21	21	KILL	1417	KILL	145	2064	2640	21	16	KILL	13	117	323
Rzymski-2020-1624-22	22	FATHER-IN-LAW (OF WOMAN)	2254	FATHER-IN-LAW (OF WOMAN)	51	319	373	22	6	FATHER-IN-LAW (OF MAN)	13	134	301
Rzymski-2020-1624-23	23	POST	281	POST	69	513	685	23	2	POST	13	85	119
Rzymski-2020-1624-24	24	EDGE	863	EDGE	73	545	769	24	10	EDGE	12	100	270
Rzymski-2020-1624-25	25	GO	695	GO	112	1452	1832	25	3	GO	12	132	501
Rzymski-2020-1624-26	26	GOOD	1035	GOOD	190	2578	3217	26	20	CORRECT (RIGHT)	12	114	274
Rzymski-2020-1624-27	27	BIG	1202	BIG	165	2400	2917	27	13	MANY	12	130	264
Rzymski-2020-1624-28	28	LIGHT (RADIATION)	630	LIGHT (RADIATION)	98	990	1151	28	53	BRIGHT	12	109	185
Rzymski-2020-1624-29	29	CUT	1432	CUT	102	1445	2194	29	7	CUT	12	100	322
Rzymski-2020-1624-30	30	WOOD	1803	WOOD	81	1103	1489	30	2	POST	12	169	557
Rzymski-2020-1624-31	31	MOTHER-IN-LAW (OF MAN)	2257	MOTHER-IN-LAW (OF MAN)	51	319	374	31	6	FATHER-IN-LAW (OF MAN)	12	120	282
Rzymski-2020-1624-32	32	COUSIN	1643	COUSIN	55	322	624	32	40	YOUNGER BROTHER	12	107	149
Rzymski-2020-1624-33	33	AUNT	1272	AUNT	62	570	852	33	6	FATHER-IN-LAW (OF MAN)	11	96	361
Rzymski-2020-1624-34	34	FUR	580	FUR	81	643	920	34	17	FEATHER	11	171	486
Rzymski-2020-1624-35	35	GRAIN	605	GRAIN	59	702	1040	35	11	GRAIN	11	73	146
Rzymski-2020-1624-36	36	KEEP	1477	KEEP	65	407	537	36	62	PRESERVE	11	103	316
Rzymski-2020-1624-37	37	LEG	1297	LEG	173	2008	2242	37	24	LEG	11	140	513
Rzymski-2020-1624-38	38	PLACE (POSITION)	723	PLACE (POSITION)	73	705	963	38	8	EARTH (SOIL)	11	63	142
Rzymski-2020-1624-39	39	SMALL	1246	SMALL	166	2372	3027	39	68	NARROW	11	115	263
Rzymski-2020-1624-40	40	WALK	1443	WALK	153	2041	2687	40	3	GO	11	96	390
Rzymski-2020-1624-41	41	SKY	1732	SKY	112	1790	2089	41	77	TIME	11	113	315
Rzymski-2020-1624-42	42	CHILD (DESCENDANT)	1801	CHILD (DESCENDANT)	55	420	613	42	4	SON	11	108	220
Rzymski-2020-1624-43	43	ARM	1673	ARM	162	1726	1930	43	18	ARM	11	113	385
Rzymski-2020-1624-44	44	DAY (NOT NIGHT)	1225	DAY (NOT NIGHT)	93	1024	1127	44	77	TIME	11	120	251
Rzymski-2020-1624-45	45	MAN	1554	MAN	191	2261	2803	45	14	MAN	11	190	609
Rzymski-2020-1624-46	46	TWIST (AROUND)	3199	TWIST (AROUND)	59	333	532	46	46	TWIST (AROUND)	11	84	154
Rzymski-2020-1624-47	47	SIBLING	1640	SIBLING	43	283	420	47	40	YOUNGER BROTHER	11	87	267
Rzymski-2020-1624-48	48	SISTER	1263	SISTER	97	843	1010	48	40	YOUNGER BROTHER	11	120	304
Rzymski-2020-1624-49	49	BROTHER	1262	BROTHER	95	744	945	49	40	YOUNGER BROTHER	11	133	348
Rzymski-2020-1624-50	50	LAND	626	LAND	73	578	968	50	8	EARTH (SOIL)	11	177	502
Rzymski-2020-1624-51	51	BRING	692	BRING	76	652	899	51	1	SEIZE	10	59	124
Rzymski-2020-1624-52	52	DAUGHTER	1357	DAUGHTER	79	754	846	52	4	SON	10	92	359
Rzymski-2020-1624-53	53	DAUGHTER-IN-LAW (OF MAN)	2265	DAUGHTER-IN-LAW (OF MAN)	57	326	376	53	6	FATHER-IN-LAW (OF MAN)	10	126	344
Rzymski-2020-1624-54	54	FEATHER	1201	FEATHER	139	1621	1879	54	17	FEATHER	10	150	433
Rzymski-2020-1624-55	55	FEEL	1079	FEEL	55	311	389	55	34	KNOW (SOMETHING)	10	76	136
Rzymski-2020-1624-56	56	FLOW	2003	FLOW	93	1006	1226	56	3	GO	10	72	160
Rzymski-2020-1624-57	57	MOUTH	674	MOUTH	165	2485	2846	57	79	NOSE	10	84	250
Rzymski-2020-1624-58	58	NIECE	1642	NIECE	56	388	543	58	4	SON	10	85	209
Rzymski-2020-1624-59	59	LIFT	501	LIFT	77	720	954	59	1	SEIZE	10	68	213
Rzymski-2020-1624-60	60	SHOOT	1172	SHOOT	97	1270	1521	60	16	KILL	10	66	207
Rzymski-2020-1624-61	61	SON	1620	SON	79	884	998	61	4	SON	10	111	293
Rzymski-2020-1624-62	62	SON-IN-LAW (OF MAN)	2267	SON-IN-LAW (OF MAN)	59	338	378	62	6	FATHER-IN-LAW (OF MAN)	10	121	367
Rzymski-2020-1624-63	63	SPEECH	1115	SPEECH	62	433	529	63	5	SPEAK	10	87	169
Rzymski-2020-1624-64	64	TELL	1711	TELL	77	650	774	64	5	SPEAK	10	85	160
Rzymski-2020-1624-65	65	TIE	1917	TIE	113	1632	2138	65	65	TIE	10	69	163
Rzymski-2020-1624-66	66	UNDERSTAND	1536	UNDERSTAND	73	574	733	66	34	KNOW (SOMETHING)	10	112	232
Rzymski-2020-1624-67	67	VOICE	1363	VOICE	72	862	970	67	5	SPEAK	10	117	360
Rzymski-2020-1624-68	68	WEAVE	133	WEAVE	70	949	1241	68	56	SEW	10	95	244
Rzymski-2020-1624-69	69	WATER	948	WATER	200	2724	3275	69	29	WATER	10	101	392
Rzymski-2020-1624-70	70	FOOT	1301	FOOT	117	1438	1643	70	24	LEG	10	96	359
Rzymski-2020-1624-71	71	WOMAN	962	WOMAN	164	2225	2826	71	111	WOMAN	10	160	487
Rzymski-2020-1624-72	72	FATHER	1217	FATHER	151	2181	2913	72	6	FATHER-IN-LAW (OF MAN)	10	59	85
Rzymski-2020-1624-73	73	MOTHER	1216	MOTHER	154	2213	2837	73	6	FATHER-IN-LAW (OF MAN)	10	55	91
Rzymski-2020-1624-74	74	BOY	1366	BOY	99	1219	1487	74	4	SON	10	121	377
Rzymski-2020-1624-75	75	UNCLE	1327	UNCLE	64	454	707	75	6	FATHER-IN-LAW (OF MAN)	10	100	358
Rzymski-2020-1624-76	76	YOUNGER BROTHER	1760	YOUNGER BROTHER	70	705	766	76	40	YOUNGER BROTHER	10	85	210
