ID	NUMBER	ENGLISH	HUANG_1992_1820	CONCEPTICON_ID	CONCEPTICON_GLOSS	COVERAGE
Sagart-2019-250-1	1	above	731	1741	ABOVE	0.46
Sagart-2019-250-2	2	all	962	98	ALL	0.47
Sagart-2019-250-3	3	the ant	365	587	ANT	1
Sagart-2019-250-4	4	the armpit	92	1886	ARMPIT	0.49
Sagart-2019-250-5	5	bad	1053	1292	BAD	0.61
Sagart-2019-250-6	6	the bamboo	389	1927	BAMBOO	0.98
Sagart-2019-250-7	7	the barley (tibetan or highland)	411	932	BARLEY	0.25
Sagart-2019-250-8	8	to be alive	1087	1422	BE ALIVE	0.96
Sagart-2019-250-9	9	the belly	96	1251	BELLY	0.98
Sagart-2019-250-10	10	below, under	732	1485	BELOW OR UNDER	0.45
Sagart-2019-250-11	11	big	964	1202	BIG	1
Sagart-2019-250-12	12	the bird	326	937	BIRD	1
Sagart-2019-250-13	13	to bite	1753	1403	BITE	0.98
Sagart-2019-250-14	14	black	1005	163	BLACK	1
Sagart-2019-250-15	15	the blood	129	946	BLOOD	1
Sagart-2019-250-16	16	to blow (of wind)	1738	175	BLOW (OF WIND)	0.56
Sagart-2019-250-17	17	the body hair (hair or fur)	266	189	HAIR (BODY)	0.52
Sagart-2019-250-18	18	the bone	133	1394	BONE	0.98
Sagart-2019-250-19	19	the branch	374	1531	BRANCH	0.9
Sagart-2019-250-20	20	the breast (female)	94	1402	BREAST	0.98
Sagart-2019-250-21	21	to burn [intransitive]	1269	1428	BURNING	0.96
Sagart-2019-250-22	22	to buy	1516	1869	BUY	1
Sagart-2019-250-23	23	to chew	1424	321	CHEW	0.94
Sagart-2019-250-24	24	the child (young human)	169	1304	CHILD (YOUNG HUMAN)	0.47
Sagart-2019-250-25	25	the cloud	7	1489	CLOUD	1
Sagart-2019-250-26	26	cold (of temperature)	1063	1287	COLD	1
Sagart-2019-250-27	27	to come	1491	1446	COME	0.98
