ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	ENGLISH	SPANISH	FRENCH	GERMAN
Samarin-1969-100-1	1209	I	1	I	yo	je	ich
Samarin-1969-100-2	1215	THOU	2	thou	tú	tu	du
Samarin-1969-100-3	1212	WE	3	we	nosotros	nous	wir
Samarin-1969-100-4	1214	THIS	4	this	este	celui-ci	dieser
Samarin-1969-100-5	78	THAT	5	that	aquel	celui-là	jener
Samarin-1969-100-6	1235	WHO	6	who?	quién?	qui?	wer?
Samarin-1969-100-7	1236	WHAT	7	what?	qué?	quoi?	was?
Samarin-1969-100-8	1240	NOT	8	not	no	ne…pas	nicht
Samarin-1969-100-9	98	ALL	9	all	todos	tous	alle
Samarin-1969-100-10	1198	MANY	10	many	muchos	beaucoup	viele
Samarin-1969-100-11	1493	ONE	11	one	uno	un	eins
Samarin-1969-100-12	1498	TWO	12	two	dos	deux	zwei
Samarin-1969-100-13	1202	BIG	13	big	grande	grand	gross
Samarin-1969-100-14	1203	LONG	14	long	largo	long	lang
Samarin-1969-100-15	1246	SMALL	15	small	chico	petit	klein
Samarin-1969-100-16	962	WOMAN	16	woman	mujer	femme	Weib/Frau
Samarin-1969-100-17	1554	MAN	17	man	hombre	homme	Mann
Samarin-1969-100-18	683	PERSON	18	person	gente	personne	Mensch
Samarin-1969-100-19	227	FISH	19	fish	pez	poisson	Fisch
Samarin-1969-100-20	937	BIRD	20	bird	pájaro	oiseau	Vogel
Samarin-1969-100-21	2009	DOG	21	dog	perro	chien	Hund
Samarin-1969-100-22	1392	LOUSE	22	louse	piojo	pou	Laus
Samarin-1969-100-23	906	TREE	23	tree	árbol	arbre	Baum
Samarin-1969-100-24	714	SEED	24	seed	semilla	semence	Samen
Samarin-1969-100-25	628	LEAF	25	leaf	hoja	feuille	Blatt
Samarin-1969-100-26	670	ROOT	26	root	raíz	racine	Wurzel
Samarin-1969-100-27	1204	BARK	27	bark	corteza	écorce	Rinde
Samarin-1969-100-28	763	SKIN	28	skin	piel	peau	Haut
Samarin-1969-100-29	634	MEAT	29	flesh	carne	viande	Fleisch
Samarin-1969-100-30	946	BLOOD	30	blood	sangre	sang	Blut
Samarin-1969-100-31	1394	BONE	31	bone	hueso	os	Knochen
Samarin-1969-100-32	323	GREASE	32	grease	grasa	graisse	Fett
Samarin-1969-100-33	744	EGG	33	egg	huevo	oeuf	Ei
Samarin-1969-100-34	1393	HORN (KERATINIZED SKIN)	34	horn	cuerno	corne	Horn
Samarin-1969-100-35	1220	TAIL	35	tail	cola/rabo	queue	Schwanz
Samarin-1969-100-36	1201	FEATHER	36	feather	pluma	plume	Feder
Samarin-1969-100-37	1040	HAIR	37	hair	cabello	cheveu	(Kopf-)Haare
Samarin-1969-100-38	1256	HEAD	38	head	cabeza	tête	Kopf
Samarin-1969-100-39	1247	EAR	39	ear	oreja	oreille	Ohr
Samarin-1969-100-40	1248	EYE	40	eye	ojo	oeil	Auge
Samarin-1969-100-41	1221	NOSE	41	nose	nariz	nez	Nase
Samarin-1969-100-42	674	MOUTH	42	mouth	boca	bouche	Mund
Samarin-1969-100-43	1380	TOOTH	43	tooth	diente	dent	Zahn
Samarin-1969-100-44	1205	TONGUE	44	tongue	lengua	langue	Zunge
Samarin-1969-100-45	1258	FINGERNAIL	45	fingernail	garra/uña	griffe	Nagel
Samarin-1969-100-46	1301	FOOT	46	foot	pie	pied	Fuss
Samarin-1969-100-47	1371	KNEE	47	knee	rodilla	genou	Knie
Samarin-1969-100-48	1277	HAND	48	hand	mano	main	Hand
Samarin-1969-100-49	1251	BELLY	49	belly	barriga	ventre	Bauch
Samarin-1969-100-50	1333	NECK	50	neck	cuello	cou	Nacken
Samarin-1969-100-51	1402	BREAST	51	breasts	senos	sein	weibliche Brust
Samarin-1969-100-52	1223	HEART	52	heart	corazón	coeur	Herz
Samarin-1969-100-53	1224	LIVER	53	liver	hígado	foie	Leber
Samarin-1969-100-54	1401	DRINK	54	drink	beber	boire	trinken
Samarin-1969-100-55	1336	EAT	55	eat	comer	manger	essen
Samarin-1969-100-56	1403	BITE	56	bite	morder	mordre	beissen
Samarin-1969-100-57	1409	SEE	57	see	ver	voir	sehen
Samarin-1969-100-58	1408	HEAR	58	hear	oír	entendre	hören
Samarin-1969-100-59	1410	KNOW (SOMETHING)	59	know	saber	savoir	wissen
Samarin-1969-100-60	1585	SLEEP	60	sleep	dormir	dormir	schlafen
Samarin-1969-100-61	1494	DIE	61	die	morir	mourir	sterben
Samarin-1969-100-62	1417	KILL	62	kill	matar	tuer	töten
Samarin-1969-100-63	1439	SWIM	63	swim	nadar	nager	schwimmen
Samarin-1969-100-64	1441	FLY (MOVE THROUGH AIR)	64	fly	volar	voler	fliegen
Samarin-1969-100-65	1443	WALK	65	walk	andar	marcher	gehen
Samarin-1969-100-66	1446	COME	66	come	venir	venir	kommen
Samarin-1969-100-67	1411	LIE (REST)	67	lie	acostado	être couché	liegen
Samarin-1969-100-68	1416	SIT	68	sit	sentado	être assis	sitzen
Samarin-1969-100-69	1442	STAND	69	stand	parado	être debout	stehen
Samarin-1969-100-70	1447	GIVE	70	give	dar	donner	geben
Samarin-1969-100-71	1458	SAY	71	say	decir	dire	sagen
Samarin-1969-100-72	1343	SUN	72	sun	sol	soleil	Sonne
Samarin-1969-100-73	1313	MOON	73	moon	luna	lune	Mond
Samarin-1969-100-74	1430	STAR	74	star	estrella	étoile	Stern
Samarin-1969-100-75	948	WATER	75	water	agua	eau	Wasser
Samarin-1969-100-76	658	RAIN (PRECIPATION)	76	rain	lluvia	pluie	Regen
Samarin-1969-100-77	857	STONE	77	stone	piedra	pierre	Stein
Samarin-1969-100-78	671	SAND	78	sand	arena	sable	Sand
Samarin-1969-100-79	1228	EARTH (SOIL)	79	earth	tierra	terre	Erde
Samarin-1969-100-80	1489	CLOUD	80	cloud	nube	nuage	Wolken
Samarin-1969-100-81	778	SMOKE (EXHAUST)	81	smoke	humo	fumée	Rauch
Samarin-1969-100-82	221	FIRE	82	fire	fuego	feu	Feuer
Samarin-1969-100-83	646	ASH	83	ash	ceniza	cendres	Asche
Samarin-1969-100-84	1428	BURNING	84	burn	arder	brûler	brennen
Samarin-1969-100-85	667	ROAD	85	path	camino	chemin	Weg
Samarin-1969-100-86	639	MOUNTAIN	86	mountain	cerro	montagne	Berg
Samarin-1969-100-87	156	RED	87	red	rojo	rouge	rot
Samarin-1969-100-88	1425	GREEN	88	green	verde	vert	grün
Samarin-1969-100-89	1424	YELLOW	89	yellow	amarillo	jaune	gelb
Samarin-1969-100-90	1335	WHITE	90	white	blanco	blanc	weiss
Samarin-1969-100-91	163	BLACK	91	black	negro	noir	schwarz
Samarin-1969-100-92	1233	NIGHT	92	night	noche	nuit	Nacht
Samarin-1969-100-93	1286	HOT	93	hot	caliente	chaud	heiss
Samarin-1969-100-94	1287	COLD (OF TEMPERATURE)	94	cold	frío	froid	kalt
Samarin-1969-100-95	1429	FULL	95	full	lleno	plein	voll
Samarin-1969-100-96	1231	NEW	96	new	nuevo	nouveau	neu
Samarin-1969-100-97	1035	GOOD	97	good	bueno	bon	gut
Samarin-1969-100-98	1395	ROUND	98	round	redondo	rond	rund
Samarin-1969-100-99	1398	DRY	99	dry	seco	sec	trocken
Samarin-1969-100-100	1405	NAME	100	name	nombre	nom	Name
