ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	PROTO_ID
Seifart-2015-410-1	1	tongue	1205	TONGUE	1
Seifart-2015-410-2	2	mouth	674	MOUTH	2
Seifart-2015-410-3	3	lip	478	LIP	3
Seifart-2015-410-4	4	tooth	1380	TOOTH	4
Seifart-2015-410-5	5	nose	1221	NOSE	5
Seifart-2015-410-6	6	eye	1248	EYE	6
Seifart-2015-410-7	7	ear	1247	EAR	7
Seifart-2015-410-8	8	head	1256	HEAD	8
Seifart-2015-410-9	9	forehead	123	FOREHEAD	9
Seifart-2015-410-10	10	hair	1040	HAIR	10
Seifart-2015-410-11	11	beard	678	BEARD	12
Seifart-2015-410-12	12	chest	1592	CHEST	14
Seifart-2015-410-13	13	woman’s breast	1402	BREAST	15
Seifart-2015-410-14	14	abdomen	1251	BELLY	16
Seifart-2015-410-15	15	shoulder	1482	SHOULDER	18
Seifart-2015-410-16	16	arm	1673	ARM	19
Seifart-2015-410-17	17	elbow	981	ELBOW	21
Seifart-2015-410-18	18	hand	1277	HAND	22
Seifart-2015-410-19	19	finger	1303	FINGER	23
Seifart-2015-410-20	20	fingernail	1258	FINGERNAIL	24
Seifart-2015-410-21	21	knee	1371	KNEE	27
Seifart-2015-410-22	22	foot	1301	FOOT	29
Seifart-2015-410-23	23	toe	1389	TOE	30
Seifart-2015-410-24	24	skin	763	SKIN	31
Seifart-2015-410-25	25	bone	1394	BONE	32
Seifart-2015-410-26	26	blood	946	BLOOD	33
Seifart-2015-410-27	27	heart	1223	HEART	34
Seifart-2015-410-28	28	lungs	688	LUNG	35
Seifart-2015-410-29	29	man	1554	MAN	38,39
Seifart-2015-410-30	30	woman	962	WOMAN	40
Seifart-2015-410-31	31	people	789	PEOPLE	41
Seifart-2015-410-32	32	husband	1200	HUSBAND	42
Seifart-2015-410-33	33	wife	1199	WIFE	43
Seifart-2015-410-34	34	father	1217	FATHER	44
Seifart-2015-410-35	35	mother	1216	MOTHER	45
Seifart-2015-410-36	36	baby,infant	1289	BABY	46
Seifart-2015-410-37	37	old man	406	OLD MAN	47
Seifart-2015-410-38	38	water	948	WATER	48
Seifart-2015-410-39	39	river,big river	666	RIVER	49,379
Seifart-2015-410-40	40	swamp	1145	SWAMP	52
Seifart-2015-410-41	41	fire	221	FIRE	56
Seifart-2015-410-42	42	ash	646	ASH	57
Seifart-2015-410-43	43	charcoal	1188	CHARCOAL	58
Seifart-2015-410-44	44	firewood	10	FIREWOOD	60
Seifart-2015-410-45	45	sky	1732	SKY	61
Seifart-2015-410-46	46	rain	658	RAIN (PRECIPITATION)	62
Seifart-2015-410-47	47	sun	1343	SUN	64
Seifart-2015-410-48	48	moon	1313	MOON	65
Seifart-2015-410-49	49	star	1430	STAR	66
Seifart-2015-410-50	50	day	1225	DAY (NOT NIGHT)	67
Seifart-2015-410-51	51	night	1233	NIGHT	68
Seifart-2015-410-52	52	thunder	1150	THUNDER	69
Seifart-2015-410-53	53	rainbow	1733	RAINBOW	71
