ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Serva-2012-200-1	1	ALL	98	ALL
Serva-2012-200-2	2	AND	1577	AND
Serva-2012-200-3	3	ANIMAL	619	ANIMAL
Serva-2012-200-4	4	ASHES	646	ASH
Serva-2012-200-5	5	AT	1461	AT
Serva-2012-200-6	6	BACK (OF A PERSON)	1291	BACK
Serva-2012-200-7	7	BAD	1292	BAD
Serva-2012-200-8	8	BARK (OF A TREE)	1204	BARK
Serva-2012-200-9	9	BECAUSE	1157	BECAUSE
Serva-2012-200-10	10	BELLY	1251	BELLY
Serva-2012-200-11	11	BIG	1202	BIG
Serva-2012-200-12	12	BIRD	937	BIRD
Serva-2012-200-13	13	BITE (VERB)	1403	BITE
Serva-2012-200-14	14	BLACK	163	BLACK
Serva-2012-200-15	15	BLOOD	946	BLOOD
Serva-2012-200-16	16	BLOW (VERB)	175	BLOW (OF WIND)
Serva-2012-200-17	17	BONE	1394	BONE
Serva-2012-200-18	18	BREATHE (VERB)	1407	BREATHE
Serva-2012-200-19	19	BURN (VERB)	2102	BURN
Serva-2012-200-20	20	CHILD	2099	CHILD
Serva-2012-200-21	21	CLOUD	1489	CLOUD
Serva-2012-200-22	22	COLD	1287	COLD
Serva-2012-200-23	23	COME (VERB)	1446	COME
Serva-2012-200-24	24	COUNT (VERB)	1420	COUNT
Serva-2012-200-25	25	CUT (VERB)	1432	CUT
Serva-2012-200-26	26	DAY	1225	DAY (NOT NIGHT)
Serva-2012-200-27	27	DIE (VERB)	1494	DIE
Serva-2012-200-28	28	DIG (VERB)	1418	DIG
Serva-2012-200-29	29	DIRTY	1230	DIRTY
Serva-2012-200-30	30	DOG	2009	DOG
Serva-2012-200-31	31	DRINK (VERB)	1401	DRINK
Serva-2012-200-32	32	DRY	1398	DRY
Serva-2012-200-33	33	DULL	379	BLUNT
Serva-2012-200-34	34	DUST	2	DUST
Serva-2012-200-35	35	EAR	1247	EAR
Serva-2012-200-36	36	EARTH	1228	EARTH (SOIL)
Serva-2012-200-37	37	EAT (VERB)	1336	EAT
Serva-2012-200-38	38	EGG	744	EGG
Serva-2012-200-39	39	EYE	1248	EYE
Serva-2012-200-40	40	FALL (VERB)	1280	FALL
Serva-2012-200-41	41	FAR	1406	FAR
Serva-2012-200-42	42	FAT	323	FAT (ORGANIC SUBSTANCE)
Serva-2012-200-43	43	FATHER	1217	FATHER
Serva-2012-200-44	44	FEAR (VERB)	1419	FEAR (BE AFRAID)
Serva-2012-200-45	45	FEATHER	1201	FEATHER
Serva-2012-200-46	46	FEW	1242	FEW
Serva-2012-200-47	47	FIGHT (VERB)	1423	FIGHT
Serva-2012-200-48	48	FIRE	221	FIRE
Serva-2012-200-49	49	FISH	227	FISH
Serva-2012-200-50	50	FIVE	493	FIVE
Serva-2012-200-51	51	FLOAT (VERB)	1574	FLOAT
Serva-2012-200-52	52	FLOW (VERB)	2003	FLOW
Serva-2012-200-53	53	FLOWER	239	FLOWER
Serva-2012-200-54	54	FLY (VERB)	1441	FLY (MOVE THROUGH AIR)
Serva-2012-200-55	55	FOG	249	FOG
Serva-2012-200-56	56	FOOT	1301	FOOT
Serva-2012-200-57	57	FOUR	1500	FOUR
Serva-2012-200-58	58	FREEZE (VERB)	1431	FREEZE
Serva-2012-200-59	59	FRUIT	1507	FRUIT
Serva-2012-200-60	60	GIVE (VERB)	1447	GIVE
Serva-2012-200-61	61	GOOD	1035	GOOD
Serva-2012-200-62	62	GRASS	606	GRASS
Serva-2012-200-63	63	GREEN	1425	GREEN
Serva-2012-200-64	64	GUTS	1334	GUTS
Serva-2012-200-65	65	HAIR (ON THE HEAD)	2648	HAIR (HEAD)
