ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	DUTCH	IMAGE_AGREEMENT	IMAGEABILITY	AoA_DUTCH	CONCEPT_FAMILIARITY	LETTERS_NUMBER	SYLLABLE_NUMBER	NAMING_RT	OBJECTIVE_VC	SUBJECTIVE_VC	WF_LOG
Shao-2016-327-1	1	Accordion	2603	ACCORDION	Accordeon	5,84	5,82	5,63	2,23	9	3	1265	63	3,89	0,08
Shao-2016-327-2	2	Ambulance	4013	AMBULANCE	Ambulance	3,42	6,36	4,43	3,76	9	4	1219	89	5,91	1,4
Shao-2016-327-3	3	Soapbox			Zeepkist	2,48	3,61	5,57	4,02	8	2	1485	91	3,74	2,66
Shao-2016-327-4	4	Bamboo	1927	BAMBOO	Bamboe	6,03	5,36	4,97	2,33	6	2	1080	111	3,89	-0,16
Shao-2016-327-5	5	Basketball			Basketbal	5,94	6,45	4,27	2,97	9	3	1115	133	4,74	0,94
Shao-2016-327-6	6	Battery	662	BATTERY	Batterij	6,26	6,39	4,1	3,97	8	3	903	44	2,66	0,83
Shao-2016-327-7	7	Capricorn			Steenbok	5,71	4,91	5,73	2,2	8	2	1583	115	4,89	-1,04
Shao-2016-327-8	8	Beer bottle			Bierfles	5,94	6,61	5,53	3,9	8	2	1138	27	1,23	-0,74
Shao-2016-327-9	9	Chives			Bieslook	5,52	5,42	6,07	2,8	8	2	1571	34	1,74	-0,68
Shao-2016-327-10	10	Lily			Lelie	4,29	4,94	5,37	3,95	5	2	1321	58	2,57	1,13
Shao-2016-327-11	11	Lotus	2359	LOTUS	Lotus	4,77	4,24	6,23	3,95	5	2	1174	44	3,23	1,13
Shao-2016-327-12	12	Shirt	1622	SHIRT	Overhemd	4,03	6	4,9	3,76	8	3	1425	59	2,43	0,57
Shao-2016-327-13	13	Olive tree			Olijfboom	4,45	5,15	5,8	4,36	9	3	1154	134	4,77	1,72
Shao-2016-327-14	14	Bread basket			Broodmand	4,81	5,61	4,43	4,59	9	2	1243	143	4,8	0,87
Shao-2016-327-15	15	Bathtub	4027	BATHTUB	Badkuip	3,65	6,18	3,77	2,79	7	2	1489	51	4,26	0,38
Shao-2016-327-16	16	Clamp			Klem	2,87	4,15	4,03	2,67	4	1	1785	48	1,94	0,18
Shao-2016-327-17	17	Dynamo			Dynamo	6,13	5	6,57	2,37	6	3	1398	107	4,2	-0,39
Shao-2016-327-18	18	Gas cylinder			Gasfles	4,61	5,15	5,93	2,4	7	2	1459	114	5,26	-0,96
Shao-2016-327-19	19	Golf ball			Golfbal	6,48	6,45	4,73	2,34	7	2	1233	96	2,94	-0,24
Shao-2016-327-20	20	Hamburger			Hamburger	5,32	6,67	3,93	3,4	9	3	969	50	3,77	0,93
Shao-2016-327-21	21	Hammock	2019	HAMMOCK	Hangmat	5,74	6,39	5,03	2,8	7	2	957	127	5,03	-0,14
Shao-2016-327-22	22	Hazelnut			Hazelnoot	6,1	5,48	4,8	3,14	9	3	1218	65	1,6	-0,47
Shao-2016-327-23	23	Christmas ball			Kerstbal	5,52	6,03	3,33	3,07	8	2	1066	76	2,37	-0,8
Shao-2016-327-24	24	Santa Claus	2404	SANTA CLAUS	Kerstman	4,35	6,79	3,33	2,83	8	2	1050	68	3,69	1,44
Shao-2016-327-25	25	Gingerbread			Peperkoek	2,29	5,58	4,23	4,5	9	3	1333	127	3,97	1,26
Shao-2016-327-26	26	Light bulb			Gloeilamp	6,39	6,12	5,3	4,4	9	2	976	54	1,97	1,14
Shao-2016-327-27	27	Card	2619	CARD	Kaart	4,74	5,67	3,07	3,08	5	1	1083	98	5,74	-0,02
Shao-2016-327-28	28	Map	2625	MAP	Landkaart	4,84	6,21	4,73	3,08	9	2	1022	140	5,8	-0,02
Shao-2016-327-29	29	Lava			Lava	3,55	4,88	5,2	2,07	4	2	1602	118	5,74	0,44
Shao-2016-327-30	30	Lioness			Leeuwin	5,97	6,06	4	2,91	7	2	1262	47	4,11	1,17
Shao-2016-327-31	31	Sloth	2446	SLOTH	Luiaard	4,77	4,27	6,1	2,21	7	2	1573	74	5,4	-0,09
Shao-2016-327-32	32	Measuring cup			Maatbeker	5,68	6,09	5,67	3,55	9	3	1264	26	1,86	-0,85
Shao-2016-327-33	33	Megaphone			Megafoon	5,23	5,67	6,07	2,33	8	3	1364	87	2,71	-0,26
Shao-2016-327-34	34	Hamster	3147	HAMSTER	Hamster	5,39	6,21	3,5	3,47	7	2	1079	53	2,26	1,05
Shao-2016-327-35	35	Orchid			Orchidee	5,87	5,3	6,5	2,34	8	3	1555	21	2,54	-0,07
Shao-2016-327-36	36	Palm tree	1181	PALM TREE	Palmboom	6,16	6,52	4,83	2,78	8	2	1104	107	3,54	-0,16
Shao-2016-327-37	37	Plum	4063	PLUM	Pruim	5,81	5,52	3,87	2,76	5	1	1557	36	1,4	0,05
Shao-2016-327-38	38	Puppy	74	PUPPY	Puppy	5,29	6,42	2,83	3,17	5	2	1171	87	3,86	0,75
Shao-2016-327-39	39	Sauna			Sauna	5,68	4,94	5,97	2,9	5	2	1147	98	5,17	0,33
