ID	CONCEPTICON_ID	NUMBER	GLOSS
Shevoroshkin-1991-23-1	1209	1	I/me [first person sg. pronoun]
Shevoroshkin-1991-23-2	1498	2	two/pair
Shevoroshkin-1991-23-3	1213	3	thou/thee [second person sg. pronoun]
Shevoroshkin-1991-23-4	2137	4	who/what
Shevoroshkin-1991-23-5	1205	5	tongue
Shevoroshkin-1991-23-6	1405	6	name
Shevoroshkin-1991-23-7	1248	7	eye
Shevoroshkin-1991-23-8	1223	8	heart
Shevoroshkin-1991-23-9	1380	9	tooth
Shevoroshkin-1991-23-10	1269	10	no/not [negative and prohibitive particles]
Shevoroshkin-1991-23-11	1896	11	fingernail/toenail
Shevoroshkin-1991-23-12	1392	12	louse/nit
Shevoroshkin-1991-23-13	1651	13	tear(drop)
Shevoroshkin-1991-23-14	948	14	water
Shevoroshkin-1991-23-15	1625	15	dead
Shevoroshkin-1991-23-16	1277	16	hand
Shevoroshkin-1991-23-17	1233	17	night
Shevoroshkin-1991-23-18	946	18	blood
Shevoroshkin-1991-23-19	1393	19	horn
Shevoroshkin-1991-23-20	1429	20	full
Shevoroshkin-1991-23-21	1343	21	sun
Shevoroshkin-1991-23-22	1247	22	ear
Shevoroshkin-1991-23-23	1274	23	salt
