ID	NUMBER	BULGARIAN	ENGLISH	CATEGORY	CONCEPTICON_ID	CONCEPTICON_GLOSS
Simko-2020-205-1	1	bjal	white	common adjectives	1335	WHITE
Simko-2020-205-2	2	cjal	whole	common adjectives	2277	WHOLE
Simko-2020-205-3	3	čist	clean	common adjectives	704	CLEAN
Simko-2020-205-4	4	čeren	black	common adjectives	163	BLACK
Simko-2020-205-5	5	červen	red	common adjectives	156	RED
Simko-2020-205-6	6	dălăg	long	common adjectives	1203	LONG
Simko-2020-205-7	7	dobăr	good	common adjectives	1035	GOOD
Simko-2020-205-8	8	gorăk	bitter	common adjectives	887	BITTER
Simko-2020-205-9	9	kisel	sour	common adjectives	1906	SOUR
Simko-2020-205-10	10	krasen	beautiful	common adjectives	1427	BEAUTIFUL
Simko-2020-205-11	11	libe	beloved	common adjectives		
Simko-2020-205-12	12	malăk	small	common adjectives	1246	SMALL
Simko-2020-205-13	13	mek	soft	common adjectives	1856	SOFT
Simko-2020-205-14	14	mlad	young	common adjectives	1207	YOUNG
Simko-2020-205-15	15	pălen	full	common adjectives	1429	FULL
Simko-2020-205-16	16	zdrav	healthy	common adjectives	1364	HEALTHY
Simko-2020-205-17	17	slab	weak	common adjectives	1601	WEAK
Simko-2020-205-18	18	star	old	common adjectives	1229	OLD
Simko-2020-205-19	19	čužd	strange, foreign	common adjectives	109	FOREIGN
Simko-2020-205-20	20	velik	great	common adjectives	1202	BIG
Simko-2020-205-21	21	zelen	green	common adjectives	1425	GREEN
Simko-2020-205-22	22	zăl	angry	common adjectives	1826	ANGRY
Simko-2020-205-23	23	živ	alive	common adjectives	1422	BE ALIVE
Simko-2020-205-24	24	žălt	yellow	common adjectives	1424	YELLOW
Simko-2020-205-25	25	agne	lamb	common animals and birds	820	LAMB
Simko-2020-205-26	26	jajce	egg	common animals and birds	744	EGG
Simko-2020-205-27	27	bobăr	beaver	common animals and birds	1194	BEAVER
Simko-2020-205-28	28	pčela	bee	common animals and birds	665	BEE
Simko-2020-205-29	29	bik	bull	common animals and birds	1008	BULL
Simko-2020-205-30	30	červej	worm	common animals and birds	1219	WORM
Simko-2020-205-31	31	elen	deer	common animals and birds	1936	DEER
Simko-2020-205-32	32	esetra	sturgeon	common animals and birds	3606	STURGEON
Simko-2020-205-33	33	găska	goose	common animals and birds	1187	GOOSE
Simko-2020-205-34	34	ež	hedgehog	common animals and birds	1797	HEDGEHOG
Simko-2020-205-35	35	kobila	mare	common animals and birds	938	MARE
Simko-2020-205-36	36	kon	horse	common animals and birds	615	HORSE
Simko-2020-205-37	37	krava	cow	common animals and birds	1007	COW
Simko-2020-205-38	38	koza	goat	common animals and birds	1502	GOAT
Simko-2020-205-39	39	kur	penis, rooster	common animals and birds	1222	PENIS
Simko-2020-205-40	40	mravka	ant	common animals and birds	587	ANT
Simko-2020-205-41	41	lebed	swan	common animals and birds	2837	SWAN
Simko-2020-205-42	42	orel	eagle	common animals and birds	1905	EAGLE
Simko-2020-205-43	43	osa	wasp	common animals and birds	1517	WASP
Simko-2020-205-44	44	ovca	sheep	common animals and birds	1331	SHEEP
Simko-2020-205-45	45	pes	dog	common animals and birds	2009	DOG
Simko-2020-205-46	46	prase	pig	common animals and birds	1337	PIG
Simko-2020-205-47	47	riba	fish	common animals and birds	227	FISH
Simko-2020-205-48	48	skot	cattle	common animals and birds	1153	CATTLE
Simko-2020-205-49	49	svinja	sow	common animals and birds	1351	SOW (FEMALE PIG)
Simko-2020-205-50	50	svraka	magpie	common animals and birds	2039	MAGPIE
Simko-2020-205-51	51	tele	calf	common animals and birds	1989	CALF
Simko-2020-205-52	52	tur	aurochs	common animals and birds		
Simko-2020-205-53	53	vepăr	swine	common animals and birds	1337	PIG
Simko-2020-205-54	54	vălk	wolf	common animals and birds	522	WOLF
Simko-2020-205-55	55	vol	ox	common animals and birds	1169	OX
Simko-2020-205-56	56	vrana	crow	common animals and birds	913	CROW
Simko-2020-205-57	57	žrebec	stallion	common animals and birds	936	STALLION
Simko-2020-205-58	58	zmija	snake	common animals and birds	730	SNAKE
Simko-2020-205-59	59	zvjar	wild animal	common animals and birds	958	WILD ANIMAL
Simko-2020-205-60	60	jabălka	apple	common plants	1320	APPLE
Simko-2020-205-61	61	jagoda	strawberry	common plants	3138	STRAWBERRY
Simko-2020-205-62	62	breza	birch	common plants	1855	BIRCH
Simko-2020-205-63	63	bob	bean	common plants	832	BEAN
Simko-2020-205-64	64	buk	beech	common plants	1950	BEECH
Simko-2020-205-65	65	băz	elder	common plants		
Simko-2020-205-66	66	čereša	cherry	common plants	2765	CHERRY
Simko-2020-205-67	67	česăn	garlic	common plants	2368	GARLIC
Simko-2020-205-68	68	dărvo	tree	common plants	906	TREE
Simko-2020-205-69	69	dăb	oak	common plants	644	OAK
Simko-2020-205-70	70	ečmik	barley	common plants	932	BARLEY
Simko-2020-205-71	71	ela	fir	common plants	1915	FIR
Simko-2020-205-72	72	elha	alder	common plants		
Simko-2020-205-73	73	gabăr	hornbeam	common plants		
Simko-2020-205-74	74	kruša	pear	common plants	922	PEAR
Simko-2020-205-75	75	klen	maple	common plants	3248	MAPLE TREE
