ID	NUMBER	ENGLISH	VARIANTS	CONCEPTICON_ID	CONCEPTICON_GLOSS
Sims-2020-253-1	1	answer, reply (v.)	answer, reply (v.)	1275	ANSWER
Sims-2020-253-2	2	axe	axe⁷⁰	677	AXE
Sims-2020-253-3	3	be long	be long	1203	LONG
Sims-2020-253-4	4	be sour	be sour	1906	SOUR
Sims-2020-253-5	5	be thirsty	be thirsty	847	THIRSTY
Sims-2020-253-6	6	beard	beard	678	BEARD
Sims-2020-253-7	7	bee	bee⁴⁷	665	BEE
Sims-2020-253-8	8	bite	bite	1403	BITE
Sims-2020-253-9	9	bitter	bitter⁵⁶	887	BITTER
Sims-2020-253-10	10	black	black	163	BLACK
Sims-2020-253-11	11	blind	blind	1653	BLIND
Sims-2020-253-12	12	blood	blood	946	BLOOD
Sims-2020-253-13	13	bloom	bloom	3287	BLOOM
Sims-2020-253-14	14	blow	blow	176	BLOW (WITH MOUTH)
Sims-2020-253-15	15	bone	bone	1394	BONE
Sims-2020-253-16	16	bowl	bowl	1530	BOWL
Sims-2020-253-17	17	break (v.i., of rope)	break (v.i., of rope)	460	BREAK (OF ROPE)
Sims-2020-253-18	18	bridge	bridge	1011	BRIDGE
Sims-2020-253-19	19	bunch/bundle	bunch/bundle	1966	BUNCH
Sims-2020-253-20	20	bundle	bundle	2943	BUNDLE
Sims-2020-253-21	21	butterfly	butterfly	1791	BUTTERFLY
Sims-2020-253-22	22	buttocks	buttocks	834	BUTTOCKS
Sims-2020-253-23	23	cat	cat	1208	CAT
Sims-2020-253-24	24	cave	cave	1155	CAVE
Sims-2020-253-25	25	cave (mountain)	cave (mountain)		
Sims-2020-253-26	26	choke	choke	129	CHOKE
Sims-2020-253-27	27	chop	chop	155	CHOP
Sims-2020-253-28	28	circle	circle⁵⁸	1467	CIRCLE
Sims-2020-253-29	29	clear (of water)	clear (of water)	1147	PURE
Sims-2020-253-30	30	clear, clean	clear, clean		
Sims-2020-253-31	31	clear/clean	clear/clean		
Sims-2020-253-32	32	cloud	cloud³⁷	1489	CLOUD
Sims-2020-253-33	33	come	come	1446	COME
Sims-2020-253-34	34	copper (red; pure copper)	copper (red; pure copper)	1825	COPPER
Sims-2020-253-35	35	corpse	corpse⁶³	767	CORPSE
Sims-2020-253-36	36	cough	cough	879	COUGH
Sims-2020-253-37	37	cuckoo	cuckoo	2934	CUCKOO
Sims-2020-253-38	38	dance, jump	dance, jump	1879	DANCE
Sims-2020-253-39	39	dark	dark	706	DARK
Sims-2020-253-40	40	dark green	dark green	3795	DARK GREEN
Sims-2020-253-41	41	darkness	darkness	11	DARKNESS
Sims-2020-253-42	42	deaf	deaf	996	DEAF
Sims-2020-253-43	43	deity	deity⁴¹	3231	DEITY
