ID	NUMBER	FRENCH	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH
Smeltzer-1995-300-1	1	oeil	1248	EYE	eye
Smeltzer-1995-300-2	2	tête	1256	HEAD	head
Smeltzer-1995-300-3	3	dent	1380	TOOTH	tooth
Smeltzer-1995-300-4	4	langue	1205	TONGUE	tongue
Smeltzer-1995-300-5	5	nez	1221	NOSE	nose
Smeltzer-1995-300-6	6	oreille	1247	EAR	ear
Smeltzer-1995-300-7	7	cou	1333	NECK	neck
Smeltzer-1995-300-8	8	sein	1402	BREAST	breast
Smeltzer-1995-300-9	9	ongle	1258	FINGERNAIL	fingernail
Smeltzer-1995-300-10	10	ventre	1251	BELLY	belly
Smeltzer-1995-300-11	11	nombril	1838	NAVEL	navel
Smeltzer-1995-300-12	12	genou	1371	KNEE	knee
Smeltzer-1995-300-13	13	peau	763	SKIN	skin
Smeltzer-1995-300-14	14	plume	1201	FEATHER	feather
Smeltzer-1995-300-15	15	corne	1393	HORN (ANATOMY)	horn
Smeltzer-1995-300-16	16	queue	1220	TAIL	tail
Smeltzer-1995-300-17	17	oeuf	744	EGG	egg
Smeltzer-1995-300-18	18	lait	635	MILK	milk
Smeltzer-1995-300-19	19	homme	1554	MAN	man
Smeltzer-1995-300-20	20	femme	962	WOMAN	woman
Smeltzer-1995-300-21	21	pèr			father?
Smeltzer-1995-300-22	22	mari	1200	HUSBAND	husband
Smeltzer-1995-300-23	23	mariée	1266	BRIDE	bride
Smeltzer-1995-300-24	24	nom	1405	NAME	name
Smeltzer-1995-300-25	25	nuit	1233	NIGHT	night
Smeltzer-1995-300-26	26	lune	1313	MOON	moon
Smeltzer-1995-300-27	27	étoile	1430	STAR	star
Smeltzer-1995-300-28	28	soleil	1343	SUN	sun
Smeltzer-1995-300-29	29	nuage	1489	CLOUD	cloud
Smeltzer-1995-300-30	30	pluie	658	RAIN (PRECIPITATION)	rain
Smeltzer-1995-300-31	31	terre	1228	EARTH (SOIL)	earth
Smeltzer-1995-300-32	32	poussière	2	DUST	dust
Smeltzer-1995-300-33	33	pierre	857	STONE	stone
Smeltzer-1995-300-34	34	eau	948	WATER	water
Smeltzer-1995-300-35	35	feu	221	FIRE	fire
Smeltzer-1995-300-36	36	bois	1803	WOOD	wood
Smeltzer-1995-300-37	37	fumée	778	SMOKE (EXHAUST)	smoke
Smeltzer-1995-300-38	38	cendre	646	ASH	ash
Smeltzer-1995-300-39	39	poulet	1318	CHICKEN	chicken
Smeltzer-1995-300-40	40	vache	1007	COW	cow
Smeltzer-1995-300-41	41	chien	2009	DOG	dog
Smeltzer-1995-300-42	42	éléphant	1290	ELEPHANT	elephant
Smeltzer-1995-300-43	43	chèvre	1502	GOAT	goat
Smeltzer-1995-300-44	44	oiseau	937	BIRD	bird
Smeltzer-1995-300-45	45	serpent	730	SNAKE	snake
Smeltzer-1995-300-46	46	pou	1392	LOUSE	louse
Smeltzer-1995-300-47	47	arbre	906	TREE	tree
Smeltzer-1995-300-48	48	écorce	1204	BARK	bark (of tree)
Smeltzer-1995-300-49	49	feuille	628	LEAF	leaf
Smeltzer-1995-300-50	50	racine	670	ROOT	root
Smeltzer-1995-300-51	51	graisse	323	FAT (ORGANIC SUBSTANCE)	fat, grease
Smeltzer-1995-300-52	52	un	1493	ONE	one
Smeltzer-1995-300-53	53	deux	1498	TWO	two
Smeltzer-1995-300-54	54	trois	492	THREE	three
Smeltzer-1995-300-55	55	quatre	1500	FOUR	four
Smeltzer-1995-300-56	56	cinq	493	FIVE	five
Smeltzer-1995-300-57	57	marcher	1443	WALK	to walk
Smeltzer-1995-300-58	58	frapper	353	STRIKE	to strike
Smeltzer-1995-300-59	59	mordre	1403	BITE	to bite
Smeltzer-1995-300-60	60	laver (linge)	3434	WASH (CLOTHES)	to wash (clothes)
Smeltzer-1995-300-61	61	manger	1336	EAT	to eat
Smeltzer-1995-300-62	62	boire	1401	DRINK	to drink
Smeltzer-1995-300-63	63	vomir	1278	VOMIT	to vomit
Smeltzer-1995-300-64	64	sucer	1421	SUCK	to suck
Smeltzer-1995-300-65	65	cracher	1440	SPIT	to spit
Smeltzer-1995-300-66	66	souffler	175	BLOW (OF WIND)	to blow (of wind)
Smeltzer-1995-300-67	67	siffler	1025	WHISTLE	to whistle
Smeltzer-1995-300-68	68	dormir	1585	SLEEP	to sleep
Smeltzer-1995-300-69	69	pousser	1452	PUSH	to push
Smeltzer-1995-300-70	60	tirer	1455	PULL	to pull
Smeltzer-1995-300-71	71	lancer	1456	THROW	to throw
Smeltzer-1995-300-72	72	chanter	1261	SING	to sing
Smeltzer-1995-300-73	73	sentir			to feel / to smell / to taste
Smeltzer-1995-300-74	74	entendre	1408	HEAR	to hear
Smeltzer-1995-300-75	75	nager	1439	SWIM	to swim
Smeltzer-1995-300-76	76	s'asseoir	1649	SIT DOWN	to sit down
Smeltzer-1995-300-77	77	se coucher	215	LIE DOWN	to lie down
Smeltzer-1995-300-78	78	se lever	1512	RISE (ONESELF)	to rise (get up)
Smeltzer-1995-300-79	79	tomber	1280	FALL	to fall
Smeltzer-1995-300-80	80	verser	1487	POUR	to pour
Smeltzer-1995-300-81	81	rire	1355	LAUGH	to laugh
Smeltzer-1995-300-82	82	gratter			to scratch, scrape
Smeltzer-1995-300-83	83	aboyer	1206	BARKING	to bark
Smeltzer-1995-300-84	84	laver (qqch)	1453	WASH	to wash
Smeltzer-1995-300-85	85	tousser	879	COUGH	to cough
Smeltzer-1995-300-86	86	chaud	2272	HOT OR WARM	hot or warm
Smeltzer-1995-300-87	87	froid	1287	COLD	cold
Smeltzer-1995-300-88	88	rouge	156	RED	red
Smeltzer-1995-300-89	89	noir	163	BLACK	black
Smeltzer-1995-300-90	90	blanc	1335	WHITE	white
Smeltzer-1995-300-91	91	haute taille	3346	TALL (PERSON)	tall (of people)
Smeltzer-1995-300-92	92	petite taille	1645	SHORT	short (of people)
Smeltzer-1995-300-93	93	longue	1203	LONG	long
Smeltzer-1995-300-94	94	an / année	1226	YEAR	year
Smeltzer-1995-300-95	95	maison	1252	HOUSE	house
Smeltzer-1995-300-96	96	marmite	3653	COOKING POT	cooking pot
Smeltzer-1995-300-97	97	escabeau	2058	STOOL	stool
Smeltzer-1995-300-98	98	village	930	VILLAGE	village
Smeltzer-1995-300-99	99	corde	1218	ROPE	rope
Smeltzer-1995-300-100	100	couteau	1352	KNIFE	knife
Smeltzer-1995-300-101	101	coeur	1223	HEART	heart
Smeltzer-1995-300-102	102	foie	1224	LIVER	liver
Smeltzer-1995-300-103	103	intestins	1991	INTESTINES	intestines
Smeltzer-1995-300-104	104	urine	1142	URINE	urine
Smeltzer-1995-300-105	105	os	1394	BONE	bone
Smeltzer-1995-300-106	106	vent	960	WIND	wind
Smeltzer-1995-300-107	107	sentier	2252	PATH	path
Smeltzer-1995-300-108	108	montagne	639	MOUNTAIN	mountain
Smeltzer-1995-300-109	109	fleuve	666	RIVER	river
Smeltzer-1995-300-110	110	poisson	227	FISH	fish
Smeltzer-1995-300-111	111	tortue	112	TURTLE	turtle
Smeltzer-1995-300-112	112	lance	945	SPEAR	spear
Smeltzer-1995-300-113	113	guerre	935	WAR	war
Smeltzer-1995-300-114	114	animal	619	ANIMAL	animal
Smeltzer-1995-300-115	115	sel	1274	SALT	salt
Smeltzer-1995-300-116	116	humain	683	PERSON	person
Smeltzer-1995-300-117	117	semence	714	SEED	seed
Smeltzer-1995-300-118	118	venir	1446	COME	to come
Smeltzer-1995-300-119	119	voir	1409	SEE	to see
Smeltzer-1995-300-120	120	voler			to fly / to steal
