ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Smith-2017-680-1	1	above	1741	ABOVE
Smith-2017-680-2	2	adam's apple	802	ADAM'S APPLE
Smith-2017-680-3	3	aflame	1428	BURNING
Smith-2017-680-4	4	afraid	1419	FEAR (BE AFRAID)
Smith-2017-680-5	5	after	1685	AFTER
Smith-2017-680-6	6	age	1789	AGE
Smith-2017-680-7	7	agree	3643	AGREE
Smith-2017-680-8	8	alive	1422	BE ALIVE
Smith-2017-680-9	9	all	98	ALL
Smith-2017-680-10	10	alone	1964	ALONE
Smith-2017-680-11	11	already	2576	ALREADY
Smith-2017-680-12	12	always	1676	ALWAYS
Smith-2017-680-13	13	ancestors	1669	ANCESTORS
Smith-2017-680-14	14	and	1577	AND
Smith-2017-680-15	15	angry	1826	ANGRY
Smith-2017-680-16	16	animal	619	ANIMAL
Smith-2017-680-17	17	ankle	803	ANKLE
Smith-2017-680-18	18	annoyed	2223	BE ANGRY
Smith-2017-680-19	19	answer	1275	ANSWER
Smith-2017-680-20	20	ant	587	ANT
Smith-2017-680-21	21	ape, orangutan		
Smith-2017-680-22	22	armpit	1886	ARMPIT
Smith-2017-680-23	23	arrive	1387	ARRIVE
Smith-2017-680-24	24	ash	646	ASH
Smith-2017-680-25	25	ask	1309	ASK (INQUIRE)
Smith-2017-680-26	26	aunt	1272	AUNT
Smith-2017-680-27	27	baby	1289	BABY
Smith-2017-680-28	28	baby carrier	3926	BABY CARRIER
Smith-2017-680-29	29	back	1291	BACK
Smith-2017-680-30	30	bad	1292	BAD
Smith-2017-680-31	31	bait	2013	BAIT
Smith-2017-680-32	32	bamboo	1927	BAMBOO
Smith-2017-680-33	33	banana	868	BANANA
Smith-2017-680-34	34	banyan	346	BANYAN
Smith-2017-680-35	35	bark	1204	BARK
Smith-2017-680-36	36	barking deer	3152	MUNTJACS
Smith-2017-680-37	37	bathe	138	BATHE
Smith-2017-680-38	38	bear	1820	BEAR
Smith-2017-680-39	39	because	1157	BECAUSE
Smith-2017-680-40	40	become	1990	BECOME
Smith-2017-680-41	41	bee	665	BEE
Smith-2017-680-42	42	before	1882	BEFORE
Smith-2017-680-43	43	begin	1806	BEGIN
Smith-2017-680-44	44	behind	1686	BEHIND
Smith-2017-680-45	45	bent	297	CROOKED
Smith-2017-680-46	46	betel chew	3161	CHEW BETEL
Smith-2017-680-47	47	betel nut	217	BETELNUT
Smith-2017-680-48	48	between	689	BETWEEN
Smith-2017-680-49	49	big	1202	BIG
Smith-2017-680-50	50	binturong		
Smith-2017-680-51	51	bird	937	BIRD
Smith-2017-680-52	52	bite	1403	BITE
Smith-2017-680-53	53	bitter	887	BITTER
Smith-2017-680-54	54	black	163	BLACK
Smith-2017-680-55	55	blader	1746	BLADDER
Smith-2017-680-56	56	blind	1653	BLIND
Smith-2017-680-57	57	blink	1655	BLINK
Smith-2017-680-58	58	blood	946	BLOOD
Smith-2017-680-59	59	blow, as wind	175	BLOW (OF WIND)
Smith-2017-680-60	60	blow nose	2679	BLOW (WITH NOSE)
Smith-2017-680-61	61	blowpipe		
Smith-2017-680-62	62	blow, with mouth	176	BLOW (WITH MOUTH)
Smith-2017-680-63	63	boar	1348	BOAR (MALE PIG)
Smith-2017-680-64	64	body	1480	BODY
Smith-2017-680-65	65	body hair	189	HAIR (BODY)
Smith-2017-680-66	66	bone	1394	BONE
Smith-2017-680-67	67	bored		
Smith-2017-680-68	68	bowl	1530	BOWL
Smith-2017-680-69	69	brain	1583	BRAIN
Smith-2017-680-70	70	branch	1531	BRANCH
Smith-2017-680-71	71	brave	3	BRAVE
Smith-2017-680-72	72	breast	1402	BREAST
Smith-2017-680-73	73	breast feed	2472	SUCKLE (BREASTFEED, NURSE)
Smith-2017-680-74	74	breathe	1407	BREATHE
Smith-2017-680-75	75	bridge	1011	BRIDGE
Smith-2017-680-76	76	broom	245	BROOM
Smith-2017-680-77	77	burn	141	BURN (SOMETHING)
Smith-2017-680-78	78	burp	2789	BURP
Smith-2017-680-79	79	burry	1719	BURY
Smith-2017-680-80	80	but	3843	BUT
Smith-2017-680-81	81	butterfly	1791	BUTTERFLY
Smith-2017-680-82	82	buy	1869	BUY
Smith-2017-680-83	83	calf	1989	CALF
Smith-2017-680-84	84	call	1084	CALL
Smith-2017-680-85	85	can; able	972	BE ABLE
Smith-2017-680-86	86	canine		
Smith-2017-680-87	87	canoe	1970	CANOE
Smith-2017-680-88	88	capsize		
Smith-2017-680-89	89	carry as a backpack		
Smith-2017-680-90	90	carry as a handle		
Smith-2017-680-91	91	carry on the shoulder	413	CARRY ON SHOULDER
Smith-2017-680-92	92	carry under one arm	415	CARRY UNDER ARM
Smith-2017-680-93	93	cat	1208	CAT
Smith-2017-680-94	94	cataract		
Smith-2017-680-95	95	catch as a ball		
Smith-2017-680-96	96	centepede	1974	CENTIPEDE
Smith-2017-680-97	97	chair	1476	CHAIR
Smith-2017-680-98	98	cheek	1730	CHEEK
Smith-2017-680-99	99	chest	1592	CHEST
Smith-2017-680-100	100	chew	321	CHEW
