ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
SoHartmann-1988-280-1	1	(el.) bro.	1759	OLDER BROTHER
SoHartmann-1988-280-2	2	(el.) sist.	1758	OLDER SISTER
SoHartmann-1988-280-3	3	(not)yet	2577	YET
SoHartmann-1988-280-4	4	abdomen	1251	BELLY
SoHartmann-1988-280-5	5	all	98	ALL
SoHartmann-1988-280-6	6	already	2576	ALREADY
SoHartmann-1988-280-7	7	and	1577	AND
SoHartmann-1988-280-8	8	animal	619	ANIMAL
SoHartmann-1988-280-9	9	areca	217	BETELNUT
SoHartmann-1988-280-10	10	arrow	977	ARROW
SoHartmann-1988-280-11	11	ashes	646	ASH
SoHartmann-1988-280-12	12	at	1461	AT
SoHartmann-1988-280-13	13	back	1291	BACK
SoHartmann-1988-280-14	14	bad	1292	BAD
SoHartmann-1988-280-15	15	banana	868	BANANA
SoHartmann-1988-280-16	16	bark	1204	BARK
SoHartmann-1988-280-17	17	because	1157	BECAUSE
SoHartmann-1988-280-18	18	betel chew		
SoHartmann-1988-280-19	19	big	1202	BIG
SoHartmann-1988-280-20	20	bird	937	BIRD
SoHartmann-1988-280-21	21	bite	1403	BITE
SoHartmann-1988-280-22	22	black	163	BLACK
SoHartmann-1988-280-23	23	blood	946	BLOOD
SoHartmann-1988-280-24	24	blow	175	BLOW (OF WIND)
SoHartmann-1988-280-25	25	bone	1394	BONE
SoHartmann-1988-280-26	26	branch	1531	BRANCH
SoHartmann-1988-280-27	27	breath	870	BREATH
SoHartmann-1988-280-28	28	buffalo	934	BUFFALO
SoHartmann-1988-280-29	29	burn	2102	BURN
SoHartmann-1988-280-30	30	buy	1869	BUY
SoHartmann-1988-280-31	31	calf	1989	CALF
SoHartmann-1988-280-32	32	chest	1592	CHEST
SoHartmann-1988-280-33	33	chicken	1318	CHICKEN
SoHartmann-1988-280-34	34	child	2099	CHILD
SoHartmann-1988-280-35	35	claw	72	CLAW
SoHartmann-1988-280-36	36	clothing	1895	CLOTHES
SoHartmann-1988-280-37	37	cloud	1489	CLOUD
SoHartmann-1988-280-38	38	coconut	970	COCONUT
SoHartmann-1988-280-39	39	cold	1287	COLD
SoHartmann-1988-280-40	40	come	1446	COME
SoHartmann-1988-280-41	41	cook	1100	COOK (SOMETHING)
SoHartmann-1988-280-42	42	cooked rice	1191	COOKED RICE
SoHartmann-1988-280-43	43	cord	1218	ROPE
SoHartmann-1988-280-44	44	corn	506	MAIZE
SoHartmann-1988-280-45	45	count	1420	COUNT
SoHartmann-1988-280-46	46	cow	1007	COW
SoHartmann-1988-280-47	47	crossbow	3193	CROSSBOW
SoHartmann-1988-280-48	48	cut	1432	CUT
SoHartmann-1988-280-49	49	dance	1879	DANCE
SoHartmann-1988-280-50	50	day	1225	DAY (NOT NIGHT)
SoHartmann-1988-280-51	51	deer	1936	DEER
SoHartmann-1988-280-52	52	die	1494	DIE
SoHartmann-1988-280-53	53	different	2504	DIFFERENT
SoHartmann-1988-280-54	54	dig	1418	DIG
SoHartmann-1988-280-55	55	dirty	1230	DIRTY
SoHartmann-1988-280-56	56	dog	2009	DOG
SoHartmann-1988-280-57	57	drink	1401	DRINK
SoHartmann-1988-280-58	58	drum	908	DRUM
SoHartmann-1988-280-59	59	drunk	1463	DRUNK
SoHartmann-1988-280-60	60	dry	1398	DRY
SoHartmann-1988-280-61	61	duck	1360	DUCK
SoHartmann-1988-280-62	62	dull	379	BLUNT
SoHartmann-1988-280-63	63	dust	2	DUST
SoHartmann-1988-280-64	64	ear	1247	EAR
SoHartmann-1988-280-65	65	earth	1228	EARTH (SOIL)
SoHartmann-1988-280-66	66	eat	1336	EAT
SoHartmann-1988-280-67	67	egg	744	EGG
SoHartmann-1988-280-68	68	eight	1705	EIGHT
SoHartmann-1988-280-69	69	elephant	1290	ELEPHANT
SoHartmann-1988-280-70	70	elephant tusk	2495	ELEPHANT TUSK
