ID	NUMBER	DUTCH	ENGLISH	AUDITORY_MEAN	GUSTATORY_MEAN	OLFACTORY_MEAN	HAPTIC_MEAN	VISUAL_MEAN	PERCEPTUAL_DOMINANT	PERCEPTUAL_EXCLUSIVITY	AROUSAL_MEAN	DOMINANCE_MEAN	VALENCE_MEAN	CONCEPTICON_ID	CONCEPTICON_GLOSS
Speed-2017-485-1	1	aalbes	redcurrant	0.071428571	3.642857143	1.642857143	1.428571429	2.642857143	proeven	0.378787879	3.166666667	3.416666667	3.333333333		
Speed-2017-485-2	2	aap	monkey	3	0	0.333333333	1.333333333	4.266666667	zien	0.47761194	5.25	4.666666667	5.166666667	1350	MONKEY
Speed-2017-485-3	3	aardappel	potato	0	4.0625	2.125	2.4375	3.875	proeven	0.325	3.916666667	4.25	4.416666667	593	POTATO
Speed-2017-485-4	4	aardbei	strawberry	0	4.5	3.625	2.375	3.75	proeven	0.315789474	4.083333333	3.333333333	5.333333333	3138	STRAWBERRY
Speed-2017-485-5	5	aarde	earth	0.75	0.4375	2.25	3.25	3.8125	zien	0.321428571	3.833333333	5.25	5.083333333	1228	EARTH (SOIL)
Speed-2017-485-6	6	abrikoos	apricot	0.066666667	4.266666667	2.866666667	2.133333333	3.666666667	proeven	0.323076923	3.416666667	3.416666667	4.166666667	3730	APRICOT
Speed-2017-485-7	7	acacia	acacia	0	0.285714286	2	1	2.857142857	zien	0.465116279	2.583333333	3.75	4.75		
Speed-2017-485-8	8	afwasmiddel	detergent	0.2	0	3.2	0.866666667	3.533333333	zien	0.452991453	4.5	4.416666667	4.5		
Speed-2017-485-9	9	aktetas	briefcase	0.133333333	0	0.6	2.133333333	3.8	zien	0.57	3.666666667	4.333333333	4		
Speed-2017-485-10	10	alarm	alarm	4.8	0.133333333	0.333333333	0	2.2	horen	0.642857143	5.75	6.333333333	2.75		
Speed-2017-485-11	11	amandel	almond	0.066666667	4.533333333	1.8	2.133333333	2.933333333	proeven	0.389534884	3.416666667	3.333333333	4.083333333	3815	ALMOND
Speed-2017-485-12	12	ananas	pineapple	0	4.6	3.533333333	2.133333333	3.733333333	proeven	0.328571429	3.666666667	4.25	3.583333333	2440	PINEAPPLE
Speed-2017-485-13	13	anijs	anise	0.066666667	4.333333333	3.266666667	0.133333333	0.866666667	proeven	0.492307692	3.416666667	4.5	4.583333333		
Speed-2017-485-14	14	anker	anchor	0.1875	0	0	1.4375	4.125	zien	0.717391304	3.916666667	5	4.166666667	1870	ANCHOR
Speed-2017-485-15	15	appel	apple	1.066666667	4.4	1.866666667	2.4	3.733333333	proeven	0.247524752	4	3.666666667	5.416666667	1320	APPLE
Speed-2017-485-16	16	applaus	applause	4.533333333	0	0	1.466666667	2.866666667	horen	0.511278195	5.583333333	5.083333333	4.916666667		
Speed-2017-485-17	17	aubergine	eggplant	0	4.4	1.266666667	2.133333333	3.666666667	proeven	0.38372093	3.25	3.833333333	3.666666667	1146	AUBERGINE
Speed-2017-485-18	18	auto	car	3.733333333	0	1.8	2.8	4.066666667	zien	0.327956989	4.916666667	5.416666667	4.5	1111	CAR
Speed-2017-485-19	19	avocado	avocado	0.2	4.266666667	1.533333333	2	3.2	proeven	0.363095238	2.666666667	3.083333333	5	3725	AVOCADO
Speed-2017-485-20	20	azijn	vinegar	0.0625	3.6875	4.0625	0.4375	2.375	ruiken	0.376470588	4.166666667	5.083333333	3.333333333	985	VINEGAR
Speed-2017-485-21	21	baby	baby	2.666666667	0	1.2	2.133333333	4.266666667	zien	0.415584416	4.75	4.166666667	3.916666667	1289	BABY
Speed-2017-485-22	22	baksteen	brick	0.066666667	0	0.4	2.733333333	3.866666667	zien	0.547169811	3.583333333	4.833333333	3.583333333	1006	BRICK
Speed-2017-485-23	23	balloon	balloon	1.285714286	0.071428571	0.857142857	3.214285714	3.928571429	zien	0.41221374	4.25	3	5.5	3083	BALLOON
Speed-2017-485-24	24	banaan	banana	0.1875	4.625	3.375	2.375	3.3125	proeven	0.31981982	4	4.333333333	5.416666667	868	BANANA
Speed-2017-485-25	25	bank	bank	0.533333333	0.133333333	0.133333333	3.6	3.2	voelen	0.456140351	3.416666667	4.083333333	5	1284	BANK
Speed-2017-485-26	26	basilicum	basil	0.2	4.466666667	3.666666667	1.266666667	3.133333333	proeven	0.335078534	4	4.333333333	4.666666667		
Speed-2017-485-27	27	beer	bear	1.8	0.333333333	0.533333333	1.133333333	4.2	zien	0.483333333	4.166666667	4.916666667	4.75	1820	BEAR
Speed-2017-485-28	28	bekkens	basins	4.214285714	0	0	1.5	2.857142857	horen	0.491666667	4.416666667	4.416666667	3.333333333		
Speed-2017-485-29	29	bel	call	4.533333333	0	0	1.066666667	2	horen	0.596491228	5.416666667	5.5	3.833333333	2246	BELL
