ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	RUSSIAN	GLOSS
Starostin-2007-110-1	1212	WE	1	мы	we
Starostin-2007-110-2	1498	TWO	2	два	two
Starostin-2007-110-3	1209	I	3	я	I
Starostin-2007-110-4	1248	EYE	4	глаз	eye
Starostin-2007-110-5	1215	THOU	5	ты	thou
Starostin-2007-110-6	1235	WHO	6	кто	who
Starostin-2007-110-7	221	FIRE	7	огонь	fire
Starostin-2007-110-8	1205	TONGUE	8	язык	tongue
Starostin-2007-110-9	857	STONE	9	камень	stone
Starostin-2007-110-10	1405	NAME	10	имя	name
Starostin-2007-110-11	1277	HAND	11	рука	hand
Starostin-2007-110-12	1236	WHAT	12	что	what
Starostin-2007-110-13	1494	DIE	13	умирать	die
Starostin-2007-110-14	1223	HEART	14	сердце	heart
Starostin-2007-110-15	1401	DRINK	15	пить	drink
Starostin-2007-110-16	2009	DOG	16	собака	dog
Starostin-2007-110-17	1392	LOUSE	17	вошь	louse
Starostin-2007-110-18	1313	MOON	18	луна	moon
Starostin-2007-110-19	2128	CLAW OR NAIL	19	ноготь	claw (nail)
Starostin-2007-110-20	946	BLOOD	20	кровь	blood
Starostin-2007-110-21	1493	ONE	21	один	one
Starostin-2007-110-22	1380	TOOTH	22	зуб	tooth
Starostin-2007-110-23	1231	NEW	23	новый	new
Starostin-2007-110-24	1398	DRY	24	сухой	dry
Starostin-2007-110-25	1224	LIVER	25	печень	liver
Starostin-2007-110-26	1336	EAT	26	есть	eat
Starostin-2007-110-27	1220	TAIL	27	хвост	tail
Starostin-2007-110-28	1214	THIS	28	этот	this
Starostin-2007-110-29	1040	HAIR	29	волос	hair
Starostin-2007-110-30	948	WATER	30	вода	water
Starostin-2007-110-31	1221	NOSE	31	нос	nose
Starostin-2007-110-32	1240	NOT	32	не	not
Starostin-2007-110-33	674	MOUTH	33	рот	mouth
Starostin-2007-110-34	1429	FULL	34	полный	full
Starostin-2007-110-35	1247	EAR	35	ухо	ear
