ID	NUMBER	ENGLISH	RUSSIAN	SEMANTIC_LINKS	CONCEPTICON_ID	CONCEPTICON_GLOSS
Starostin-2017-401-1	1	AFRAID	БОЯТЬСЯ	HATE	3033	SCARED
Starostin-2017-401-2	2	ALL	ВСЕ	BE; GATHER; MANY	98	ALL
Starostin-2017-401-3	3	ANIMAL	ЖИВОТНОЕ (зверь)	DEER; MEAT	619	ANIMAL
Starostin-2017-401-4	4	ANSWER (vb.)	ОТВЕЧАТЬ	SAY; SPEAK	1275	ANSWER
Starostin-2017-401-5	5	ANT	МУРАВЕЙ		587	ANT
Starostin-2017-401-6	6	ARM	РУКА1	HAND; SHOULDER; SLEEVE	1673	ARM
Starostin-2017-401-7	7	ARMPIT	ПОДМЫШКА		1886	ARMPIT
Starostin-2017-401-8	8	ARRIVE	ПРИБЫВАТЬ	COME	1387	ARRIVE
Starostin-2017-401-9	9	ARROW	СТРЕЛА	BOW; SHOOT	977	ARROW
Starostin-2017-401-10	10	ASHES	ПЕПЕЛ (зола)	DUST, EARTH1	646	ASH
Starostin-2017-401-11	11	ASK	СПРАШИВАТЬ	HEAR	1309	ASK (INQUIRE)
Starostin-2017-401-12	12	AXE	ТОПОР	CUT	677	AXE
Starostin-2017-401-13	13	BACK1 (dorsum)	СПИНА	BACK2	1291	BACK
Starostin-2017-401-14	14	BACK2 (behind)	ЗАД (сзади)	BACK1; BUTTOCK	2323	BACK (PART)
Starostin-2017-401-15	15	BAD	ПЛОХОЙ	SMALL	1292	BAD
Starostin-2017-401-16	16	BARK1	КОРА	SHELL; SKIN	1204	BARK
Starostin-2017-401-17	17	BARK2 (of dog)	ЛАЯТЬ		1206	BARKING
Starostin-2017-401-18	18	BAT	ЛЕТУЧАЯ МЫШЬ	NIGHT; MOUSE	1793	BAT
Starostin-2017-401-19	19	BE	БЫТЬ	SIT	1579	BE
Starostin-2017-401-20	20	BEAK	КЛЮВ	CHIN; NOSE	73	BEAK
Starostin-2017-401-21	21	BEAR1 (child)	РОЖАТЬ	CARRY; CHILD	1195	GIVE BIRTH
Starostin-2017-401-22	22	BEARD	БОРОДА	CHIN; HAIR2	678	BEARD
