ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	ENGLISH
Swadesh-1950-215-1	1209	I	1	I
Swadesh-1950-215-2	1215	THOU	2	thou
Swadesh-1950-215-3	1211	HE	3	he
Swadesh-1950-215-4	1212	WE	4	we
Swadesh-1950-215-5	1213	YOU	5	ye
Swadesh-1950-215-6	1493	ONE	6	one
Swadesh-1950-215-7	1498	TWO	7	two
Swadesh-1950-215-8	492	THREE	8	three
Swadesh-1950-215-9	1500	FOUR	9	four
Swadesh-1950-215-10	493	FIVE	10	five
Swadesh-1950-215-11	1703	SIX	11	six
Swadesh-1950-215-12	1704	SEVEN	12	seven
Swadesh-1950-215-13	1705	EIGHT	13	eight
Swadesh-1950-215-14	1483	NINE	14	nine
Swadesh-1950-215-15	1515	TEN	15	ten
Swadesh-1950-215-16	1634	HUNDRED	16	hundred
Swadesh-1950-215-17	98	ALL	17	all
Swadesh-1950-215-18	619	ANIMAL	18	animal
Swadesh-1950-215-19	646	ASH	19	ashes
Swadesh-1950-215-20	1291	BACK	20	back
Swadesh-1950-215-21	1292	BAD	21	bad
Swadesh-1950-215-22	1204	BARK	22	bark
Swadesh-1950-215-23	1251	BELLY	23	belly
Swadesh-1950-215-24	1202	BIG	24	big
Swadesh-1950-215-25	163	BLACK	25	black
Swadesh-1950-215-26	946	BLOOD	26	blood
Swadesh-1950-215-27	1394	BONE	27	bone
Swadesh-1950-215-28	1759	OLDER BROTHER	28	brother (elder)
Swadesh-1950-215-29	1801	CHILD (DESCENDANT)	29	child (son or daughter)
Swadesh-1950-215-30	1489	CLOUD	30	cloud
Swadesh-1950-215-31	1287	COLD (OF TEMPERATURE)	31	cold
Swadesh-1950-215-32	1446	COME	32	come
Swadesh-1950-215-33	1839	CRY	33	cry (weep)
Swadesh-1950-215-34	1879	DANCE	34	dance
Swadesh-1950-215-35	1225	DAY (NOT NIGHT)	35	day
Swadesh-1950-215-36	2009	DOG	36	dog
Swadesh-1950-215-37	2	DUST	37	dust
Swadesh-1950-215-38	1247	EAR	38	ear
Swadesh-1950-215-39	1228	EARTH (SOIL)	39	earth
Swadesh-1950-215-40	1336	EAT	40	eat
Swadesh-1950-215-41	744	EGG	41	egg
Swadesh-1950-215-42	1248	EYE	42	eye
Swadesh-1950-215-43	1406	FAR	43	far
Swadesh-1950-215-44	1217	FATHER	44	father
Swadesh-1950-215-45	221	FIRE	45	fire
Swadesh-1950-215-46	239	FLOWER	46	flower
Swadesh-1950-215-47	249	FOG	47	fog
Swadesh-1950-215-48	1301	FOOT	48	foot
Swadesh-1950-215-49	1035	GOOD	49	good
Swadesh-1950-215-50	606	GRASS	50	grass
Swadesh-1950-215-51	1425	GREEN	51	green
Swadesh-1950-215-52	1040	HAIR	52	hair
Swadesh-1950-215-53	1277	HAND	53	hand
Swadesh-1950-215-54	1256	HEAD	54	head
Swadesh-1950-215-55	1223	HEART	55	heart
Swadesh-1950-215-56	136	HERE	56	here
Swadesh-1950-215-57	1433	HIT	57	hit (with fist)
Swadesh-1950-215-58	1435	HUNT	58	hunt
Swadesh-1950-215-59	1200	HUSBAND	59	husband
Swadesh-1950-215-60	617	ICE	60	ice
Swadesh-1950-215-61	624	LAKE	61	lake
Swadesh-1950-215-62	1355	LAUGH	62	laugh
Swadesh-1950-215-63	628	LEAF	63	leaf
Swadesh-1950-215-64	244	LEFT	64	left hand
