ID	NUMBER	GLOSS	OMEGAWIKI
Swadesh-1950-215-1	1	I	5450
Swadesh-1950-215-2	2	thou	5459
Swadesh-1950-215-3	3	he	5454
Swadesh-1950-215-4	4	we	5455
Swadesh-1950-215-5	5	ye	5456
Swadesh-1950-215-6	6	one	6244
Swadesh-1950-215-7	7	two	6248
Swadesh-1950-215-8	8	three	156096
Swadesh-1950-215-9	9	four	6253
Swadesh-1950-215-10	10	five	156104
Swadesh-1950-215-11	11	six	7003
Swadesh-1950-215-12	12	seven	7004
Swadesh-1950-215-13	13	eight	7005
Swadesh-1950-215-14	14	nine	6193
Swadesh-1950-215-15	15	ten	6312
Swadesh-1950-215-16	16	hundred	6685
Swadesh-1950-215-17	17	all	1173416
Swadesh-1950-215-18	18	animal	194
Swadesh-1950-215-19	19	ashes	264
Swadesh-1950-215-20	20	back	5648
Swadesh-1950-215-21	21	bad	5650
Swadesh-1950-215-22	22	bark	5439
Swadesh-1950-215-23	23	belly	5516
Swadesh-1950-215-24	24	big	5437
Swadesh-1950-215-25	25	black	1341728
Swadesh-1950-215-26	26	blood	411
Swadesh-1950-215-27	27	bone	5983
Swadesh-1950-215-28	28	brother (elder)	7130
Swadesh-1950-215-29	29	child (son or daughter)	7413
Swadesh-1950-215-30	30	cloud	623
Swadesh-1950-215-31	31	cold	5639
Swadesh-1950-215-32	32	come	6056
Swadesh-1950-215-33	33	cry (weep)	7709
Swadesh-1950-215-34	34	dance	8136
Swadesh-1950-215-35	35	day	5477
Swadesh-1950-215-36	36	dog	966
Swadesh-1950-215-37	37	dust	1009
Swadesh-1950-215-38	38	ear	5510
Swadesh-1950-215-39	39	earth	5481
Swadesh-1950-215-40	40	eat	5827
Swadesh-1950-215-41	41	egg	340828
Swadesh-1950-215-42	42	eye	5511
Swadesh-1950-215-43	43	far	5997
Swadesh-1950-215-44	44	father	5464
Swadesh-1950-215-45	45	fire	1446
Swadesh-1950-215-46	46	flower	1487
Swadesh-1950-215-47	47	fog	1502
Swadesh-1950-215-48	48	foot	5672
Swadesh-1950-215-49	49	good	443659
Swadesh-1950-215-50	50	grass	1675
Swadesh-1950-215-51	51	green	6032
Swadesh-1950-215-52	52	hair	446278
Swadesh-1950-215-53	53	hand	5616
Swadesh-1950-215-54	54	head	5527
Swadesh-1950-215-55	55	heart	5475
Swadesh-1950-215-56	56	here	1287831
Swadesh-1950-215-57	57	hit (with fist)	6044
Swadesh-1950-215-58	58	hunt	6046
Swadesh-1950-215-59	59	husband	5432
Swadesh-1950-215-60	60	ice	1837
Swadesh-1950-215-61	61	lake	2061
Swadesh-1950-215-62	62	laugh	5876
Swadesh-1950-215-63	63	leaf	2124
Swadesh-1950-215-64	64	left hand	1499731
Swadesh-1950-215-65	65	leg	5665
Swadesh-1950-215-66	66	liver	5476
Swadesh-1950-215-67	67	long	5438
Swadesh-1950-215-68	68	louse	5980
Swadesh-1950-215-69	69	man	6397
Swadesh-1950-215-70	70	meat	2300
Swadesh-1950-215-71	71	mother	5463
Swadesh-1950-215-72	72	mountain	2421
Swadesh-1950-215-73	73	mouth	332000
Swadesh-1950-215-74	74	name	5995
Swadesh-1950-215-75	75	near	869106
Swadesh-1950-215-76	76	neck	5823
Swadesh-1950-215-77	77	night	5486
Swadesh-1950-215-78	78	nose	5471
Swadesh-1950-215-79	79	person	333730
Swadesh-1950-215-80	80	rain	3100
	80	rain	5523
Swadesh-1950-215-81	81	red	1333710
Swadesh-1950-215-82	82	right hand	436024
Swadesh-1950-215-83	83	road (trail)	3258
Swadesh-1950-215-84	84	root	3269
Swadesh-1950-215-85	85	rope	5465
Swadesh-1950-215-86	86	salt	5599
Swadesh-1950-215-87	87	sand	3305
Swadesh-1950-215-88	88	short	6746
Swadesh-1950-215-89	89	sing	5540
Swadesh-1950-215-90	90	sister (elder)	7129
Swadesh-1950-215-91	91	skin	3430
Swadesh-1950-215-92	92	sky	7039
Swadesh-1950-215-93	93	small	5509
Swadesh-1950-215-94	94	smoke	3451
Swadesh-1950-215-95	95	snake	3388
Swadesh-1950-215-96	96	snow	3455
Swadesh-1950-215-97	97	speak	6656
Swadesh-1950-215-98	98	spear (war)	408915
Swadesh-1950-215-99	99	star	6041
Swadesh-1950-215-100	100	stone	3633
Swadesh-1950-215-101	101	sun	5850
Swadesh-1950-215-102	102	swim	6050
Swadesh-1950-215-103	103	tail	5468
Swadesh-1950-215-104	104	that	1149393
Swadesh-1950-215-105	105	there	858309
Swadesh-1950-215-106	106	this	5458
Swadesh-1950-215-107	107	tongue	5440
Swadesh-1950-215-108	108	tooth	5946
Swadesh-1950-215-109	109	tree	3854
Swadesh-1950-215-110	110	warm	5485
Swadesh-1950-215-111	111	water	4118
Swadesh-1950-215-112	112	what	5491
Swadesh-1950-215-113	113	where	5492
Swadesh-1950-215-114	114	white	5825
Swadesh-1950-215-115	115	who	5490
Swadesh-1950-215-116	116	wife	5429
Swadesh-1950-215-117	117	wind	4160
Swadesh-1950-215-118	118	woman	4165
Swadesh-1950-215-119	119	year	5478
Swadesh-1950-215-120	120	yellow	6031
Swadesh-1950-215-121	121	they	352331
Swadesh-1950-215-122	122	twenty	7013
Swadesh-1950-215-123	123	and	6464
Swadesh-1950-215-124	124	at	6078
Swadesh-1950-215-125	125	because	514093
Swadesh-1950-215-126	126	berry	384870
Swadesh-1950-215-127	127	bird	400
Swadesh-1950-215-128	128	bite	5993
Swadesh-1950-215-129	129	blow (wind)	1375415
Swadesh-1950-215-130	130	breathe	5998
Swadesh-1950-215-131	131	burn	6039
Swadesh-1950-215-132	132	clothing	8254
Swadesh-1950-215-133	133	cook	479132
Swadesh-1950-215-134	134	count	6026
Swadesh-1950-215-135	135	cut	6043
Swadesh-1950-215-136	136	die	6245
Swadesh-1950-215-137	137	dig	6024
Swadesh-1950-215-138	138	dirty	5483
Swadesh-1950-215-139	139	drink	5991
Swadesh-1950-215-140	140	dry	5989
Swadesh-1950-215-141	141	dull	6322
Swadesh-1950-215-142	142	fall	5622
Swadesh-1950-215-143	143	fat	5624
Swadesh-1950-215-144	144	fear	6025
Swadesh-1950-215-145	145	feather	5436
Swadesh-1950-215-146	146	few	5500
Swadesh-1950-215-147	147	fight	6030
Swadesh-1950-215-148	148	fish	1460
Swadesh-1950-215-149	149	float	6457
Swadesh-1950-215-150	150	flow	961244
