ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	ENGLISH
Swadesh-1952-200-1	98	ALL	1	all (of a number)
Swadesh-1952-200-2	1577	AND	2	and
Swadesh-1952-200-3	619	ANIMAL	3	animal
Swadesh-1952-200-4	646	ASH	4	ashes
Swadesh-1952-200-5	1461	AT	5	at
Swadesh-1952-200-6	1291	BACK	6	back (person's)
Swadesh-1952-200-7	1292	BAD	7	bad (deleterious or unsuitable)
Swadesh-1952-200-8	1204	BARK	8	bark
Swadesh-1952-200-9	1157	BECAUSE	9	because
Swadesh-1952-200-10	1251	BELLY	10	belly
Swadesh-1952-200-11	904	BERRY	11	berry (or fruit)
Swadesh-1952-200-12	1202	BIG	12	big
Swadesh-1952-200-13	937	BIRD	13	bird
Swadesh-1952-200-14	1403	BITE	14	to bite
Swadesh-1952-200-15	163	BLACK	15	black
Swadesh-1952-200-16	946	BLOOD	16	blood
Swadesh-1952-200-17	175	BLOW (OF WIND)	17	to blow (of wind)
Swadesh-1952-200-18	1394	BONE	18	bone
Swadesh-1952-200-19	1407	BREATHE	19	to breathe
Swadesh-1952-200-20	1428	BURNING	20	to burn (intrans)
Swadesh-1952-200-21	1304	CHILD (YOUNG HUMAN)	21	child (young person rather than as relationship term)
Swadesh-1952-200-22	1489	CLOUD	22	cloud
Swadesh-1952-200-23	2483	COLD (OF WEATHER)	23	cold (of weather)
Swadesh-1952-200-24	1446	COME	24	to come
Swadesh-1952-200-25	1420	COUNT	25	to count
Swadesh-1952-200-26	1432	CUT	26	to cut
Swadesh-1952-200-27	1225	DAY (NOT NIGHT)	27	day (opposite of night rather than time measure)
Swadesh-1952-200-28	1494	DIE	28	to die
Swadesh-1952-200-29	1418	DIG	29	to dig
Swadesh-1952-200-30	1230	DIRTY	30	dirty
Swadesh-1952-200-31	2009	DOG	31	dog
Swadesh-1952-200-32	1401	DRINK	32	to drink
Swadesh-1952-200-33	1398	DRY	33	dry (substance)
Swadesh-1952-200-34	379	BLUNT	34	dull (knife)
Swadesh-1952-200-35	2	DUST	35	dust
Swadesh-1952-200-36	1247	EAR	36	ear
Swadesh-1952-200-37	1228	EARTH (SOIL)	37	earth (soil)
Swadesh-1952-200-38	1336	EAT	38	to eat
Swadesh-1952-200-39	744	EGG	39	egg
Swadesh-1952-200-40	1248	EYE	40	eye
Swadesh-1952-200-41	1280	FALL	41	to fall (drop rather than topple)
Swadesh-1952-200-42	1406	FAR	42	far
Swadesh-1952-200-43	323	FAT (ORGANIC SUBSTANCE)	43	fat (organic substance)
Swadesh-1952-200-44	1217	FATHER	44	father
Swadesh-1952-200-45	1419	FEAR (BE AFRAID)	45	to fear
