ID	NUMBER	ENGLISH	SW007	SW100	LJ	URA100	c1	c2	c3	c4	c5	CONCEPTICON_ID	CONCEPTICON_GLOSS
Syrjaenen-2013-1	1	all	X	X	–	–	X	X	–	–	–	98	ALL
Syrjaenen-2013-2	2	and	X	–	–	–	X	X	X	X	X	1577	AND
Syrjaenen-2013-3	3	animal	X	–	–	–	X	X	X	X	X	619	ANIMAL
Syrjaenen-2013-4	4	ashes	X	X	X	–	X	X	–	–	–	646	ASH
Syrjaenen-2013-5	5	at	X	–	–	X	–	–	–	–	–	1461	AT
Syrjaenen-2013-6	6	back	X	–	X	–	X	X	–	–	–	1291	BACK
Syrjaenen-2013-7	7	bad	X	–	–	–	X	X	X	X	X	1292	BAD
Syrjaenen-2013-8	8	bark	X	X	–	–	X	X	–	–	–	1204	BARK
Syrjaenen-2013-9	9	because	X	–	–	X	–	–	–	–	–	1157	BECAUSE
Syrjaenen-2013-10	10	belly	X	X	–	–	X	–	–	–	–	1251	BELLY
Syrjaenen-2013-11	11	big	X	X	X	–	X	X	X	X	–	1202	BIG
Syrjaenen-2013-12	12	bird	X	X	X	–	X	X	–	–	–	937	BIRD
Syrjaenen-2013-13	13	bite	X	X	X	–	X	–	–	–	–	1403	BITE
Syrjaenen-2013-14	14	black	X	X	X	X	–	–	–	–	–	163	BLACK
Syrjaenen-2013-15	15	blood	X	X	X	X	–	–	–	–	–	946	BLOOD
Syrjaenen-2013-16	16	blow	X	–	X	X	–	–	–	–	–	175	BLOW (OF WIND)
Syrjaenen-2013-17	17	bone	X	X	X	X	–	–	–	–	–	1394	BONE
Syrjaenen-2013-18	18	breast	X	X	X	–	X	–	–	–	–	1402	BREAST
Syrjaenen-2013-19	19	breathe	X	–	–	–	X	–	–	–	–	1407	BREATHE
Syrjaenen-2013-20	20	burn	X	X	X	–	X	–	–	–	–	2102	BURN
Syrjaenen-2013-21	21	child	X	–	–	–	X	X	–	–	–	2099	CHILD
Syrjaenen-2013-22	22	claw	X	X	–	X	–	–	–	–	–	72	CLAW
Syrjaenen-2013-23	23	cloud	X	X	–	X	–	–	–	–	–	1489	CLOUD
Syrjaenen-2013-24	24	cold	X	X	–	X	–	–	–	–	–	1287	COLD
Syrjaenen-2013-25	25	come	X	X	X	X	–	–	–	–	–	1446	COME
Syrjaenen-2013-26	26	count	X	–	–	–	X	X	X	X	X	1420	COUNT
Syrjaenen-2013-27	27	cut	X	–	–	–	X	–	–	–	–	1432	CUT
Syrjaenen-2013-28	28	day	X	–	–	X	–	–	–	–	–	1225	DAY (NOT NIGHT)
Syrjaenen-2013-29	29	die	X	X	–	X	–	–	–	–	–	1494	DIE
Syrjaenen-2013-30	30	dig	X	–	–	–	X	–	–	–	–	1418	DIG
Syrjaenen-2013-31	31	dirty	X	–	–	–	–	–	–	–	–	1230	DIRTY
Syrjaenen-2013-32	32	dog	X	X	X	X	–	–	–	–	–	2009	DOG
Syrjaenen-2013-33	33	drink	X	X	X	–	X	–	–	–	–	1401	DRINK
Syrjaenen-2013-34	34	dry	X	X	–	X	–	–	–	–	–	1398	DRY
Syrjaenen-2013-35	35	dull	X	–	–	–	X	X	–	–	–	379	BLUNT
Syrjaenen-2013-36	36	dust	X	–	–	–	X	X	–	–	–	2	DUST
Syrjaenen-2013-37	37	ear	X	X	X	X	–	–	–	–	–	1247	EAR
Syrjaenen-2013-38	38	earth	X	X	X	X	–	–	–	–	–	1228	EARTH (SOIL)
Syrjaenen-2013-39	39	eat	X	X	X	X	–	–	–	–	–	1336	EAT
Syrjaenen-2013-40	40	egg	X	X	X	X	–	–	–	–	–	744	EGG
Syrjaenen-2013-41	41	eye	X	X	X	X	–	–	–	–	–	1248	EYE
Syrjaenen-2013-42	42	fall	X	–	X	–	X	–	–	–	–	1280	FALL
Syrjaenen-2013-43	43	far	X	–	X	–	X	–	–	–	–	1406	FAR
Syrjaenen-2013-44	44	fat (n.)	X	X	–	–	X	X	X	X	–	323	FAT (ORGANIC SUBSTANCE)
Syrjaenen-2013-45	45	father	X	–	–	–	X	–	–	–	–	1217	FATHER
Syrjaenen-2013-46	46	fear	X	–	–	X	–	–	–	–	–	1419	FEAR (BE AFRAID)
Syrjaenen-2013-47	47	feather	X	X	–	–	X	–	–	–	–	1201	FEATHER
Syrjaenen-2013-48	48	few	X	–	–	–	X	X	X	X	–	1242	FEW
Syrjaenen-2013-49	49	fight	X	–	–	X	–	–	–	–	–	1423	FIGHT
Syrjaenen-2013-50	50	fire	X	X	X	X	–	–	–	–	–	221	FIRE
Syrjaenen-2013-51	51	fish	X	X	X	X	–	–	–	–	–	227	FISH
Syrjaenen-2013-52	52	five	X	–	–	X	–	–	–	–	–	493	FIVE
Syrjaenen-2013-53	53	float	X	–	–	X	–	–	–	–	–	1574	FLOAT
Syrjaenen-2013-54	54	flow	X	–	–	–	X	X	–	–	–	2003	FLOW
Syrjaenen-2013-55	55	flower	X	–	–	–	X	X	X	X	X	239	FLOWER
Syrjaenen-2013-56	56	fly (v.)	X	X	–	X	–	–	–	–	–	1441	FLY (MOVE THROUGH AIR)
Syrjaenen-2013-57	57	fog	X	–	–	–	X	X	X	X	X	249	FOG
Syrjaenen-2013-58	58	foot	X	X	X	X	–	–	–	–	–	1301	FOOT
Syrjaenen-2013-59	59	four	X	–	–	X	–	–	–	–	–	1500	FOUR
Syrjaenen-2013-60	60	freeze	X	–	–	X	–	–	–	–	–	1431	FREEZE
Syrjaenen-2013-61	61	(fruit), berry	X	–	–	–	X	–	–	–	–	904	BERRY
Syrjaenen-2013-62	62	full	X	X	–	–	–	–	–	–	–	1429	FULL
Syrjaenen-2013-63	63	give	X	X	X	–	X	X	–	–	–	1447	GIVE
Syrjaenen-2013-64	64	good	X	X	X	–	X	–	–	–	–	1035	GOOD
Syrjaenen-2013-65	65	grass	X	–	–	–	X	X	X	X	X	606	GRASS
Syrjaenen-2013-66	66	green	X	X	–	–	X	X	X	X	X	1425	GREEN
Syrjaenen-2013-67	67	gut	X	–	–	X	–	–	–	–	–	1334	GUTS
Syrjaenen-2013-68	68	hair	X	X	X	–	X	–	–	–	–	1040	HAIR
Syrjaenen-2013-69	69	hand	X	X	X	X	–	–	–	–	–	1277	HAND
Syrjaenen-2013-70	70	he, she	X	–	X	X	–	–	–	–	–	262	HE OR SHE OR IT
Syrjaenen-2013-71	71	head	X	X	–	X	–	–	–	–	–	1256	HEAD
Syrjaenen-2013-72	72	hear	X	X	X	X	–	–	–	–	–	1408	HEAR
Syrjaenen-2013-73	73	heart	X	X	–	X	–	–	–	–	–	1223	HEART
Syrjaenen-2013-74	74	heavy	X	–	X	X	–	–	–	–	–	1210	HEAVY
Syrjaenen-2013-75	75	here	X	–	–	X	–	–	–	–	–	136	HERE
Syrjaenen-2013-76	76	hit	X	–	X	–	X	X	–	–	–	1433	HIT
Syrjaenen-2013-77	77	hold	X	–	–	X	–	–	–	–	–	1448	HOLD
Syrjaenen-2013-78	78	horn	X	X	X	–	X	–	–	–	–	1393	HORN (ANATOMY)
Syrjaenen-2013-79	79	how	X	–	–	X	–	–	–	–	–	1239	HOW
Syrjaenen-2013-80	80	hunt	X	–	–	–	X	X	X	X	X	1435	HUNT
Syrjaenen-2013-81	81	husband	X	–	–	–	X	X	X	X	X	1200	HUSBAND
Syrjaenen-2013-82	82	I	X	X	X	X	–	–	–	–	–	1209	I
Syrjaenen-2013-83	83	ice	X	–	–	X	–	–	–	–	–	617	ICE
Syrjaenen-2013-84	84	if	X	–	–	–	X	X	X	X	X	1459	IF
Syrjaenen-2013-85	85	in	X	–	X	–	X	X	X	–	–	1460	IN
Syrjaenen-2013-86	86	kill	X	X	–	X	–	–	–	–	–	1417	KILL
Syrjaenen-2013-87	87	knee	X	X	X	X	–	–	–	–	–	1371	KNEE
Syrjaenen-2013-88	88	know	X	X	X	–	X	X	X	–	–	1410	KNOW (SOMETHING)
Syrjaenen-2013-89	89	lake	X	–	–	X	–	–	–	–	–	624	LAKE
Syrjaenen-2013-90	90	laugh	X	–	X	X	–	–	–	–	–	1355	LAUGH
Syrjaenen-2013-91	91	leaf	X	X	–	–	X	–	–	–	–	628	LEAF
Syrjaenen-2013-92	92	left	X	–	X	–	X	X	X	–	–	244	LEFT
Syrjaenen-2013-93	93	leg	X	–	X	X	–	–	–	–	–	1297	LEG
Syrjaenen-2013-94	94	lie down	X	X	–	–	X	X	–	–	–	215	LIE DOWN
Syrjaenen-2013-95	95	live	X	–	–	X	–	–	–	–	–	1422	BE ALIVE
Syrjaenen-2013-96	96	liver	X	X	X	–	X	–	–	–	–	1224	LIVER
Syrjaenen-2013-97	97	long	X	X	X	–	X	–	–	–	–	1203	LONG
Syrjaenen-2013-98	98	louse	X	X	X	–	X	–	–	–	–	1392	LOUSE
Syrjaenen-2013-99	99	man	X	X	–	–	X	X	X	–	–	1554	MAN
Syrjaenen-2013-100	100	many	X	X	–	–	X	X	X	–	–	1198	MANY
Syrjaenen-2013-101	101	meat, flesh	X	X	X	–	X	–	–	–	–	2615	FLESH OR MEAT
Syrjaenen-2013-102	102	moon	X	X	–	–	X	–	–	–	–	1313	MOON
Syrjaenen-2013-103	103	mother	X	–	–	–	X	X	X	X	X	1216	MOTHER
Syrjaenen-2013-104	104	mountain	X	X	–	–	X	–	–	–	–	639	MOUNTAIN
Syrjaenen-2013-105	105	mouth	X	X	X	X	–	–	–	–	–	674	MOUTH
Syrjaenen-2013-106	106	name	X	X	X	–	X	–	–	–	–	1405	NAME
Syrjaenen-2013-107	107	narrow	X	–	–	–	X	–	–	–	–	1267	NARROW
Syrjaenen-2013-108	108	near	X	–	–	X	–	–	–	–	–	1942	NEAR
Syrjaenen-2013-109	109	neck	X	X	X	–	X	–	–	–	–	1333	NECK
Syrjaenen-2013-110	110	new	X	X	X	X	–	–	–	–	–	1231	NEW
Syrjaenen-2013-111	111	night	X	X	X	X	–	–	–	–	–	1233	NIGHT
Syrjaenen-2013-112	112	nose	X	X	X	X	–	–	–	–	–	1221	NOSE
Syrjaenen-2013-113	113	not	X	X	X	X	–	–	–	–	–	1240	NOT
Syrjaenen-2013-114	114	old	X	–	X	–	X	X	X	–	–	1229	OLD
Syrjaenen-2013-115	115	one	X	X	X	X	–	–	–	–	–	1493	ONE
Syrjaenen-2013-116	116	other	X	–	–	X	–	–	–	–	–	197	OTHER
Syrjaenen-2013-117	117	person	X	X	–	–	X	X	–	–	–	683	PERSON
Syrjaenen-2013-118	118	play	X	–	–	–	X	X	X	X	X	1413	PLAY
Syrjaenen-2013-119	119	pull	X	–	–	–	X	–	–	–	–	1455	PULL
