ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	RANK	GLOSS	BORROWED SCORE	AGE SCORE	ANALYZABILITY SCORE	REPRESENTATION SCORE	COMPOSITE SCORE	OMEGAWIKI
Tadmor-2009-100-1	411a173c-5b15-430d-bc25-7eed20d9ffe9	FIRE	1	1	fire	0.965	0.939	0.995	1.000	0.901	1446
Tadmor-2009-100-2	23cad4b2-107d-4e9d-87e1-713d85f21963	NOSE	2	2	nose	0.973	0.906	0.980	1.000	0.864	5471
Tadmor-2009-100-3	17bc76ba-b8bf-4d2c-be51-d77112ad336f	GO	3	3	to go	0.963	0.887	0.974	1.000	0.832	334831
Tadmor-2009-100-4	a39512d8-34d4-4169-9610-af884b65ff3e	WATER	4	4	water	0.909	0.926	0.987	1.000	0.831	4118
Tadmor-2009-100-5	c780cfa8-2b82-4235-b292-b58476612151	MOUTH	5	5	mouth	0.920	0.904	0.982	1.000	0.817	332000
Tadmor-2009-100-6	19f99c4f-8a24-42a1-9c6d-348f2294ff82	TONGUE	6	6	tongue	0.934	0.908	0.954	1.000	0.808	5440
Tadmor-2009-100-7	74c3ae87-eedb-4fb4-b783-7ec6084c0a8f	BLOOD	7	7	blood	0.904	0.890	1.000	1.000	0.805	411
Tadmor-2009-100-8	f1890d9d-8600-47a2-b9fd-1c48f9ce96df	BONE	8	7	bone	0.918	0.904	0.971	1.000	0.805	5983
Tadmor-2009-100-9	c33cdbcf-39e4-49d9-9c9d-543712621ccf	THOU	9	9	2sg pronoun	0.958	0.893	0.933	1.000	0.798	5459
Tadmor-2009-100-10	bede7711-8bc5-4142-ab29-b97434997e96	ROOT	10	9	root	0.944	0.869	0.973	1.000	0.798	3269
Tadmor-2009-100-11	1764034a-a958-48a1-9f99-4e2b6ff20de8	COME	11	11	to come	0.968	0.876	0.940	1.000	0.796	6056
Tadmor-2009-100-12	d57d9f65-33f1-4b7c-b5ec-3569fcae4f3b	BREAST	12	12	breast	0.947	0.856	0.967	1.000	0.783	5992
Tadmor-2009-100-13	8fd80d81-e7a4-4f66-8928-7fe20056c5b1	RAIN, PRECIPATION	13	13	rain	0.916	0.898	0.950	1.000	0.782	3100
Tadmor-2009-100-14	85e709f0-ac32-4599-b3bc-9efc76dedd10	I	14	14	1sg pronoun	0.970	0.875	0.936	0.976	0.776	5450
Tadmor-2009-100-15	c3cd9831-cd53-42a7-b588-c09381f05247	NAME	15	15	name	0.915	0.886	0.955	1.000	0.774	5995
Tadmor-2009-100-16	1172db7f-7426-42e0-abe6-566f6651c232	LOUSE	16	15	louse	0.950	0.861	0.946	1.000	0.774	5980
Tadmor-2009-100-17	125b6ea3-f571-4b36-b571-d6c26cf83ba0	WING	17	17	wing	0.884	0.904	0.968	1.000	0.773	5528
Tadmor-2009-100-18	1bab3615-7fa1-4a5c-9f4d-6ece5c9a7a88	MEAT	18	18	flesh/meat	0.877	0.892	0.986	1.000	0.771	2300
Tadmor-2009-100-19	bd32f65c-1521-4c5d-a925-e9e20fa3fc5d	ARM	19	19	arm/hand	0.881	0.903	0.966	1.000	0.768	6894
	2dd51808-bdfd-4f54-b3fd-8379b3728b62	HAND	19	19	arm/hand	0.881	0.903	0.966	1.000	0.768	5616
Tadmor-2009-100-20	c791016d-1ce0-418b-ab9a-8ee3510fbafe	FLY, INSECT	20	20	fly	0.948	0.858	0.942	1.000	0.766	6261
Tadmor-2009-100-21	1f380ab5-cb55-4949-be87-abfc3ca51b7a	NIGHT	21	20	night	0.931	0.880	0.934	1.000	0.766	5486
Tadmor-2009-100-22	18f41536-cbfc-4018-ab18-ff26d663e5ad	EAR	22	22	ear	0.896	0.888	0.961	1.000	0.764	5510
Tadmor-2009-100-23	634d1187-3a1f-422a-b471-7bd362440466	NECK	23	23	neck	0.895	0.881	0.964	1.000	0.760	5823
Tadmor-2009-100-24	9b06d7c3-00b9-420c-9afe-8b195cca6bbb	FAR	24	23	far	0.944	0.850	0.948	1.000	0.760	5997
Tadmor-2009-100-25	3419e390-bff4-4b5e-aab5-599b208a22e2	DO	25	25	to do/make	0.947	0.877	0.914	1.000	0.759	351006
	7c82e4d8-315d-4072-a914-f1f0f903e27b	MAKE	25	25	to do/make	0.947	0.877	0.914	1.000	0.759	339200
Tadmor-2009-100-26	6792e86a-6c0d-4944-987c-2df545a94ef4	HOUSE	26	26	house	0.893	0.876	0.969	1.000	0.758	5517
Tadmor-2009-100-27	f86fc8f4-648a-49c9-bf2e-f94a62e1aa47	STONE	27	27	stone/rock	0.895	0.882	0.958	1.000	0.756	3633
	7341f24e-cfed-422d-abab-2ca9a3bd27f2	ROCK	27	27	stone/rock	0.895	0.882	0.958	1.000	0.756	3266
Tadmor-2009-100-28	7480e5bd-eec5-4b4d-9015-ee1b204db7e8	BITTER	28	28	bitter	0.975	0.872	0.889	1.000	0.755	375671
Tadmor-2009-100-29	85efc208-f0ba-4b39-9d21-62d82b05f7d7	SAY	29	28	to say	0.972	0.837	0.928	1.000	0.755	6075
Tadmor-2009-100-30	930fe9a4-75f0-43b3-83af-80f7edab2d5b	TOOTH	30	28	tooth	0.882	0.877	0.975	1.000	0.755	5946
Tadmor-2009-100-31	680c0e51-ffd9-4f1e-8922-79573f551a0d	HAIR	31	31	hair	0.944	0.871	0.917	1.000	0.754	446278
Tadmor-2009-100-32	366935cc-961d-4bac-a50b-578041591387	BIG	32	32	big	0.889	0.864	0.980	1.000	0.753	5437
