ID	NUMBER	ENGLISH	CATEGORY	STABILITY_SWADESH_1955	STABILITY	CONCEPTICON_ID	CONCEPTICON_GLOSS
Thomas-1960-1968-1	1	and	correlatives	57	86	1577	AND
Thomas-1960-1968-2	2	because	correlatives	25	43	1157	BECAUSE
Thomas-1960-1968-3	3	far	location	74	86	1406	FAR
Thomas-1960-1968-4	4	rightside	location	51	100	1019	RIGHT
Thomas-1960-1968-5	5	here	location	49	71	136	HERE
Thomas-1960-1968-6	6	leftside	location	33	100	244	LEFT
Thomas-1960-1968-7	7	come	position & movement	100	71	1446	COME
Thomas-1960-1968-8	8	sit	position & movement	100	64	1416	SIT
Thomas-1960-1968-9	9	give	position & movement	85	71	1447	GIVE
Thomas-1960-1968-10	10	fly	position & movement	82	71	1441	FLY (MOVE THROUGH AIR)
Thomas-1960-1968-11	11	stand	position & movement	77	64	1442	STAND
Thomas-1960-1968-12	12	hold	position & movement	69	50	1448	HOLD
Thomas-1960-1968-13	13	fall	position & movement	67	64	2234	FALL (SNOW, RAIN)
Thomas-1960-1968-14	14	swim	position & movement	59	100	1439	SWIM
Thomas-1960-1968-15	15	turn	position & movement	59	43	1445	TURN (SOMETHING)
Thomas-1960-1968-16	16	walk	position & movement	59	50	1443	WALK
Thomas-1960-1968-17	17	throw	position & movement	49	50	1456	THROW
Thomas-1960-1968-18	18	pull	position & movement	43	71	1455	PULL
Thomas-1960-1968-19	19	float	position & movement	40	43	1574	FLOAT
Thomas-1960-1968-20	20	flow	position & movement	33	36	2003	FLOW
Thomas-1960-1968-21	21	lie	position & movement	33	64	1411	LIE (REST)
Thomas-1960-1968-22	22	push	position & movement	17	71	1452	PUSH
Thomas-1960-1968-23	23	wash	manipulations	83	57	1453	WASH
Thomas-1960-1968-24	24	split	manipulations	75	86	1437	SPLIT
Thomas-1960-1968-25	25	tie	manipulations	74	50	1917	TIE
Thomas-1960-1968-26	26	hit	manipulations	69	57	1433	HIT
Thomas-1960-1968-27	27	wipe	manipulations	58	86	1454	WIPE
Thomas-1960-1968-28	28	cut	manipulations	56	43	1432	CUT
Thomas-1960-1968-29	29	rub	manipulations	50	21	1449	RUB
Thomas-1960-1968-30	30	dig	manipulations	42	71	1418	DIG
Thomas-1960-1968-31	31	scratch	manipulations	31	57	1436	SCRATCH
Thomas-1960-1968-32	32	year	time periods	100	86	1226	YEAR
Thomas-1960-1968-33	33	day	time periods	85	57	1225	DAY (NOT NIGHT)
Thomas-1960-1968-34	34	night	time periods	82	100	1233	NIGHT
Thomas-1960-1968-35	35	one	numerals	100	86	1493	ONE
Thomas-1960-1968-36	36	two	numerals	100	71	1498	TWO
Thomas-1960-1968-37	37	three	numerals	100	100	492	THREE
Thomas-1960-1968-38	38	four	numerals	100	100	1500	FOUR
Thomas-1960-1968-39	39	five	numerals	100	100	493	FIVE
Thomas-1960-1968-40	40	six	numerals	100	100	1703	SIX
Thomas-1960-1968-41	41	seven	numerals	100	100	1704	SEVEN
Thomas-1960-1968-42	42	eight	numerals	100	100	1705	EIGHT
Thomas-1960-1968-43	43	nine	numerals	100	100	1483	NINE
Thomas-1960-1968-44	44	ten	numerals	100	100	1515	TEN
Thomas-1960-1968-45	45	all	quantitatives	92	71	98	ALL
Thomas-1960-1968-46	46	long	size	82	29	1203	LONG
Thomas-1960-1968-47	47	big	size	48	50	1202	BIG
Thomas-1960-1968-48	48	small	size	41	28	1246	SMALL
Thomas-1960-1968-49	49	short	size	25	64	1645	SHORT
Thomas-1960-1968-50	50	ice(hail)	natural objects & phenomena	100	25	617	ICE
Thomas-1960-1968-51	51	salt	natural objects & phenomena	100	100	1274	SALT
Thomas-1960-1968-52	52	star	natural objects & phenomena	100	71	1430	STAR
Thomas-1960-1968-53	53	sand	natural objects & phenomena	100	57	671	SAND
Thomas-1960-1968-54	54	wind	natural objects & phenomena	100	79	960	WIND
Thomas-1960-1968-55	55	sky	natural objects & phenomena	92	86	1732	SKY
Thomas-1960-1968-56	56	cloud	natural objects & phenomena	83	71	1489	CLOUD
Thomas-1960-1968-57	57	rain	natural objects & phenomena	83	100	658	RAIN (PRECIPITATION)
Thomas-1960-1968-58	58	water	natural objects & phenomena	83	100	948	WATER
Thomas-1960-1968-59	59	sea	natural objects & phenomena	82	42	1474	SEA
Thomas-1960-1968-60	60	smoke	natural objects & phenomena	81	100	778	SMOKE (EXHAUST)
Thomas-1960-1968-61	61	sand	natural objects & phenomena	68	57	671	SAND
Thomas-1960-1968-62	62	stone	natural objects & phenomena	68	10	857	STONE
Thomas-1960-1968-63	63	mountain	natural objects & phenomena	67	43	639	MOUNTAIN
Thomas-1960-1968-64	64	ashes	natural objects & phenomena	66	64	646	ASH
Thomas-1960-1968-65	65	earth	natural objects & phenomena	66	86	1228	EARTH (SOIL)
Thomas-1960-1968-66	66	dust	natural objects & phenomena	56	43	2	DUST
Thomas-1960-1968-67	67	lake	natural objects & phenomena	56	57	624	LAKE
Thomas-1960-1968-68	68	river	natural objects & phenomena	51	57	666	RIVER
Thomas-1960-1968-69	69	fire	natural objects & phenomena	33	86	221	FIRE
Thomas-1960-1968-70	70	bark	plants & plant parts	100	50	1204	BARK
Thomas-1960-1968-71	71	leaf	plants & plant parts	100	100	628	LEAF
