ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	CATEGORY	GENDER	GERMAN	ENGLISH	PART_OF	INSTANCE_OF	NARROWER
Tjuka-2020-171-1	1	802	ADAM'S APPLE	human	male	Adamsapfel	adam's apple			
Tjuka-2020-171-2	2	803	ANKLE	human/animal	male/female	Knöchel	ankle			
Tjuka-2020-171-3	3	1935	ANUS	human/animal	male/female	After	anus			
Tjuka-2020-171-4	4	1673	ARM	human/animal	male/female	Arm	arm	ARMPIT,ELBOW,LOWER ARM,UPPER ARM		
Tjuka-2020-171-5	5	1886	ARMPIT	human/animal	male/female	Achselhöhle	armpit			
Tjuka-2020-171-6	6	1925	ARTERY	human/animal	male/female	Arterie	artery			
Tjuka-2020-171-7	7	1291	BACK	human/animal	male/female	Rücken	back	HUMP,LOWER BACK,UPPER BACK		
Tjuka-2020-171-8	8	523	BACK OF HEAD	human/animal	male/female	Hinterkopf	back of head			
Tjuka-2020-171-9	9	73	BEAK	animal	male/female	Schnabel	beak			
Tjuka-2020-171-10	10	678	BEARD	human	male	Bart	beard			
Tjuka-2020-171-11	11	1251	BELLY	human/animal	male/female	Bauch	belly	NAVEL		
Tjuka-2020-171-12	12	1746	BLADDER	human/animal	male/female	Blase	bladder			
Tjuka-2020-171-13	13	525	BLOOD VESSEL	human/animal	male/female	Blutgef?	blood vessel		ARTERY,VEIN	
Tjuka-2020-171-14	14	1480	BODY	human/animal	male/female	Körper	body			
Tjuka-2020-171-15	15	2213	BODY PART	human/animal	male/female	Körperteil	body part			
Tjuka-2020-171-16	16	1394	BONE	human/animal	male/female	Knochen	bone			
Tjuka-2020-171-17	17	1583	BRAIN	human/animal	male/female	Gehirn	brain			
Tjuka-2020-171-18	18	1402	BREAST	human	female	Brüste	breast			
Tjuka-2020-171-19	19	2810	BREASTBONE	human/animal	male/female	Brustbein	breastbone			
Tjuka-2020-171-20	20	834	BUTTOCKS	human	male/female	Gesäß	buttocks			
Tjuka-2020-171-21	21	498	CALF OF LEG	human	male/female	Wade	calf of leg			
Tjuka-2020-171-22	22	1730	CHEEK	human/animal	male/female	Wange	cheek			
Tjuka-2020-171-23	23	1592	CHEST	human/animal	male/female	Brust	chest	BREAST,BREASTBONE,NIPPLE		
Tjuka-2020-171-24	24	1510	CHIN	human/animal	male/female	Kinn	chin			
Tjuka-2020-171-25	25	3257	CLITORIS	human/animal	female	Klitoris	clitoris			
Tjuka-2020-171-26	26	1994	COLLARBONE	human/animal	male/female	Schlüsselbein	collarbone			
Tjuka-2020-171-27	27	1247	EAR	human/animal	male/female	Ohr	ear	EARLOBE		
Tjuka-2020-171-28	28	18	EARLOBE	human	male/female	Ohrläppchen	earlobe			
Tjuka-2020-171-29	29	981	ELBOW	human/animal	male/female	Ellbogen	elbow			
Tjuka-2020-171-30	30	1248	EYE	human/animal	male/female	Auge	eye	EYEBALL,EYELASH,EYELID,PUPIL		
Tjuka-2020-171-31	31	3807	EYEBALL	human/animal	male/female	Augapfel	eyeball			
Tjuka-2020-171-32	32	1173	EYEBROW	human	male/female	Augenbraue	eyebrow			
Tjuka-2020-171-33	33	1540	EYELASH	human/animal	male/female	Wimper	eyelash			
Tjuka-2020-171-34	34	17	EYELID	human/animal	male/female	Lid	eyelid			
Tjuka-2020-171-35	35	1560	FACE	human/animal	male/female	Gesicht	face	BEAK,BEARD,CHEEK,CHIN,EYEBROW,FOREHEAD,MOUSTACHE,MOUTH,SNOUT,EYE,NOSE		
Tjuka-2020-171-36	36	1201	FEATHER	animal	male/female	Feder	feather			
Tjuka-2020-171-37	37	1303	FINGER	human/animal	male/female	Finger	finger	FINGERNAIL,FINGERTIP	FOREFINGER,LITTLE FINGER,MIDDLE FINGER,THUMB	
Tjuka-2020-171-38	38	1258	FINGERNAIL	human	male/female	Fingernagel	fingernail			
Tjuka-2020-171-39	39	2773	FINGERTIP	human/animal	male/female	Fingerspitze	fingertip			
Tjuka-2020-171-40	40	3799	FISHBONE	animal	male/female	Gräte	fishbone			
Tjuka-2020-171-41	41	2259	FLESH	human/animal	male/female	Fleisch	flesh			
Tjuka-2020-171-42	42	1301	FOOT	human	male/female	Fuß	foot	HEEL,INSTEP,SOLE (FOOT),TOE		
Tjuka-2020-171-43	43	577	FOREFINGER	human/animal	male/female	Zeigefinger	forefinger			
Tjuka-2020-171-44	44	123	FOREHEAD	human/animal	male/female	Stirn	forehead			
Tjuka-2020-171-45	45	442	FRONT TOOTH (INCISOR)	human/animal	male/female	Frontzähne	font tooth			
Tjuka-2020-171-46	46	580	FUR	animal	male/female	Fell	fur			PELT
Tjuka-2020-171-47	47	3372	GALL BLADDER	human/animal	male/female	Gallenblase	gall bladder			
Tjuka-2020-171-48	48	198	GENITALIA	human/animal	male/female	Geschlechtsorgane	genitalia	SCROTUM,VULVA,PENIS		
Tjuka-2020-171-49	49	139	GUMS	human/animal	male/female	Zahnfleisch	gums			
Tjuka-2020-171-50	50	1334	GUTS	human/animal	male/female	Eingeweide	guts		INTESTINES	
Tjuka-2020-171-51	51	1040	HAIR	human	male/female	Haar	hair		HAIR (BODY),HAIR (HEAD)	
Tjuka-2020-171-52	52	189	HAIR (BODY)	human	male/female	Körperbehaarung	body hair		PUBIC HAIR	
Tjuka-2020-171-53	53	2648	HAIR (HEAD)	human	male/female	Haar	hair			
Tjuka-2020-171-54	54	1277	HAND	human/animal	male/female	Hand	hand	FINGER,KNUCKLE,PALM OF HAND	LEFT HAND,RIGHT HAND	
Tjuka-2020-171-55	55	1256	HEAD	human/animal	male/female	Kopf	head	BACK OF HEAD,BRAIN,EAR,HAIR,HORN (ANATOMY),SKULL,TEMPLES		
Tjuka-2020-171-56	56	1223	HEART	human/animal	male/female	Herz	heart			
Tjuka-2020-171-57	57	980	HEEL	human	male/female	Ferse	heel			
Tjuka-2020-171-58	58	1745	HIP	human/animal	male/female	Hüfte	hip	HIP BONE		
Tjuka-2020-171-59	59	2820	HIP BONE	human/animal	male/female	Hüftknochen	hip bone			
Tjuka-2020-171-60	60	152	HOOF	animal	male/female	Huf	hoof			
Tjuka-2020-171-61	61	1393	HORN (ANATOMY)	animal	male/female	Horn	horn			
Tjuka-2020-171-62	62	534	HUMP	human/animal	male/female	Buckel	hump			
Tjuka-2020-171-63	63	3736	INSTEP	human	male/female	Spann	instep			
Tjuka-2020-171-64	64	1991	INTESTINES	human/animal	male/female	Darm	intestines			
Tjuka-2020-171-65	65	798	JAW	human/animal	male/female	Kiefer	jaw			
Tjuka-2020-171-66	66	999	JOINT	human/animal	male/female	Gelenk	joint			
Tjuka-2020-171-67	67	489	KIDNEY	human/animal	male/female	Niere	kidney			
Tjuka-2020-171-68	68	1371	KNEE	human	male/female	Knie	knee			
Tjuka-2020-171-69	69	2824	KNUCKLE	human/animal	male/female	Fingerknöchel	knuckle			
Tjuka-2020-171-70	70	3263	LAP	human	male/female	Schoß	lap			
Tjuka-2020-171-71	71	3714	LARYNX	human/animal	male/female	Kehlkopf	larynx			
Tjuka-2020-171-72	72	2182	LEFT HAND	human	male/female	linke Hand	left hand			
Tjuka-2020-171-73	73	1297	LEG	human/animal	male/female	Bein	leg	KNEE,LAP,LOWER LEG,UPPER LEG (THIGH)		
Tjuka-2020-171-74	74	478	LIP	human/animal	male/female	Lippe	lip			
Tjuka-2020-171-75	75	2774	LITTLE FINGER	human	male/female	kleiner Finger	pinky finger			
Tjuka-2020-171-76	76	1224	LIVER	human/animal	male/female	Leber	liver		PIG LIVER	
Tjuka-2020-171-77	77	187	LOIN	human/animal	male/female	Lende	loin			
Tjuka-2020-171-78	78	444	LONG HAIR	human/animal	male/female	langes Haar	long hair			
Tjuka-2020-171-79	79	446	LOWER ARM	human/animal	male/female	Unterarm	lower arm			
Tjuka-2020-171-80	80	3613	LOWER BACK	human/animal	male/female	unterer Rücken	lower back			
Tjuka-2020-171-81	81	447	LOWER LEG	human/animal	male/female	Unterschenkel	lower leg	CALF OF LEG,SHIN		
Tjuka-2020-171-82	82	688	LUNG	human/animal	male/female	Lunge	lung			
Tjuka-2020-171-83	83	1918	MANE	animal	male/female	Mähne	mane		HORSE MANE	
Tjuka-2020-171-84	84	3387	MIDDLE FINGER	human	male/female	Mittelfinger	middle finger			
Tjuka-2020-171-85	85	1049	MOLAR TOOTH	human/animal	male/female	Backenzahn	molar tooth			
Tjuka-2020-171-86	86	1165	MOUSTACHE	human	male	Schnurrbart	moustache			
Tjuka-2020-171-87	87	674	MOUTH	human/animal	male/female	Mund	mouth	GUMS,JAW,LIP,ORAL CAVITY,PALATE,TONGUE,TOOTH,UVULA,TUSK		
Tjuka-2020-171-88	88	1004	MUSCLE	human/animal	male/female	Muskel	muscle			
Tjuka-2020-171-89	89	1347	NAPE (OF NECK)	human/animal	male/female	Nacken	nape			
Tjuka-2020-171-90	90	1838	NAVEL	human/animal	male/female	Nabel	navel			
Tjuka-2020-171-91	91	1333	NECK	human/animal	male/female	Hals	neck	NAPE (OF NECK),THROAT		
Tjuka-2020-171-92	92	2626	NERVE	human/animal	male/female	Nerv	nerve			
Tjuka-2020-171-93	93	796	NIPPLE	human/animal	male/female	Brustwarze	nipple			
Tjuka-2020-171-94	94	1221	NOSE	human/animal	male/female	Nase	nose	NOSTRIL		
Tjuka-2020-171-95	95	1178	NOSTRIL	human/animal	male/female	Nasenloch	nostril			
Tjuka-2020-171-96	96	2674	ORAL CAVITY	human/animal	male/female	Mundhöhle	oral cavity			
Tjuka-2020-171-97	97	3716	OVARY	human/animal	female	Eierstock	ovary			
Tjuka-2020-171-98	98	540	PALATE	human/animal	male/female	Gaumen	palate			
Tjuka-2020-171-99	99	1183	PALM OF HAND	human	male/female	Handfläche	palm of hand			
Tjuka-2020-171-100	100	3252	PANCREAS	human/animal	male/female	Bauchspeicheldr?se	pancreas			
Tjuka-2020-171-101	101	1222	PENIS	human/animal	male	Penis	penis			
Tjuka-2020-171-102	102	3713	PHARYNX	human/animal	male/female	Rachen	pharynx			
Tjuka-2020-171-103	103	2778	PIG LIVER	animal	female	Schweineleber	pig liver			
Tjuka-2020-171-104	104	2777	PIG TONGUE	animal	female	Schweinezunge	pig tongue			
Tjuka-2020-171-105	105	3388	PLACENTA	human/animal	female	Plazenta	placenta			
Tjuka-2020-171-106	106	36	PUBIC HAIR	human	male/female	Schamhaar	pubic hair			
Tjuka-2020-171-107	107	1658	PUPIL	human/animal	male/female	Pupille	pupil			
Tjuka-2020-171-108	108	801	RIB	human/animal	male/female	Rippe	rib			
Tjuka-2020-171-109	109	2183	RIGHT HAND	human	male/female	rechte Hand	right hand			
Tjuka-2020-171-110	110	2834	SCROTUM	human/animal	male	Hodensack	scrotum	TESTICLES		
Tjuka-2020-171-111	111	186	SHIN	human/animal	male/female	Schienbein	shin			
Tjuka-2020-171-112	112	1482	SHOULDER	human/animal	male/female	Schulter	shoulder	SHOULDERBLADE		
Tjuka-2020-171-113	113	172	SHOULDERBLADE	human/animal	male/female	Schulterblatt	shoulderblade			
Tjuka-2020-171-114	114	3344	SIDE (BODY)	human/animal	male/female	Körperseite	side body			
Tjuka-2020-171-115	115	2668	SKELETON	human/animal	male/female	Skelett	skeleton			
Tjuka-2020-171-116	116	763	SKIN	human/animal	male/female	Haut	skin	SKIN (ANIMAL),SKIN (HUMAN)		
Tjuka-2020-171-117	117	2613	SKIN (HUMAN)	human	male/female	Haut	skin			
Tjuka-2020-171-118	118	1605	SKULL	human/animal	male/female	Schädel	skull			
Tjuka-2020-171-119	119	2666	SOLE (FOOT)	human/animal	male/female	Fußsohle	sole			
Tjuka-2020-171-120	120	805	SPINE	human/animal	male/female	Wirbelsäule	spine			
Tjuka-2020-171-121	121	1744	SPLEEN	human/animal	male/female	Milz	spleen			
Tjuka-2020-171-122	122	3798	STINGER	animal	male/female	Stachel	stinger			
Tjuka-2020-171-123	123	819	STOMACH	human/animal	male/female	Magen	stomach			
Tjuka-2020-171-124	124	1220	TAIL	animal	male/female	Schwanz	tail			
Tjuka-2020-171-125	125	1604	TEMPLES	human/animal	male/female	Schläfen	temples			
Tjuka-2020-171-126	126	1137	TENDON	human/animal	male/female	Sehne	tendon			
Tjuka-2020-171-127	127	797	TESTICLES	human/animal	male	Hoden	testicles			
Tjuka-2020-171-128	128	1346	THROAT	human/animal	male/female	Kehle	throat	ADAM'S APPLE,LARYNX		
Tjuka-2020-171-129	129	1781	THUMB	human/animal	male/female	Daumen	thumb			
Tjuka-2020-171-130	130	443	TIP (OF TONGUE)	human/animal	male/female	Zungenspitze	tip of tongue			
Tjuka-2020-171-131	131	1389	TOE	human/animal	male/female	Zeh	toe	TOENAIL		
Tjuka-2020-171-132	132	2662	TOENAIL	human	male/female	Zehennagel	toenail			
Tjuka-2020-171-133	133	1205	TONGUE	human/animal	male/female	Zunge	tongue	TIP (OF TONGUE)	PIG TONGUE	
Tjuka-2020-171-134	134	1380	TOOTH	human/animal	male/female	Zahn	tooth		FRONT TOOTH (INCISOR),MOLAR TOOTH	
Tjuka-2020-171-135	135	2667	TORSO	human	male/female	Oberkörper	torso			
Tjuka-2020-171-136	136	154	UDDER	animal	female	Euter	udder			
Tjuka-2020-171-137	137	2663	UMBILICAL CORD	human/animal	female	Nabelschnur	umbilical cord			
Tjuka-2020-171-138	138	431	UPPER ARM	human/animal	male/female	Oberarm	upper arm			
Tjuka-2020-171-139	139	445	UPPER BACK	human/animal	male/female	oberer Rücken	upper back			
Tjuka-2020-171-140	140	471	UPPER LEG (THIGH)	human/animal	male/female	Oberschenkel	upper leg			
Tjuka-2020-171-141	141	2293	UVULA	human/animal	male/female	Gaumenzäpfchen	uvula			
Tjuka-2020-171-142	142	1836	VAGINA	human/animal	female	Vagina	vagina			
Tjuka-2020-171-143	143	1924	VEIN	human/animal	male/female	Vene	vein			
Tjuka-2020-171-144	144	1837	VULVA	human	female	Vulva	vulva	CLITORIS		
Tjuka-2020-171-145	145	1681	WAIST	human	male/female	Taille	waist			
Tjuka-2020-171-146	146	1257	WING	animal	male/female	Flügel	wing			
Tjuka-2020-171-147	147	804	WOMB	human/animal	female	Gebärmutter	womb	OVARY		
Tjuka-2020-171-148	148	799	WRIST	human/animal	male/female	Handgelenk	wrist			
Tjuka-2020-171-149	149	72	CLAW	animal	male/female	Kralle	claw		CRAB CLAW	
Tjuka-2020-171-150	150	2812	CRAB CLAW	animal	male/female	Schere	pincers (on a crab)			
Tjuka-2020-171-151	151	2495	ELEPHANT TUSK	animal	male/female	Elefantenstoßzahn	elephant tusk			
Tjuka-2020-171-152	152	598	SHELL	animal	male/female	Schale	shell			
Tjuka-2020-171-153	153	3678	ELEPHANT TRUNK	animal	male/female	Elefantenrüssel	elephant trunk			
Tjuka-2020-171-154	154	2614	SKIN (ANIMAL)	animal	male/female	Haut	skin			
Tjuka-2020-171-155	155	3280	TUSK	animal	male/female	Stoßzahn	tusk		ELEPHANT TUSK	
Tjuka-2020-171-156	156	213	FIN	animal	male/female	Flosse	fin			
Tjuka-2020-171-157	157	2965	PAW	animal	male/female	Pfote	paw	CLAW		
Tjuka-2020-171-158	158	2121	ARM OR HAND	human/animal	male/female	Arm/Hand	arm/hand			ARM,HAND
Tjuka-2020-171-159	159	2114	BELLY OR STOMACH	human/animal	male/female	Bauch/Magen	belly/stomach			BELLY,STOMACH
Tjuka-2020-171-160	160	2128	CLAW OR NAIL	human/animal	male/female	Kralle/Nagel	claw/nail			CLAW,FINGERNAIL OR TOENAIL
Tjuka-2020-171-161	161	2381	FEATHER OR FUR OR HAIR	human/animal	male/female	Feder/Fell/Haar	feather/fur/hair			FEATHER,FUR,HAIR,HAIR OR FUR
Tjuka-2020-171-162	162	2120	FINGER OR TOE	human/animal	male/female	Finger/Zeh	finger/toe			FINGER,TOE
Tjuka-2020-171-163	163	1896	FINGERNAIL OR TOENAIL	human	male/female	Fingernagel/Fußnagel	fingernail/toenail			FINGERNAIL,TOENAIL
Tjuka-2020-171-164	164	2098	FOOT OR LEG	human/animal	male/female	Fuß/Bein	foot/leg			FOOT,LEG
Tjuka-2020-171-165	165	2436	GUTS OR HEART	human/animal	male/female	Eingeweide/Herz	guts/heart			GUTS,HEART
Tjuka-2020-171-166	166	2107	HAIR OR FOREHEAD	human	male/female	Haar/Stirn	hair/forehead			HAIR,FOREHEAD
Tjuka-2020-171-167	167	2678	HAIR OR FUR	human/animal	male/female	Haar/Fell	hair/fur			HAIR,FUR,HAIR (BODY)
Tjuka-2020-171-168	168	2200	SNOUT	animal	male/female	Schnauze	snout			
Tjuka-2020-171-169	169	3232	PELT	animal	male/female	Pelz	pelt			
Tjuka-2020-171-170	170	3326	LEATHER OR HIDE	animal	male/female	Leder/Tierhaut	leather/hide			LEATHER
Tjuka-2020-171-171	171	629	LEATHER	animal	male/female	Leder	leather			
