ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Trask-2000-15-1	1	I/me	1209	I
Trask-2000-15-2	2	two/pair	1498	TWO
Trask-2000-15-3	3	thou/thee	1215	THOU
Trask-2000-15-4	4	who/what	2147	WHO OR WHAT
Trask-2000-15-5	5	tongue	1205	TONGUE
Trask-2000-15-6	6	name	1405	NAME
Trask-2000-15-7	7	eye	1248	EYE
Trask-2000-15-8	8	heart	1223	HEART
Trask-2000-15-9	9	tooth	1380	TOOTH
Trask-2000-15-10	10	no/not	2279	NO OR NOT
Trask-2000-15-11	11	fingernail/toenail	1896	FINGERNAIL OR TOENAIL
Trask-2000-15-12	12	louse/nit	2280	LOUSE OR NIT
Trask-2000-15-13	13	tear(drop)	1651	TEAR (OF EYE)
Trask-2000-15-14	14	water	948	WATER
Trask-2000-15-15	15	dead	1625	DEAD
