ID	NUMBER	ENGLISH	GLOSS_IN_SOURCE	CONCEPTICON_ID	CONCEPTICON_GLOSS	BUCK_1949_1110
Tryon-1995-1310-1	01.100	WORLD	WORLD	965	WORLD	Buck-1949-1110-1
Tryon-1995-1310-2	01.210	EARTH, LAND	EARTH, LAND	626	LAND	Buck-1949-1110-2
Tryon-1995-1310-3	01.212	EARTH=GROUND, SOIL	EARTH=GROUND, SOIL	1228	EARTH (SOIL)	Buck-1949-1110-3
Tryon-1995-1310-4	01.213	DUST	DUST	2	DUST	Buck-1949-1110-4
Tryon-1995-1310-5	01.214	MUD	MUD	640	MUD	Buck-1949-1110-5
Tryon-1995-1310-6	01.215	SAND	SAND	671	SAND	Buck-1949-1110-6
Tryon-1995-1310-7	01.220	MOUNTAIN, HILL	MOUNTAIN, HILL	2118	MOUNTAIN OR HILL	Buck-1949-1110-7
Tryon-1995-1310-8	01.222	CLIFF, PRECIPICE	CLIFF, PRECIPICE	618	PRECIPICE
Tryon-1995-1310-9	01.230	PLAIN, FIELD	PLAIN, FIELD	652	PLAIN	Buck-1949-1110-8
Tryon-1995-1310-10	01.240	VALLEY	VALLEY	921	VALLEY	Buck-1949-1110-9
Tryon-1995-1310-11	01.250	ISLAND	ISLAND	622	ISLAND	Buck-1949-1110-10
Tryon-1995-1310-12	01.260	MAINLAND	MAINLAND	166	MAINLAND	Buck-1949-1110-11
Tryon-1995-1310-13	01.270	SHORE	SHORE	113	SHORE	Buck-1949-1110-12
Tryon-1995-1310-14	01.280	CAVE	CAVE	1155	CAVE
Tryon-1995-1310-15	01.310	WATER	WATER	948	WATER	Buck-1949-1110-13
Tryon-1995-1310-16	01.320	SEA	SEA	1474	SEA	Buck-1949-1110-14
Tryon-1995-1310-17	01.322	CALM (of sea)	CALM (of sea)	3820	CALM (OF SEA)
Tryon-1995-1310-18	01.323	ROUGH (of sea)	ROUGH (of sea)	259	ROUGH (OF SEA)
Tryon-1995-1310-19	01.324	FOAM	FOAM	1768	FOAM
Tryon-1995-1310-20	01.329	OCEAN	OCEAN	645	OCEAN
Tryon-1995-1310-21	01.330	LAKE	LAKE	624	LAKE	Buck-1949-1110-15
Tryon-1995-1310-22	01.340	GULF, BAY	GULF, BAY	663	BAY	Buck-1949-1110-16
Tryon-1995-1310-23	01.341	LAGOON	LAGOON	623	LAGOON
Tryon-1995-1310-24	01.342	REEF	REEF	660	REEF
Tryon-1995-1310-25	01.343	HEADLAND, POINT	HEADLAND, POINT	1662	CAPE
Tryon-1995-1310-26	01.350	WAVE	WAVE	978	WAVE	Buck-1949-1110-17
