ID	NUMBER	ITALIAN	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	WORD_LENGTH	POS	ACCURACY_LD_MEAN	LD_RT_MEAN	ACCURACY_NAMING_MEAN	NAMING_RT_MEAN	LD_RT_ZSCORE	NAMING_RT_ZSCORE	AUDITORY_MEAN	GUSTATORY_MEAN	HAPTIC_MEAN	OLFACTORY_MEAN	VISUAL_MEAN	PERCEPTUAL_DOMINANT	PERCEPTUAL_EXCLUSIVITY	PERCEPTUAL_STRENGTH_MAX	PERCEPTUAL_STRENGTH_MIN	PERCEPTUAL_STRENGTH_MEAN	VECTOR_MAGNITUDE
Vergallito-2020-1121-1	1	abbaglio	dazzle			8	n	0.9333333333	662.3928571	1	522.5	0.2571322034	-0.2883462964	0.53	0.04	0.11	0.11	4.53	v	84.39849624	4.53	0.04	1.064	4.563726547
Vergallito-2020-1121-2	2	abbandonato	derelict			11	a	1	650.5666667	1	531.5185185	0.1300411939	-0.115188713	1.53	0.23	0.91	0.63	4.16	v	52.68096515	4.16	0.23	1.492	4.574319622
Vergallito-2020-1121-3	3	abbondanza	abundance	4082	ABUNDANCE	10	n	0.9666666667	643.5517241	1	516.1666667	0.1491537226	-0.4046207909	1.32	1.37	2.42	1.02	4.26	v	31.18383061	4.26	1.02	2.078	5.353849083
Vergallito-2020-1121-4	4	abbraccio	hug	928	EMBRACE	9	n	1	599.7	1	504.7931034	-0.2789366193	-0.4020648501	1.09	0.11	4.67	1.37	4.23	h	39.75588492	4.67	0.11	2.294	6.54055808
Vergallito-2020-1121-5	5	abete	fir	1915	FIR	5	n	0.9333333333	603.0357143	1	470.8888889	-0.05021882371	-0.6800277964	0.81	0.21	3.56	3.09	4.81	v	36.85897436	4.81	0.21	2.496	6.786604453
Vergallito-2020-1121-6	6	abitante	inhabitant	4048	INHABITANT	8	n	0.9	632.1851852	1	508.6666667	0.08559566823	-0.3719559213	2.25	0.02	1.32	0.58	3.75	v	47.0959596	3.75	0.02	1.584	4.604801842
Vergallito-2020-1121-7	7	abitazione	house			10	n	0.9666666667	666.9310345	1	528.7857143	0.3038805421	-0.2578003285	1.56	0.21	2.6	1.7	4.75	v	41.95933457	4.75	0.21	2.164	5.889838707
Vergallito-2020-1121-8	8	abito	dress	474	DRESS	5	n	0.9666666667	530.3448276	1	488.4285714	-0.5681762496	-0.5752914393	0.4	0.02	4.37	0.86	4.86	v	46.05137964	4.86	0.02	2.102	6.604278916
Vergallito-2020-1121-9	9	abitudini	habit			9	n	0.9666666667	676.7586207	1	491.9615385	0.3044223137	-0.5785893706	2.19	1.18	1.25	1.12	2.93	v	20.87658593	2.93	1.12	1.734	4.19407916
Vergallito-2020-1121-10	10	aborto	abortion	3866	ABORTION	6	n	1	612.6	1	528.1785714	0.06408251791	-0.1485215749	1.72	0.09	1.04	0.42	2.96	v	46.06741573	2.96	0.09	1.246	3.603623177
Vergallito-2020-1121-11	11	abuso	abuse	1953	ABUSE	5	n	0.9333333333	593.7142857	1	471.4444444	-0.1205471201	-0.666766599	3.19	0.35	2.07	0.44	3.77	v	34.82688391	3.77	0.35	1.964	5.38423625
Vergallito-2020-1121-12	12	accettazione	acceptance			12	n	0.9333333333	704.1071429	1	505.3703704	0.4035980313	-0.4717348128	2.75	0.12	0.68	0.2	3.02	v	42.83604136	3.02	0.12	1.354	4.147252102
Vergallito-2020-1121-13	13	accogliente	cozy			11	a	1	700.9	1	524.1851852	0.3639050602	-0.1437503578	3.09	0.7	1.98	1.68	4.02	v	28.94507411	4.02	0.7	2.294	5.739451193
Vergallito-2020-1121-14	14	accomodante	easygoing			11	a	0.9666666667	692.4827586	1	578.4615385	0.4119889607	0.2240227472	2.73	0.21	1.02	0.32	3.2	v	39.97326203	3.2	0.21	1.496	4.345089182
