ID	NUMBER	ENGLISH	CHINESE	SUBLIST	CONCEPTICON_ID	CONCEPTICON_GLOSS
Wang-2004-100b-1	1	and	和	B	1577	AND
Wang-2004-100b-2	2	animal	動物	B	619	ANIMAL
Wang-2004-100b-3	3	back	背	B	1291	BACK
Wang-2004-100b-4	4	bad	壞	B	1292	BAD
Wang-2004-100b-5	5	because	因為	B	1157	BECAUSE
Wang-2004-100b-6	6	blow	吹	B	175	BLOW (OF WIND)
Wang-2004-100b-7	7	breathe	呼吸	B	1407	BREATHE
Wang-2004-100b-8	8	child	孩子	B	1304	CHILD (YOUNG HUMAN)
Wang-2004-100b-9	9	count	數	B	1420	COUNT
Wang-2004-100b-10	10	cut	砍	B	1432	CUT
Wang-2004-100b-11	11	day	天	B	1225	DAY (NOT NIGHT)
Wang-2004-100b-12	12	dig	挖	B	1418	DIG
Wang-2004-100b-13	13	dirty	髒	B	1230	DIRTY
Wang-2004-100b-14	14	dull	呆、笨	B	1518	STUPID
Wang-2004-100b-15	15	dust	塵土	B	2	DUST
Wang-2004-100b-16	16	fall	掉	B	1280	FALL
Wang-2004-100b-17	17	far	遠	B	1406	FAR
Wang-2004-100b-18	18	father	父親	B	1217	FATHER
Wang-2004-100b-19	19	fear	怕	B	1419	FEAR (BE AFRAID)
Wang-2004-100b-20	20	few	少	B	1242	FEW
Wang-2004-100b-21	21	fight	打架	B	1423	FIGHT
Wang-2004-100b-22	22	five	五	B	493	FIVE
Wang-2004-100b-23	23	float	漂浮	B	1574	FLOAT
Wang-2004-100b-24	24	flow	流	B	2003	FLOW
Wang-2004-100b-25	25	flower	花	B	239	FLOWER
Wang-2004-100b-26	26	fog	霧	B	249	FOG
Wang-2004-100b-27	27	four	四	B	1500	FOUR
Wang-2004-100b-28	28	freeze	結冰	B	1431	FREEZE
Wang-2004-100b-29	29	fruit	水果	B	1507	FRUIT
Wang-2004-100b-30	30	grass	草	B	606	GRASS
Wang-2004-100b-31	31	guts	腸子	B	1334	GUTS
Wang-2004-100b-32	32	he	他	B	1211	HE
Wang-2004-100b-33	33	here	這裏	B	136	HERE
Wang-2004-100b-34	34	hit	打	B	1433	HIT
Wang-2004-100b-35	35	hold/take	拿	B	2104	HOLD OR TAKE
Wang-2004-100b-36	36	how	怎麼	B	1239	HOW
Wang-2004-100b-37	37	hunt	打獵	B	1435	HUNT
Wang-2004-100b-38	38	husband	丈夫	B	1200	HUSBAND
Wang-2004-100b-39	39	ice	冰	B	617	ICE
Wang-2004-100b-40	40	if	如果	B	1459	IF
Wang-2004-100b-41	41	in	在	B	1460	IN
Wang-2004-100b-42	42	lake	湖	B	624	LAKE
Wang-2004-100b-43	43	laugh	笑	B	1355	LAUGH
Wang-2004-100b-44	44	leftside	左邊	B	244	LEFT
Wang-2004-100b-45	45	leg	腿	B	1297	LEG
Wang-2004-100b-46	46	live(alive)	活的	B	1422	BE ALIVE
Wang-2004-100b-47	47	mother	母親	B	1216	MOTHER
Wang-2004-100b-48	48	narrow	窄	B	1267	NARROW
Wang-2004-100b-49	49	near	近	B	1942	NEAR
Wang-2004-100b-50	50	old	老	B	2112	OLD (AGED)
Wang-2004-100b-51	51	play	玩	B	1413	PLAY
Wang-2004-100b-52	52	pull	拉	B	1455	PULL
Wang-2004-100b-53	53	push	推	B	1452	PUSH
Wang-2004-100b-54	54	rightside	右邊	B	1019	RIGHT
Wang-2004-100b-55	55	correct	對	B	1725	CORRECT (RIGHT)
Wang-2004-100b-56	56	river	江	B	666	RIVER
Wang-2004-100b-57	57	rope	繩子	B	1218	ROPE
Wang-2004-100b-58	58	rotten	腐爛	B	1728	ROTTEN
Wang-2004-100b-59	59	rub	擦	B	1449	RUB
Wang-2004-100b-60	60	salt	鹽	B	1274	SALT
Wang-2004-100b-61	61	scratch	抓	B	1436	SCRATCH
Wang-2004-100b-62	62	sea	海	B	1474	SEA
Wang-2004-100b-63	63	sew	縫	B	1457	SEW
Wang-2004-100b-64	64	sharp	尖	B	1396	SHARP
Wang-2004-100b-65	65	short	短	B	1645	SHORT
Wang-2004-100b-66	66	sing	唱	B	1261	SING
Wang-2004-100b-67	67	sky	天空	B	1732	SKY
Wang-2004-100b-68	68	smell	聞	B	2124	SMELL
Wang-2004-100b-69	69	smooth	平	B	1234	SMOOTH
Wang-2004-100b-70	70	snake	蛇	B	730	SNAKE
Wang-2004-100b-71	71	snow	雪	B	784	SNOW
Wang-2004-100b-72	72	spit	吐	B	1440	SPIT
Wang-2004-100b-73	73	split	撕裂	B	1437	SPLIT
Wang-2004-100b-74	74	squeeze	壓	B	1414	SQUEEZE
Wang-2004-100b-75	75	stab	刺	B	1434	STAB
Wang-2004-100b-76	76	stick	棍子	B	1295	STICK
Wang-2004-100b-77	77	straight	直	B	1404	STRAIGHT
Wang-2004-100b-78	78	suck	吮	B	1421	SUCK
Wang-2004-100b-79	79	swell	腫	B	1573	SWELL
Wang-2004-100b-80	80	there	那兒	B	1937	THERE
Wang-2004-100b-81	81	they	他們	B	817	THEY
Wang-2004-100b-82	82	thick	厚	B	1244	THICK
Wang-2004-100b-83	83	thin	薄	B	2308	THIN
Wang-2004-100b-84	84	think	想	B	1415	THINK (REFLECT)
Wang-2004-100b-85	85	three	三	B	492	THREE
Wang-2004-100b-86	86	throw	扔	B	1456	THROW
Wang-2004-100b-87	87	tie	捆	B	1917	TIE
Wang-2004-100b-88	88	turn	轉	B	1588	TURN
Wang-2004-100b-89	89	vomit	嘔吐	B	1278	VOMIT
Wang-2004-100b-90	90	wash	洗	B	1453	WASH
Wang-2004-100b-91	91	wet	濕	B	1726	WET
Wang-2004-100b-92	92	where	哪里	B	1237	WHERE
Wang-2004-100b-93	93	wide	寬	B	1243	WIDE
Wang-2004-100b-94	94	wife	妻子	B	1199	WIFE
Wang-2004-100b-95	95	wind	風	B	960	WIND
Wang-2004-100b-96	96	wing	翅膀	B	1257	WING
Wang-2004-100b-97	97	heavy	重	B	1210	HEAVY
Wang-2004-100b-98	98	woods	森林	B	420	FOREST
Wang-2004-100b-99	99	worm	蟲	B	1219	WORM
Wang-2004-100b-100	100	year	年	B	1226	YEAR
