ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	WORD_ID	CHINESE	GRAM_CLASS	WORD TYPE_2 SUBTYPES	WORD TYPE_5 SUBTYPES	ISC_BRAIN_OBJNOBJ	ISC_BRAIN_OBJNOBJ_SE	ISC_BRAIN_WORDNEUROSYNTH	ISC_BRAIN_WORDNEUROSYNTH_SE	ISC_BRAIN_OBJEMONOBJNENOBJ	ISC_BRAIN_OBJEMONOBJNENOBJ_SE	ISC_BRAIN_OBJNOBJ_LEAVE2_TOP300	ISC_BRAIN_LEAVE2_TOP300_SE	ISC_BEHAVIOR	ISC_BEHAVIOR_SUBJECTSE	ISC_BEHAVIOR_WORDSE	MEAN_LANGUAGE_SENSORY	MEAN_LANGUAGE	MEAN_SENSORY	MEAN_NAVIGATION	MEAN_MANIPULATION	MEAN_STRESS	MEAN_AROUSAL	MEAN_VALENCE	SD_LANGUAGE	SD_SENSORY	SD_NAVIGATION	SD_MANIPULATION	SD_STRESS	SD_AROUSAL	SD_VALENCE	MEANRATINGS_PC1	MEANRATINGS_PC2	SDRATINGS_PC1	SDRATINGS_PC2	NUMBER_OF_STROKES	SUBJECTIVE_FAMILIARITY	LOG_WORD_FREQUENCY	LOG_CHAR1FREQ	LOG_AVG_CHAR_FREQ	LOG_CHAR1SRFREQ	LOG_AVG_SRFREQ	MEAN_LANGUAGESENSORY_COV_MEANAROUSALVALENCE	BEHAV_ISC_COV_MEANAROUSALVALENCE	OBJNOBJ_OVERALL_ACTIVATION	WORDNEUROSYNTH_OVERALL_ACTIVATION	OBJEMONOBJNENOBJ_OVERALL_ACTIVATION
Wang-2021-90-1	1	3951	PANDA	panda	word01	熊猫	n	1	1	0.03157831136	0.005725277125	0.01491398643	0.002724606171	0.03642705787	0.005148065643	0.03223141099	0.008705191957	0.4754556799	0.03773073205	0.09710623807	0.9284821549	6.461538462	5.925925926	3.285714286	2.12	2.444444444	4.041666667	5.074074074	0.7060180865	1.268734255	1.511857892	1.563116545	1.717183144	1.545798419	0.8286191445	0.82838	0.10773	-1.09553	0.82631	25	6.846153846	1.380211242	1.549960354	1.511511713	3.789805563	3.610682766	1.17654	1.80101	28.0634474	18.13208197	40.32718825
Wang-2021-90-2	2	2139	MUROID (MOUSE OR RAT)	rat	word02	老鼠	n	1	1	0.04242091167	0.007698848148	0.01996472156	0.004013054544	0.04090807241	0.006391648553	0.04066811153	0.01042518742	0.494632664	0.03387913939	0.09997211382	0.9137594944	6.461538462	5.888888889	2.285714286	4.32	4.703703704	4.791666667	2.851851852	0.7605665904	1.310705428	1.242969648	2.267891826	1.977076607	1.413572922	0.9885383034	1.18316	2.22168	-1.13114	1.05661	19	6.730769231	1.041392685	3.124912993	2.845125648	3.430435796	3.140435869	1.4471	1.98833	27.07729526	10.1099065	39.88220067
Wang-2021-90-3	3	846	TIGER	tiger	word03	老虎	n	1	1	0.03121717572	0.006172481684	0.01296193653	0.002404659957	0.0288168239	0.00716178353	0.02901415067	0.009653653653	0.4697750867	0.03810765089	0.09697680047	0.7989669619	6.538461538	5.518518519	3.071428571	2.04	5.407407407	4.375	3.814814815	0.7605665904	1.553417334	1.48893627	1.368697678	1.845144548	1.610090465	0.8786806997	0.98782	2.00812	-0.8021	1.0942	14	6.769230769	1.361727836	3.124912993	2.835330909	3.430435796	3.181867573	1.17882	1.72018	21.10887764	9.661839588	31.2671911
Wang-2021-90-4	4	1290	ELEPHANT	elephant	word04	大象	n	1	1	0.03860323608	0.006893658533	0.01757702873	0.003010499454	0.03371340871	0.006824800509	0.03760513666	0.008321467142	0.4523251008	0.0372603481	0.09630793119	0.9168676182	6.538461538	5.814814815	3.321428571	1.96	3.333333333	3.041666667	4.185185185	0.7605665904	1.331194866	1.700840129	1.540562668	1.941450687	1.545798419	0.5572623355	0.95004	0.49857	-1.05885	0.65985	14	6.730769231	0.0	3.574240686	3.305333836	4.221429567	3.930160726	0.92932	0.86167	26.5349534	16.12082039	37.18219375
Wang-2021-90-5	5	1854	SPARROW	sparrow	word05	麻雀	n	1	1	0.04623459435	0.007237600869	0.01685047403	0.003144698698	0.042247571	0.006797000827	0.05034974147	0.01070549883	0.4460816138	0.03333933648	0.09436311497	0.848657681	6.307692308	5.888888889	2.142857143	4.84	1.703703704	2.333333333	4.0	0.7883771062	1.476308633	1.268252975	2.034698995	1.030862776	1.203858531	0.2773500981	0.90003	-0.42893	-0.63321	-1.07692	22	6.769230769	0.3010299957	2.538420522	2.265681304	2.564236291	2.961742069	0.67477	0.35958	23.70327076	12.09190087	38.09727901
Wang-2021-90-6	6	895	TORTOISE	tortoise	word06	乌龟	n	1	1	0.04238833539	0.00760887188	0.01561436952	0.002388962159	0.03859513798	0.007118819193	0.04736864485	0.0107670347	0.4920296625	0.03942617292	0.09705454051	0.9726899271	6.461538462	6.037037037	2.321428571	4.44	1.962962963	2.208333333	4.0	0.8593378488	1.159624657	1.278122797	2.001665973	1.125969035	1.318073913	0.4803844614	0.99147	-0.33743	-0.88786	-0.54002	11	6.730769231	0.4771212547	1.441812921	1.298608581	4.002851386	3.70266324	0.77055	0.6549	26.01143725	15.46458857	37.68544698
Wang-2021-90-7	7	587	ANT	ant	word07	蚂蚁	n	1	1	0.05236663197	0.007371595221	0.01770670065	0.002875852353	0.05457542185	0.005672085852	0.06870736102	0.01167624509	0.4564659891	0.03639957442	0.09507251598	0.8323610632	6.269230769	5.888888889	2.035714286	5.6	2.703703704	2.833333333	3.592592593	0.8744228866	1.310705428	1.55115591	1.936491673	1.771891966	1.493949148	0.6938886665	1.06427	0.33727	-1.07192	0.64319	18	6.769230769	1.662757832	0.8989663893	0.9244111055	3.218234572	3.218234572	0.80764	0.66293	27.29533381	13.78685012	38.878754
Wang-2021-90-8	8	1136	RABBIT	rabbit	word08	兔子	n	1	1	0.03929856618	0.008332275614	0.01957046418	0.003373299886	0.04112140464	0.008070213436	0.04434667613	0.011343844	0.4721673829	0.03296797133	0.09747518132	1.049490935	6.538461538	6.148148148	2.5	4.44	1.518518519	3.375	4.703703704	0.6468860321	1.321528943	1.452966315	1.709775814	0.8024179982	1.78915817	0.8234456133	0.98948	-0.38806	-1.34517	0.63487	11	6.730769231	0.9542425094	1.821373982	3.309304953	3.652772399	3.736825815	1.1376	1.31314	29.5359634	13.36525075	40.04855268
Wang-2021-90-9	9	1208	CAT	cat	word09	猫	n	1	1	0.05834700174	0.009193679791	0.02076948606	0.00414989955	0.05180968438	0.007583343002	0.06894022664	0.01251179058	0.4776743601	0.03237570851	0.09860975677	1.033194317	6.5	6.148148148	2.678571429	4.12	2.222222222	4.25	5.0	0.7615773106	1.199477569	1.611384761	1.715614564	1.577079417	1.77543626	1.037749043	1.00163	0.1104	-1.44447	1.49662	11	6.884615385	1.707570176	1.469325606	1.469325606	3.300429081	3.300429081	1.34459	1.92809	32.18019201	16.2253667	44.62134641
Wang-2021-90-10	10	3089	GIRAFFE	giraffe	word10	长颈鹿	n	1	1	0.05336214	0.007783509789	0.02315165063	0.003827793375	0.05226479011	0.007162176594	0.0609749601	0.01122433821	0.4641823218	0.04051926732	0.09612930384	0.9036367953	6.576923077	5.740740741	3.25	2.08	3.0	2.458333333	4.111111111	0.7575263387	1.558909693	1.50616019	1.441064421	1.797434069	1.503016291	0.3202563076	0.92765	0.17506	-0.66055	0.10506	26	6.461538462	0.0	2.956109287	2.484241787	3.003320096	3.157191285	0.76151	0.59916	32.27357106	16.4856887	46.83523272
